window,age_min,age_max,weighting,moment_key,estimate,n_persons,weighted_population
primary_40_44,40,44,weighted_PWSSWGT,tfr,1.918424850350,3278,10946407.0005
primary_40_44,40,44,weighted_PWSSWGT,childless_rate,0.188179593021,3278,10946407.0005
primary_40_44,40,44,weighted_PWSSWGT,parity_share_0,0.188179593021,3278,10946407.0005
primary_40_44,40,44,weighted_PWSSWGT,parity_share_1,0.180459014488,3278,10946407.0005
primary_40_44,40,44,weighted_PWSSWGT,parity_share_2,0.334771848126,3278,10946407.0005
primary_40_44,40,44,weighted_PWSSWGT,parity_share_3plus,0.296589544364,3278,10946407.0005
primary_40_44,40,44,weighted_PWSSWGT,capped_top_bin_mean,3.602359422009,3278,10946407.0005
primary_40_44,40,44,unweighted,tfr,1.916717510677,3278,10946407.0005
primary_40_44,40,44,unweighted,childless_rate,0.191885295912,3278,10946407.0005
primary_40_44,40,44,unweighted,parity_share_0,0.191885295912,3278,10946407.0005
primary_40_44,40,44,unweighted,parity_share_1,0.176632092739,3278,10946407.0005
primary_40_44,40,44,unweighted,parity_share_2,0.331909701037,3278,10946407.0005
primary_40_44,40,44,unweighted,parity_share_3plus,0.299572910311,3278,10946407.0005
primary_40_44,40,44,unweighted,capped_top_bin_mean,3.592668024440,3278,10946407.0005
shift_41_45,41,45,weighted_PWSSWGT,tfr,1.926583491913,3281,10878350.9705
shift_41_45,41,45,weighted_PWSSWGT,childless_rate,0.184333572482,3281,10878350.9705
shift_41_45,41,45,weighted_PWSSWGT,parity_share_0,0.184333572482,3281,10878350.9705
shift_41_45,41,45,weighted_PWSSWGT,parity_share_1,0.182807524338,3281,10878350.9705
shift_41_45,41,45,weighted_PWSSWGT,parity_share_2,0.331115598280,3281,10878350.9705
shift_41_45,41,45,weighted_PWSSWGT,parity_share_3plus,0.301743304900,3281,10878350.9705
shift_41_45,41,45,weighted_PWSSWGT,capped_top_bin_mean,3.584320690637,3281,10878350.9705
shift_41_45,41,45,unweighted,tfr,1.935995123438,3281,10878350.9705
shift_41_45,41,45,unweighted,childless_rate,0.185614142030,3281,10878350.9705
shift_41_45,41,45,unweighted,parity_share_0,0.185614142030,3281,10878350.9705
shift_41_45,41,45,unweighted,parity_share_1,0.175251447729,3281,10878350.9705
shift_41_45,41,45,unweighted,parity_share_2,0.333130143249,3281,10878350.9705
shift_41_45,41,45,unweighted,parity_share_3plus,0.306004266992,3281,10878350.9705
shift_41_45,41,45,unweighted,capped_top_bin_mean,3.576693227092,3281,10878350.9705
shift_43_47,43,47,weighted_PWSSWGT,tfr,1.991017786072,3127,10529426.1144
shift_43_47,43,47,weighted_PWSSWGT,childless_rate,0.165053723092,3127,10529426.1144
shift_43_47,43,47,weighted_PWSSWGT,parity_share_0,0.165053723092,3127,10529426.1144
shift_43_47,43,47,weighted_PWSSWGT,parity_share_1,0.175372696208,3127,10529426.1144
shift_43_47,43,47,weighted_PWSSWGT,parity_share_2,0.342330909856,3127,10529426.1144
shift_43_47,43,47,weighted_PWSSWGT,parity_share_3plus,0.317242670845,3127,10529426.1144
shift_43_47,43,47,weighted_PWSSWGT,capped_top_bin_mean,3.565041446473,3127,10529426.1144
shift_43_47,43,47,unweighted,tfr,1.995203070035,3127,10529426.1144
shift_43_47,43,47,unweighted,childless_rate,0.166933162776,3127,10529426.1144
shift_43_47,43,47,unweighted,parity_share_0,0.166933162776,3127,10529426.1144
shift_43_47,43,47,unweighted,parity_share_1,0.175567636713,3127,10529426.1144
shift_43_47,43,47,unweighted,parity_share_2,0.338983050847,3127,10529426.1144
shift_43_47,43,47,unweighted,parity_share_3plus,0.318516149664,3127,10529426.1144
shift_43_47,43,47,unweighted,capped_top_bin_mean,3.584337349398,3127,10529426.1144
