cbsatitle,met2013,mms_location,pop_weight,owner_rate,has_youngchild_rate,mean_rooms
"Atlanta-Sandy Springs-Roswell, GA",12060,center,1082571,0.464177407301692,0.15089726216571478,5.551232205555109
"Atlanta-Sandy Springs-Roswell, GA",12060,periphery,3022288,0.6882325575855114,0.22530612569020556,7.157085625195216
"Austin-Round Rock-San Marcos, TX",12420,center,3242337,0.3421920670183266,0.1456054691415482,4.560464257725215
"Austin-Round Rock-San Marcos, TX",12420,periphery,4937223,0.5940861897467463,0.23269194038835192,5.970107082463158
"Baltimore-Columbia-Towson, MD",12580,center,3024896,0.45742233782582936,0.17365687944312796,5.850377996466656
"Baltimore-Columbia-Towson, MD",12580,periphery,6113663,0.6726299764969054,0.23744324801677816,7.0880771478571845
"Boston-Cambridge-Newton, MA-NH",14460,center,783439,0.24710156119366025,0.11852613923994082,4.686044478255487
"Boston-Cambridge-Newton, MA-NH",14460,periphery,1673374,0.6200281586782154,0.2396511479203095,6.255672073308179
"Buffalo-Cheektowaga, NY",15380,center,1102122,0.3554352421964175,0.18586599305702997,5.9791511284594625
"Buffalo-Cheektowaga, NY",15380,periphery,2384066,0.7142662996745895,0.2245822892487037,6.546606511732477
"Charlotte-Concord-Gastonia, NC-SC",16740,center,3040428,0.4113986583467854,0.18620141637953605,5.456543618201121
"Charlotte-Concord-Gastonia, NC-SC",16740,periphery,4199525,0.6447552997065145,0.22779719134902163,6.306080092391402
"Chicago-Naperville-Elgin, IL-IN",16980,center,1733002,0.3749811021568354,0.12859477369327907,4.916867955143733
"Chicago-Naperville-Elgin, IL-IN",16980,periphery,5382727,0.7500092425270686,0.22890423385767103,6.768994600692177
"Cincinnati, OH-KY-IN",17140,center,1494146,0.5972408318865761,0.22392523889900987,6.124402166856519
"Cincinnati, OH-KY-IN",17140,periphery,1156589,0.7011410276251979,0.2622833175829962,6.954667561251231
"Columbus, OH",18140,center,456463,0.37601076100363007,0.1842712333748847,5.276697125506339
"Columbus, OH",18140,periphery,754236,0.6660779915039855,0.2589932063704199,6.664611606977126
"Dallas-Fort Worth-Arlington, TX",19100,center,7444104,0.3752735050450665,0.2116984125960626,4.865180013605398
"Dallas-Fort Worth-Arlington, TX",19100,periphery,19493020,0.5905405114240893,0.23804772169730498,6.100811521252223
"Denver-Aurora-Centennial, CO",19740,center,776015,0.4015734231941393,0.13290078155705753,5.0520479629904065
"Denver-Aurora-Centennial, CO",19740,periphery,1158584,0.7021838727273982,0.20018919646741196,6.880084655061696
"Detroit-Warren-Dearborn, MI",19820,center,4436403,0.5343811191183488,0.21038553080051564,6.089257671135828
"Detroit-Warren-Dearborn, MI",19820,periphery,9570439,0.6945121326200396,0.22636610504492008,6.515774354760529
"Houston-Pasadena-The Woodlands, TX",26420,center,7646949,0.39846872262388566,0.2048576497633239,4.962578147180006
"Houston-Pasadena-The Woodlands, TX",26420,periphery,16704042,0.6218815182576768,0.2463584562347245,6.169374753727271
"Indianapolis-Carmel-Greenwood, IN",26900,center,328095,0.4542556271811518,0.17543699233453725,5.596336426949511
"Indianapolis-Carmel-Greenwood, IN",26900,periphery,2006982,0.7414376411945897,0.2634931454293063,7.052774265040743
"Jacksonville, FL",27260,center,974604,0.5042632700050482,0.19334211638778417,5.783943016856077
"Jacksonville, FL",27260,periphery,972726,0.5323904162117595,0.20655354128500727,5.735946196565117
"Kansas City, MO-KS",28140,center,1070774,0.5531064444971582,0.2316632641435074,6.174481263086328
