coefficient_i,coefficient_j,covariance
Dm7,Dm7,.0481427471814258
Dm7,Dm5,.016589592901714
Dm7,Dm1,.0098558665534964
Dm7,Dp1,.0097399547788963
Dm7,Dp3,.0081296904708101
Dm7,Dleft,.0296712167913696
Dm7,Dright,.0016290322084027
Dm5,Dm7,.016589592901714
Dm5,Dm5,.0308253968911471
Dm5,Dm1,.0087447435504185
Dm5,Dp1,.008871400284906
Dm5,Dp3,.008784080442505
Dm5,Dleft,.0216749529187738
Dm5,Dright,.0044517168529415
Dm1,Dm7,.0098558665534964
Dm1,Dm5,.0087447435504185
Dm1,Dm1,.0187950927476668
Dm1,Dp1,.0127434178742243
Dm1,Dp3,.012317757774427
Dm1,Dleft,.0101471552268532
Dm1,Dright,.0120112823166658
Dp1,Dm7,.0097399547788963
Dp1,Dm5,.008871400284906
Dp1,Dm1,.0127434178742243
Dp1,Dp1,.0238294605602639
Dp1,Dp3,.0162891052815532
Dp1,Dleft,.0092204677674637
Dp1,Dright,.0166066227618952
Dp3,Dm7,.0081296904708101
Dp3,Dm5,.008784080442505
Dp3,Dm1,.012317757774427
Dp3,Dp1,.0162891052815532
Dp3,Dp3,.0266428668726944
Dp3,Dleft,.007010348398848
Dp3,Dright,.0203693602540727
Dleft,Dm7,.0296712167913696
Dleft,Dm5,.0216749529187738
Dleft,Dm1,.0101471552268532
Dleft,Dp1,.0092204677674637
Dleft,Dp3,.007010348398848
Dleft,Dleft,.0682890927405714
Dleft,Dright,-.0041786712122017
Dright,Dm7,.0016290322084027
Dright,Dm5,.0044517168529415
Dright,Dm1,.0120112823166658
Dright,Dp1,.0166066227618952
Dright,Dp3,.0203693602540727
Dright,Dleft,-.0041786712122017
Dright,Dright,.0324554008627508
