f_c_y,lastcohort,bin,rows
1977,0,-2,34
1977,0,-1,56
1977,0,0,40
1977,0,1,211
1977,0,2,482
1977,0,3,521
1977,0,4,516
1977,0,5,529
1977,0,6,531
1977,0,7,505
1977,0,8,656
1977,0,9,651
1977,0,10,617
1977,0,11,417
1977,0,12,211
1977,0,13,211
1977,0,14,198
1977,0,15,191
1977,0,16,184
1977,0,17,183
1977,0,18,170
1977,0,19,157
1977,0,20,152
1977,0,21,141
1979,0,-3,35
1979,0,-2,63
1979,0,-1,44
1979,0,0,175
1979,0,1,512
1979,0,2,625
1979,0,3,638
1979,0,4,645
1979,0,5,613
1979,0,6,608
1979,0,7,701
1979,0,8,678
1979,0,9,691
1979,0,10,481
1979,0,11,243
1979,0,12,233
1979,0,13,211
1979,0,14,215
1979,0,15,205
1979,0,16,202
1979,0,17,191
1979,0,18,181
1979,0,19,170
1979,0,20,161
1981,0,-4,17
1981,0,-3,33
1981,0,-2,22
1981,0,-1,86
1981,0,0,268
1981,0,1,441
1981,0,2,492
1981,0,3,507
1981,0,4,504
1981,0,5,493
1981,0,6,616
1981,0,7,620
1981,0,8,608
1981,0,9,449
1981,0,10,228
1981,0,11,225
1981,0,12,220
1981,0,13,211
1981,0,14,199
1981,0,15,196
1981,0,16,184
1981,0,17,179
1981,0,18,174
1981,0,19,155
1983,0,-5,10
1983,0,-4,22
1983,0,-3,18
1983,0,-2,77
1983,0,-1,253
1983,0,0,414
1983,0,1,595
1983,0,2,660
1983,0,3,661
1983,0,4,651
1983,0,5,775
1983,0,6,761
1983,0,7,724
1983,0,8,514
1983,0,9,256
1983,0,10,261
1983,0,11,261
1983,0,12,251
1983,0,13,249
1983,0,14,236
1983,0,15,230
1983,0,16,210
1983,0,17,202
1983,0,18,187
1984,0,-6,1
1984,0,-5,9
1984,0,-4,20
1984,0,-2,101
1984,0,-1,235
1984,0,0,345
1984,0,1,502
1984,0,2,571
1984,0,3,570
1984,0,4,645
1984,0,5,707
1984,0,6,726
1984,0,7,514
1984,0,8,220
1984,0,9,228
1984,0,10,225
1984,0,11,208
1984,0,12,205
1984,0,13,203
1984,0,14,190
1984,0,15,182
1984,0,16,171
1984,0,17,155
1984,0,18,149
1985,0,-6,4
1985,0,-5,7
1985,0,-4,5
1985,0,-3,24
1985,0,-2,92
1985,0,-1,201
1985,0,0,317
1985,0,1,431
1985,0,2,480
1985,0,3,444
1985,0,4,583
1985,0,5,592
1985,0,6,516
1985,0,7,377
1985,0,8,191
1985,0,9,187
1985,0,10,176
1985,0,11,176
1985,0,12,176
1985,0,13,176
1985,0,14,158
1985,0,15,151
1985,0,16,150
1985,0,17,139
1986,0,-7,8
1986,0,-6,20
1986,0,-5,29
1986,0,-3,86
1986,0,-2,194
1986,0,-1,276
1986,0,0,383
1986,0,1,531
1986,0,2,589
1986,0,3,659
1986,0,4,715
1986,0,5,699
1986,0,6,494
1986,0,7,222
1986,0,8,220
1986,0,9,218
1986,0,10,207
1986,0,11,200
1986,0,12,193
1986,0,13,199
1986,0,14,185
1986,0,15,172
1986,0,16,160
1986,0,17,151
1987,0,-7,6
1987,0,-6,10
1987,0,-5,7
1987,0,-4,29
1987,0,-3,116
1987,0,-2,213
1987,0,-1,282
1987,0,0,390
1987,0,1,510
1987,0,2,591
1987,0,3,739
1987,0,4,728
1987,0,5,665
1987,0,6,452
1987,0,7,246
1987,0,8,241
1987,0,9,231
1987,0,10,232
1987,0,11,222
1987,0,12,207
1987,0,13,194
1987,0,14,188
1987,0,15,175
1987,0,16,167
1988,0,-8,1
1988,0,-7,2
1988,0,-6,8
1988,0,-4,51
1988,0,-3,126
1988,0,-2,186
1988,0,-1,272
1988,0,0,369
1988,0,1,502
1988,0,2,655
1988,0,3,707
1988,0,4,707
1988,0,5,524
1988,0,6,232
1988,0,7,238
1988,0,8,245
1988,0,9,248
1988,0,10,232
1988,0,11,231
1988,0,12,230
1988,0,13,217
1988,0,14,208
1988,0,15,195
1988,0,16,186
1989,0,-8,4
1989,0,-7,10
1989,0,-6,8
1989,0,-5,26
1989,0,-4,84
1989,0,-3,152
1989,0,-2,207
1989,0,-1,278
1989,0,0,356
1989,0,1,466
1989,0,2,687
1989,0,3,703
1989,0,4,633
1989,0,5,430
1989,0,6,223
1989,0,7,221
1989,0,8,220
1989,0,9,229
1989,0,10,223
1989,0,11,217
1989,0,12,216
1989,0,13,199
1989,0,14,196
1989,0,15,184
1990,0,-9,1
1990,0,-8,2
1990,0,-7,5
1990,0,-5,36
1990,0,-4,85
1990,0,-3,118
1990,0,-2,163
1990,0,-1,194
1990,0,0,266
1990,0,1,457
1990,0,2,635
1990,0,3,663
1990,0,4,491
1990,0,5,224
1990,0,6,239
1990,0,7,243
1990,0,8,230
1990,0,9,228
1990,0,10,229
1990,0,11,239
1990,0,12,222
1990,0,13,198
1990,0,14,185
1990,0,15,178
1991,0,-8,2
1991,0,-7,2
1991,0,-6,8
1991,0,-5,45
1991,0,-4,93
1991,0,-3,145
1991,0,-2,195
1991,0,-1,255
1991,0,0,337
1991,0,1,577
1991,0,2,674
1991,0,3,653
1991,0,4,487
1991,0,5,252
1991,0,6,249
1991,0,7,245
1991,0,8,225
1991,0,9,222
1991,0,10,231
1991,0,11,224
1991,0,12,220
1991,0,13,209
1991,0,14,192
1992,0,-9,2
1992,0,-8,2
1992,0,-6,13
1992,0,-5,62
1992,0,-4,107
1992,0,-3,138
1992,0,-2,181
1992,0,-1,228
1992,0,0,350
1992,0,1,578
1992,0,2,713
1992,0,3,511
1992,0,4,245
1992,0,5,255
1992,0,6,247
1992,0,7,244
1992,0,8,242
1992,0,9,239
1992,0,10,236
1992,0,11,233
1992,0,12,212
1992,0,13,201
1992,0,14,190
1993,0,-10,3
1993,0,-9,4
1993,0,-8,3
1993,0,-7,6
1993,0,-6,33
1993,0,-5,63
1993,0,-4,93
1993,0,-3,122
1993,0,-2,159
1993,0,-1,203
1993,0,0,395
1993,0,1,587
1993,0,2,661
1993,0,3,520
1993,0,4,266
1993,0,5,274
1993,0,6,268
1993,0,7,268
1993,0,8,262
1993,0,9,257
1993,0,10,246
1993,0,11,248
1993,0,12,241
1993,0,13,222
1994,0,-7,11
1994,0,-6,36
1994,0,-5,69
1994,0,-4,106
1994,0,-3,139
1994,0,-2,176
1994,0,-1,242
1994,0,0,381
1994,0,1,577
1994,0,2,501
1994,0,3,243
1994,0,4,252
1994,0,5,257
1994,0,6,240
1994,0,7,238
1994,0,8,245
1994,0,9,246
1994,0,10,223
1994,0,11,216
1994,0,12,213
1994,0,13,208
1995,0,-9,1
1995,0,-8,5
1995,0,-7,19
1995,0,-6,30
1995,0,-5,51
1995,0,-4,83
1995,0,-3,120
1995,0,-2,154
1995,0,-1,209
1995,0,0,295
1995,0,1,439
1995,0,2,461
1995,0,3,269
1995,0,4,268
1995,0,5,260
1995,0,6,257
1995,0,7,245
1995,0,8,256
1995,0,9,243
1995,0,10,239
1995,0,11,227
1995,0,12,208
1996,0,-8,7
1996,0,-7,19
1996,0,-6,33
1996,0,-5,47
1996,0,-4,67
1996,0,-3,96
1996,0,-2,131
1996,0,-1,160
1996,0,0,270
1996,0,1,342
1996,0,2,202
1996,0,3,234
1996,0,4,235
1996,0,5,226
1996,0,6,234
1996,0,7,231
1996,0,8,230
1996,0,9,217
1996,0,10,198
1996,0,11,186
1996,0,12,179
1997,0,-9,2
1997,0,-8,9
1997,0,-7,22
1997,0,-6,35
1997,0,-5,46
1997,0,-4,63
1997,0,-3,85
1997,0,-2,117
1997,0,-1,158
1997,0,0,233
1997,0,1,328
1997,0,2,223
1997,0,3,247
1997,0,4,243
1997,0,5,241
1997,0,6,244
1997,0,7,240
1997,0,8,232
1997,0,9,218
1997,0,10,213
1997,0,11,194
1998,0,-9,2
1998,0,-8,14
1998,0,-7,19
1998,0,-6,28
1998,0,-5,47
1998,0,-4,61
1998,0,-3,79
1998,0,-2,97
1998,0,-1,144
1998,0,0,200
1998,0,1,135
1998,0,2,184
1998,0,3,195
1998,0,4,200
1998,0,5,197
1998,0,6,193
1998,0,7,204
1998,0,8,197
1998,0,9,182
1998,0,10,176
