event_time,published_point,reconstructed_point,same_fit_diagnostic_point,normalization_only_change,share_without_minus2,share_recent_even_without_minus2,cohorts_in_input_share
-7,-0.29937282,-0.2993728190698224,-0.5966550215307065,-0.2972822024608841,0.35307669418687226,0.3050563132596694,43
-6,-0.47638354,-0.4763835398067356,-0.5321200778009156,-0.0557365379941801,0.13722147494226128,0.07375967844947487,32
-5,-0.12730184,-0.12730184079717005,-0.548536985763669,-0.421235144966499,0.47773094840842706,0.40881966468014064,32
-4,-0.32083976,-0.3208397494595178,-0.34474504671265194,-0.023905297253134124,0.09468730936563745,0.03392133430589807,33
-3,0.18269229,0.18269229593155967,-0.21602101314209587,-0.39871330907365554,0.4519668983259399,0.39792192197143567,33
-2,0.0,0.0,0.0,0.0,0,0,34
-1,0.48149884,0.4814988255173509,0.1274627898955813,-0.3540360356217696,0.41913614900471796,0.35467510187966017,34
0,0.44572833,0.4457283455028995,0.4457283455028995,0.0,0.10170936939244918,0,35
1,1.014805,1.0148049857307744,0.6916400513607974,-0.32316493436997695,0.46071340889919393,0.3259403739499073,34
2,0.72615957,0.7261595643626506,0.7261595643626506,0.0,0.12493265971120286,0,33
3,1.201745,1.2017450878988782,0.8862425398298464,-0.31550254806903183,0.46009698678035904,0.3177227758996811,32
4,0.8311618,0.8311617927103655,0.8311617927103655,0.0,0.11039694232998135,0,31
5,1.294239,1.2942390693537182,1.0216445657137254,-0.2725945036399929,0.4005257010733506,0.2941203123251549,30
6,0.96468204,0.9646820339786794,0.9646820339786794,0.0,0.09679848516649567,0,29
7,1.4002876,1.4002875794733853,1.149752038837602,-0.25053554063578354,0.4323943912204621,0.26761081774157464,29
8,0.9854399,0.9854398739786553,0.9854398739786553,0.0,0.15409246567219256,0,28
9,1.4343187,1.4343186218668542,1.232266886290248,-0.20205173557660627,0.41216936308401925,0.23710836845309438,27
10,1.0277562,1.0277562162126601,1.0277562162126601,0.0,0.16150288267064647,0,26
11,1.051914,1.0519139924202963,1.0212342565303076,-0.03067973588998862,0.22655484400175016,0.03883311654268582,39
