coefficient_i,coefficient_j,covariance
Wleft,Wleft,.0385265954086949
Wleft,Wm2,.0184928683529654
Wleft,Wm1,.0128839088826617
Wleft,Wp1,.0092408655446328
Wleft,Wp2,.0090838019974155
Wleft,Wp3,.0078281889205227
Wleft,Wp4,.0065321173032669
Wleft,Wp5,.0054837933755085
Wleft,Wp6,.0046167056665973
Wleft,Wright,.0004597206360426
Wm2,Wleft,.0184928683529654
Wm2,Wm2,.0319566224364366
Wm2,Wm1,.0112248284425314
Wm2,Wp1,.0087473665337907
Wm2,Wp2,.0089891709663742
Wm2,Wp3,.0079631804013943
Wm2,Wp4,.0071903427496503
Wm2,Wp5,.0065019702578178
Wm2,Wp6,.0055439674022763
Wm2,Wright,.0027926906152962
Wm1,Wleft,.0128839088826617
Wm1,Wm2,.0112248284425314
Wm1,Wm1,.0200493185599692
Wm1,Wp1,.0071790013090741
Wm1,Wp2,.0073044646365622
Wm1,Wp3,.0067717075102861
Wm1,Wp4,.0064709122785806
Wm1,Wp5,.0057778360916876
Wm1,Wp6,.005032247859596
Wm1,Wright,.0032021062605366
Wp1,Wleft,.0092408655446328
Wp1,Wm2,.0087473665337907
Wp1,Wm1,.0071790013090741
Wp1,Wp1,.012687944257657
Wp1,Wp2,.007969584987839
Wp1,Wp3,.0074795100639194
Wp1,Wp4,.0071209968861421
Wp1,Wp5,.0068878170741326
Wp1,Wp6,.0065291892424491
Wp1,Wright,.0051090726746585
Wp2,Wleft,.0090838019974155
Wp2,Wm2,.0089891709663742
Wp2,Wm1,.0073044646365622
Wp2,Wp1,.007969584987839
Wp2,Wp2,.0148601250581385
Wp2,Wp3,.0094490568594483
Wp2,Wp4,.0087332047678701
Wp2,Wp5,.0085476950218516
Wp2,Wp6,.0082797560658781
Wp2,Wright,.0070613321358735
Wp3,Wleft,.0078281889205227
Wp3,Wm2,.0079631804013943
Wp3,Wm1,.0067717075102861
Wp3,Wp1,.0074795100639194
Wp3,Wp2,.0094490568594483
Wp3,Wp3,.0159933822767449
Wp3,Wp4,.0100868586098929
Wp3,Wp5,.0096180728562057
Wp3,Wp6,.009225786999204
Wp3,Wright,.0086844111238683
Wp4,Wleft,.0065321173032669
Wp4,Wm2,.0071903427496503
Wp4,Wm1,.0064709122785806
Wp4,Wp1,.0071209968861421
Wp4,Wp2,.0087332047678701
Wp4,Wp3,.0100868586098929
Wp4,Wp4,.017349455060354
Wp4,Wp5,.0113415876917609
Wp4,Wp6,.0111489332089595
Wp4,Wright,.0105229735695857
Wp5,Wleft,.0054837933755085
Wp5,Wm2,.0065019702578178
Wp5,Wm1,.0057778360916876
Wp5,Wp1,.0068878170741326
Wp5,Wp2,.0085476950218516
Wp5,Wp3,.0096180728562057
Wp5,Wp4,.0113415876917609
Wp5,Wp5,.0188854682902137
Wp5,Wp6,.0131539903635083
Wp5,Wright,.0121913450750973
Wp6,Wleft,.0046167056665973
Wp6,Wm2,.0055439674022763
Wp6,Wm1,.005032247859596
Wp6,Wp1,.0065291892424491
Wp6,Wp2,.0082797560658781
Wp6,Wp3,.009225786999204
Wp6,Wp4,.0111489332089595
Wp6,Wp5,.0131539903635083
Wp6,Wp6,.0200358166598614
Wp6,Wright,.0140058312020436
Wright,Wleft,.0004597206360426
Wright,Wm2,.0027926906152962
Wright,Wm1,.0032021062605366
Wright,Wp1,.0051090726746585
Wright,Wp2,.0070613321358735
Wright,Wp3,.0086844111238683
Wright,Wp4,.0105229735695857
Wright,Wp5,.0121913450750973
Wright,Wp6,.0140058312020436
Wright,Wright,.0196176616663703
