f_c_y,K,lastcohort,rows,unsupported
1968,2,0,36,1
1968,3,0,37,1
1968,4,0,40,1
1968,5,0,42,1
1968,6,0,43,1
1968,9,0,65,1
1968,10,0,64,1
1968,11,0,66,1
1968,12,0,68,1
1968,13,0,68,1
1968,14,0,71,1
1968,15,0,73,1
1968,16,0,73,1
1968,17,0,73,1
1968,18,0,68,1
1968,19,0,65,1
1968,20,0,63,1
1968,21,0,63,1
1968,22,0,101,1
1968,23,0,96,1
1968,24,0,97,1
1968,25,0,98,1
1968,26,0,100,1
1968,27,0,68,1
1968,28,0,49,1
1968,29,0,50,1
1968,31,0,49,1
1968,33,0,50,1
1968,35,0,48,1
1968,37,0,48,1
1968,39,0,48,1
1968,41,0,48,1
1968,43,0,45,1
1968,45,0,44,1
1968,47,0,43,1
1968,49,0,40,1
1968,51,0,36,1
1969,1,0,45,1
1969,2,0,48,1
1969,3,0,49,1
1969,4,0,49,1
1969,5,0,49,1
1969,8,0,88,1
1969,9,0,87,1
1969,10,0,89,1
1969,11,0,89,1
1969,12,0,90,1
1969,13,0,92,1
1969,14,0,93,1
1969,15,0,94,1
1969,16,0,95,1
1969,17,0,97,1
1969,18,0,96,1
1969,19,0,94,1
1969,20,0,92,1
1969,21,0,126,1
1969,22,0,120,1
1969,23,0,123,1
1969,24,0,124,1
1969,25,0,126,1
1969,26,0,100,1
1969,27,0,77,1
1969,28,0,79,1
1969,30,0,78,1
1969,32,0,78,1
1969,34,0,76,1
1969,36,0,71,1
1969,38,0,68,1
1969,40,0,68,1
1969,42,0,66,1
1969,44,0,59,1
1969,46,0,52,1
1969,48,0,52,1
1969,50,0,48,1
1970,0,0,23,1
1970,1,0,25,1
1970,2,0,28,1
1970,3,0,33,1
1970,4,0,34,1
1970,7,0,99,1
1970,8,0,100,1
1970,9,0,100,1
1970,10,0,102,1
1970,11,0,106,1
1970,12,0,107,1
1970,13,0,108,1
1970,14,0,108,1
1970,15,0,106,1
1970,16,0,104,1
1970,17,0,104,1
1970,18,0,103,1
1970,19,0,100,1
1970,20,0,136,1
1970,21,0,129,1
1970,22,0,129,1
1970,23,0,129,1
1970,24,0,139,1
1970,25,0,112,1
1970,26,0,83,1
1970,27,0,87,1
1970,29,0,86,1
1970,31,0,86,1
1970,33,0,81,1
1970,35,0,79,1
1970,37,0,76,1
1970,39,0,72,1
1970,41,0,67,1
1970,43,0,62,1
1970,45,0,61,1
1970,47,0,54,1
1970,49,0,52,1
1971,-1,0,17,1
1971,0,0,20,1
1971,1,0,23,1
1971,2,0,24,1
1971,3,0,24,1
1971,6,0,106,1
1971,7,0,107,1
1971,8,0,112,1
