coefficient_i,coefficient_j,covariance
Wleft,Wleft,.2722664807396165
Wleft,Wm2,.0603622080387747
Wleft,Wm1,.035048514361638
Wleft,Wp1,.0225469324754363
Wleft,Wp2,.0228039459578785
Wleft,Wp3,.022217077524909
Wleft,Wp4,.0178405304760049
Wleft,Wp5,.0167687427037299
Wleft,Wp6,.0126772105915188
Wleft,Wright,-.0040095409004641
Wm2,Wleft,.0603622080387747
Wm2,Wm2,.15300614223039
Wm2,Wm1,.0342218988646609
Wm2,Wp1,.0204403705813587
Wm2,Wp2,.0211450052671077
Wm2,Wp3,.0213715022401954
Wm2,Wp4,.0187866687538919
Wm2,Wp5,.0197540689111352
Wm2,Wp6,.0167808869952392
Wm2,Wright,.0020287052184586
Wm1,Wleft,.035048514361638
Wm1,Wm2,.0342218988646609
Wm1,Wm1,.0825696842957432
Wm1,Wp1,.0172029077356771
Wm1,Wp2,.0186930479675382
Wm1,Wp3,.0197785864366924
Wm1,Wp4,.0173600886261863
Wm1,Wp5,.0185270654203852
Wm1,Wp6,.0161923824802643
Wm1,Wright,.0057639485642763
Wp1,Wleft,.0225469324754363
Wp1,Wm2,.0204403705813587
Wp1,Wm1,.0172029077356771
Wp1,Wp1,.0309920379969843
Wp1,Wp2,.0202140978094231
Wp1,Wp3,.0203166111562556
Wp1,Wp4,.0195417898513429
Wp1,Wp5,.0198806076609421
Wp1,Wp6,.0192239091644591
Wp1,Wright,.0137943413295904
Wp2,Wleft,.0228039459578785
Wp2,Wm2,.0211450052671077
Wp2,Wm1,.0186930479675382
Wp2,Wp1,.0202140978094231
Wp2,Wp2,.036059503145574
Wp2,Wp3,.0267179942408895
Wp2,Wp4,.0241346787858729
Wp2,Wp5,.0238052085593063
Wp2,Wp6,.0238378224104142
Wp2,Wright,.019500508313134
Wp3,Wleft,.022217077524909
Wp3,Wm2,.0213715022401954
Wp3,Wm1,.0197785864366924
Wp3,Wp1,.0203166111562556
Wp3,Wp2,.0267179942408895
Wp3,Wp3,.038486172537347
Wp3,Wp4,.0287286967806293
Wp3,Wp5,.0280124240371729
Wp3,Wp6,.0280862385573827
Wp3,Wright,.0256059671560632
Wp4,Wleft,.0178405304760049
Wp4,Wm2,.0187866687538919
Wp4,Wm1,.0173600886261863
Wp4,Wp1,.0195417898513429
Wp4,Wp2,.0241346787858729
Wp4,Wp3,.0287286967806293
Wp4,Wp4,.0384729870087903
Wp4,Wp5,.0308153035642126
Wp4,Wp6,.0301198129986254
Wp4,Wright,.0279260089198972
Wp5,Wleft,.0167687427037299
Wp5,Wm2,.0197540689111352
Wp5,Wm1,.0185270654203852
Wp5,Wp1,.0198806076609421
Wp5,Wp2,.0238052085593063
Wp5,Wp3,.0280124240371729
Wp5,Wp4,.0308153035642126
Wp5,Wp5,.0446826323339091
Wp5,Wp6,.0358569206408984
Wp5,Wright,.0319218624499174
Wp6,Wleft,.0126772105915188
Wp6,Wm2,.0167808869952392
Wp6,Wm1,.0161923824802643
Wp6,Wp1,.0192239091644591
Wp6,Wp2,.0238378224104142
Wp6,Wp3,.0280862385573827
Wp6,Wp4,.0301198129986254
Wp6,Wp5,.0358569206408984
Wp6,Wp6,.0469352196430259
Wp6,Wright,.0356615391200829
Wright,Wleft,-.0040095409004641
Wright,Wm2,.0020287052184586
Wright,Wm1,.0057639485642763
Wright,Wp1,.0137943413295904
Wright,Wp2,.019500508313134
Wright,Wp3,.0256059671560632
Wright,Wp4,.0279260089198972
Wright,Wp5,.0319218624499174
Wright,Wp6,.0356615391200829
Wright,Wright,.0472263876967502
