f_c_y,K,lastcohort,rows
1968,2,0,85
1968,3,0,84
1968,4,0,83
1968,5,0,83
1968,6,0,83
1968,9,0,129
1968,10,0,129
1968,11,0,131
1968,12,0,134
1968,13,0,134
1968,14,0,143
1968,15,0,142
1968,16,0,142
1968,17,0,144
1968,18,0,133
1968,19,0,129
1968,20,0,121
1968,21,0,124
1968,22,0,187
1968,23,0,188
1968,24,0,187
1968,25,0,189
1968,26,0,195
1968,27,0,136
1968,28,0,93
1968,29,0,96
1968,31,0,96
1968,33,0,97
1968,35,0,95
1968,37,0,93
1968,39,0,90
1968,41,0,89
1968,43,0,85
1968,45,0,84
1968,47,0,80
1968,49,0,75
1968,51,0,66
1969,1,0,99
1969,2,0,99
1969,3,0,99
1969,4,0,98
1969,5,0,96
1969,8,0,179
1969,9,0,180
1969,10,0,189
1969,11,0,186
1969,12,0,191
1969,13,0,193
1969,14,0,193
1969,15,0,192
1969,16,0,190
1969,17,0,189
1969,18,0,184
1969,19,0,181
1969,20,0,179
1969,21,0,230
1969,22,0,229
1969,23,0,226
1969,24,0,234
1969,25,0,241
1969,26,0,195
1969,27,0,151
1969,28,0,153
1969,30,0,151
1969,32,0,142
1969,34,0,136
1969,36,0,133
1969,38,0,125
1969,40,0,126
1969,42,0,123
1969,44,0,107
1969,46,0,96
1969,48,0,92
1969,50,0,80
1970,0,0,66
1970,1,0,68
1970,2,0,69
1970,3,0,70
1970,4,0,70
1970,7,0,185
1970,8,0,189
1970,9,0,198
1970,10,0,197
1970,11,0,200
1970,12,0,201
1970,13,0,202
1970,14,0,202
1970,15,0,202
1970,16,0,196
1970,17,0,197
1970,18,0,192
1970,19,0,191
1970,20,0,246
1970,21,0,238
1970,22,0,235
1970,23,0,237
1970,24,0,251
1970,25,0,198
1970,26,0,151
1970,27,0,158
1970,29,0,158
1970,31,0,151
1970,33,0,144
1970,35,0,142
1970,37,0,132
1970,39,0,128
1970,41,0,120
1970,43,0,109
1970,45,0,107
