coefficient,estimate,standard_error
L0event,.1281848536667288,.1423275
L1event,.5654770432720794,.15563114
L2event,.5439224844249372,.15337248
L3event,.7702743583506019,.16082871
L4event,.7669851932321626,.1572978
L5event,.9374277037839284,.16176736
L6event,1.042408453570282,.16611071
L7event,.9128272445819035,.16081904
L8event,1.029049223396862,.1597551
L9event,.978589505673428,.154434
L10event,1.031213982838751,.1650299
L11event,.9665722737536483,.1262116
F1event,.012131955722552,.15555337
F3event,-.0561975573773857,.1797494
F4event,-.1734695195839779,.18006653
F5event,.1529083367795161,.23410788
F7event,.1824537830561182,.14098711
