coefficient_i,coefficient_j,covariance
L0event,L0event,.0187352333523898
L0event,L1event,.0052868978881657
L0event,L2event,.0100340285324433
L0event,L3event,.0045365456577556
L0event,L4event,.0097422697751543
L0event,L5event,.0045666759571569
L0event,L6event,.009456445965763
L0event,L7event,.0046420225710969
L0event,L8event,.0084814475296199
L0event,L9event,.0041014868090986
L0event,L10event,.0082947448627897
L0event,L11event,.0052880421910454
L0event,F1event,.0055588312495282
L0event,F3event,.0042203593391301
L0event,F4event,.0086201096271888
L0event,F5event,.0052189703974343
L0event,F7event,.007155581220585
L1event,L0event,.0052868978881657
L1event,L1event,.0224796947124919
L1event,L2event,.005888376857133
L1event,L3event,.0123184996907726
L1event,L4event,.0058125484912449
L1event,L5event,.011217079746754
L1event,L6event,.0054824476010758
L1event,L7event,.0107103018754645
L1event,L8event,.0048841775991551
L1event,L9event,.0095860719244156
L1event,L10event,.0052468596772448
L1event,L11event,.0067513809756783
L1event,F1event,.0104806068240653
L1event,F3event,.0100799298374239
L1event,F4event,.0038126347364797
L1event,F5event,.0111470171020847
L1event,F7event,.0025619878485099
L2event,L0event,.0100340285324433
L2event,L1event,.005888376857133
L2event,L2event,.0221465075065101
L2event,L3event,.0057001379003499
L2event,L4event,.0121160695160216
L2event,L5event,.0056382394400248
L2event,L6event,.0113157072614619
L2event,L7event,.0056446192472835
L2event,L8event,.0096391342862413
L2event,L9event,.0050713149123555
L2event,L10event,.0100876471849673
L2event,L11event,.0069601277441122
L2event,F1event,.0051847439664049
L2event,F3event,.0045891889209279
L2event,F4event,.0090393980162241
L2event,F5event,.0050182094719139
L2event,F7event,.0070573747796403
L3event,L0event,.0045365456577556
L3event,L1event,.0123184996907726
L3event,L2event,.0057001379003499
L3event,L3event,.0244799429150737
L3event,L4event,.0065493702014071
L3event,L5event,.0133055496739704
L3event,L6event,.0061918455897723
L3event,L7event,.0127873107053754
L3event,L8event,.0053355965826627
L3event,L9event,.0111070547503929
L3event,L10event,.0055977268884229
L3event,L11event,.008093087313921
L3event,F1event,.0105842795430035
L3event,F3event,.0101187495103444
L3event,F4event,.0034055607074427
L3event,F5event,.010641094237022
L3event,F7event,.0016996570685466
L4event,L0event,.0097422697751543
L4event,L1event,.0058125484912449
L4event,L2event,.0121160695160216
L4event,L3event,.0065493702014071
L4event,L4event,.0234397398064091
L4event,L5event,.006930700554748
L4event,L6event,.0129538568821018
L4event,L7event,.0068106165846321
L4event,L8event,.0119428880653801
L4event,L9event,.0061956315329554
L4event,L10event,.0117340348121376
L4event,L11event,.0084569188731279
L4event,F1event,.0054423098589195
L4event,F3event,.0049948943836197
L4event,F4event,.0085850808359776
L4event,F5event,.0054036277114928
L4event,F7event,.0061892449822986
L5event,L0event,.0045666759571569
L5event,L1event,.011217079746754
L5event,L2event,.0056382394400248
L5event,L3event,.0133055496739704
L5event,L4event,.006930700554748
L5event,L5event,.0248251121485369
L5event,L6event,.0074656228469222
L5event,L7event,.0145062747434867
L5event,L8event,.0065044259602726
L5event,L9event,.0124524705763747
L5event,L10event,.0071644195279255
L5event,L11event,.0097774332566093
L5event,F1event,.0099086247405996
L5event,F3event,.0095551601612721
L5event,F4event,.0032104470290255
L5event,F5event,.0095765288773962
L5event,F7event,.0008450648195241
L6event,L0event,.009456445965763
L6event,L1event,.0054824476010758
L6event,L2event,.0113157072614619
L6event,L3event,.0061918455897723
L6event,L4event,.0129538568821018
L6event,L5event,.0074656228469222
L6event,L6event,.0262582221895547
L6event,L7event,.0078393017805993
L6event,L8event,.0138126793471109
L6event,L9event,.0075236579311626
L6event,L10event,.013681011730487
L6event,L11event,.0102443430918813
L6event,F1event,.0053233749223375
L6event,F3event,.0048571224647201
L6event,F4event,.0083053589379585
L6event,F5event,.0049316834050757
L6event,F7event,.0049782557843993
L7event,L0event,.0046420225710969
L7event,L1event,.0107103018754645
L7event,L2event,.0056446192472835
L7event,L3event,.0127873107053754
L7event,L4event,.0068106165846321
L7event,L5event,.0145062747434867
L7event,L6event,.0078393017805993
L7event,L7event,.0245842271669692
L7event,L8event,.0079096317457124
L7event,L9event,.014473479184671
L7event,L10event,.0080944941885378
L7event,L11event,.0111605919446084
L7event,F1event,.0099294667688933
L7event,F3event,.0087019576223935
L7event,F4event,.0027438830510899
L7event,F5event,.0083276780655304
L7event,F7event,.000309528671705
L8event,L0event,.0084814475296199
L8event,L1event,.0048841775991551
L8event,L2event,.0096391342862413
L8event,L3event,.0053355965826627
L8event,L4event,.0119428880653801
L8event,L5event,.0065044259602726
L8event,L6event,.0138126793471109
L8event,L7event,.0079096317457124
L8event,L8event,.0246217231255714
L8event,L9event,.0083961123265155
L8event,L10event,.0152240608085263
L8event,L11event,.0109307608026812
L8event,F1event,.0049457528576052
L8event,F3event,.0038811665346449
L8event,F4event,.0069231707690468
L8event,F5event,.0038421461445178
L8event,F7event,.0041869469471921
L9event,L0event,.0041014868090986
L9event,L1event,.0095860719244156
L9event,L2event,.0050713149123555
L9event,L3event,.0111070547503929
L9event,L4event,.0061956315329554
L9event,L5event,.0124524705763747
L9event,L6event,.0075236579311626
L9event,L7event,.014473479184671
L9event,L8event,.0083961123265155
L9event,L9event,.0237392124754801
L9event,L10event,.008340936836794
L9event,L11event,.0121314737577539
L9event,F1event,.0084026519829339
L9event,F3event,.0071146500819093
L9event,F4event,.0021630068965421
L9event,F5event,.0067269248702757
L9event,F7event,-.0000861297664469
L10event,L0event,.0082947448627897
L10event,L1event,.0052468596772448
L10event,L2event,.0100876471849673
L10event,L3event,.0055977268884229
L10event,L4event,.0117340348121376
L10event,L5event,.0071644195279255
L10event,L6event,.013681011730487
L10event,L7event,.0080944941885378
L10event,L8event,.0152240608085263
L10event,L9event,.008340936836794
L10event,L10event,.0271792619388532
L10event,L11event,.0125676107372048
L10event,F1event,.0049089020745601
L10event,F3event,.0040121511890807
L10event,F4event,.0064600192001619
L10event,F5event,.0040744586243687
L10event,F7event,.0041931108697062
L11event,L0event,.0052880421910454
L11event,L1event,.0067513809756783
L11event,L2event,.0069601277441122
L11event,L3event,.008093087313921
L11event,L4event,.0084569188731279
L11event,L5event,.0097774332566093
L11event,L6event,.0102443430918813
L11event,L7event,.0111605919446084
L11event,L8event,.0109307608026812
L11event,L9event,.0121314737577539
L11event,L10event,.0125676107372048
L11event,L11event,.0163080155890981
L11event,F1event,.0055785524544958
L11event,F3event,.0044243324751616
L11event,F4event,.0030679226435675
L11event,F5event,.0037613167117416
L11event,F7event,.0006871484353922
F1event,L0event,.0055588312495282
F1event,L1event,.0104806068240653
F1event,L2event,.0051847439664049
F1event,L3event,.0105842795430035
F1event,L4event,.0054423098589195
F1event,L5event,.0099086247405996
F1event,L6event,.0053233749223375
F1event,L7event,.0099294667688933
F1event,L8event,.0049457528576052
F1event,L9event,.0084026519829339
F1event,L10event,.0049089020745601
F1event,L11event,.0055785524544958
F1event,F1event,.0225852742928941
F1event,F3event,.0111543797813945
F1event,F4event,.0046160615061603
F1event,F5event,.0114541448880633
F1event,F7event,.0032031323555238
F3event,L0event,.0042203593391301
F3event,L1event,.0100799298374239
F3event,L2event,.0045891889209279
F3event,L3event,.0101187495103444
F3event,L4event,.0049948943836197
F3event,L5event,.0095551601612721
F3event,L6event,.0048571224647201
F3event,L7event,.0087019576223935
F3event,L8event,.0038811665346449
F3event,L9event,.0071146500819093
F3event,L10event,.0040121511890807
F3event,L11event,.0044243324751616
F3event,F1event,.0111543797813945
F3event,F3event,.0297951533646032
F3event,F4event,.0050110436140362
F3event,F5event,.0145661355351089
F3event,F7event,.0039152886251375
F4event,L0event,.0086201096271888
F4event,L1event,.0038126347364797
F4event,L2event,.0090393980162241
F4event,L3event,.0034055607074427
F4event,L4event,.0085850808359776
F4event,L5event,.0032104470290255
F4event,L6event,.0083053589379585
F4event,L7event,.0027438830510899
F4event,L8event,.0069231707690468
F4event,L9event,.0021630068965421
F4event,L10event,.0064600192001619
F4event,L11event,.0030679226435675
F4event,F1event,.0046160615061603
F4event,F3event,.0050110436140362
F4event,F4event,.030188124859246
F4event,F5event,.0071979300284037
F4event,F7event,.0098403359004755
F5event,L0event,.0052189703974343
F5event,L1event,.0111470171020847
F5event,L2event,.0050182094719139
F5event,L3event,.010641094237022
F5event,L4event,.0054036277114928
F5event,L5event,.0095765288773962
F5event,L6event,.0049316834050757
F5event,L7event,.0083276780655304
F5event,L8event,.0038421461445178
F5event,L9event,.0067269248702757
F5event,L10event,.0040744586243687
F5event,L11event,.0037613167117416
F5event,F1event,.0114541448880633
F5event,F3event,.0145661355351089
F5event,F4event,.0071979300284037
F5event,F5event,.0514702119166656
F5event,F7event,.0061782870566695
F7event,L0event,.007155581220585
F7event,L1event,.0025619878485099
F7event,L2event,.0070573747796403
F7event,L3event,.0016996570685466
F7event,L4event,.0061892449822986
F7event,L5event,.0008450648195241
F7event,L6event,.0049782557843993
F7event,L7event,.000309528671705
F7event,L8event,.0041869469471921
F7event,L9event,-.0000861297664469
F7event,L10event,.0041931108697062
F7event,L11event,.0006871484353922
F7event,F1event,.0032031323555238
F7event,F3event,.0039152886251375
F7event,F4event,.0098403359004755
F7event,F5event,.0061782870566695
F7event,F7event,.0190368089299839
