coefficient,estimate,standard_error
L0event,-.0116486750096268,.15951306
L1event,.4049588110484811,.17169653
L2event,.5820949840596704,.1803319
L3event,.6628374873854531,.17602538
L4event,.5581123787482443,.17977536
L5event,.9448899692899065,.17347059
L6event,1.126694268067234,.18826586
L7event,1.092239829759922,.18204458
L8event,.9560112129418773,.18476546
L9event,1.236809041422112,.19140381
L10event,1.032715684169615,.19179288
L11event,1.17490918159579,.15098394
F1event,.2513377049032413,.16905184
F3event,-.050615724640642,.16745006
F4event,.1737438955510162,.21160233
F5event,.0583329065964692,.2222188
F6event,.0186694822862286,.2440701
F7event,.3841511619215156,.21553198
