coefficient_i,coefficient_j,covariance
Dleft,Dleft,.0462778264990385
Dleft,Dm7,.0190023214160697
Dleft,Dm5,.0148638662611418
Dleft,Dm1,.0095096178116843
Dleft,Dp1,.0097730178940091
Dleft,Dp3,.0089901957553925
Dleft,Dp5,.0077180750177187
Dleft,Dp7,.0062990614830714
Dleft,Dp9,.0056836693667642
Dleft,Dright,.0008725689283934
Dm7,Dleft,.0190023214160697
Dm7,Dm7,.0389343489560822
Dm7,Dm5,.0124338862865771
Dm7,Dm1,.008697992941048
Dm7,Dp1,.0090177976602808
Dm7,Dp3,.0081638840155338
Dm7,Dp5,.0075528843639802
Dm7,Dp7,.0063965905654443
Dm7,Dp9,.0056204191252437
Dm7,Dright,.0028923623679906
Dm5,Dleft,.0148638662611418
Dm5,Dm7,.0124338862865771
Dm5,Dm5,.0245368161853754
Dm5,Dm1,.0071660603019348
Dm5,Dp1,.0073849825438478
Dm5,Dp3,.0074260366162642
Dm5,Dp5,.0068126853319035
Dm5,Dp7,.0061917481921652
Dm5,Dp9,.0053685097820279
Dm5,Dright,.0032572301145837
Dm1,Dleft,.0095096178116843
Dm1,Dm7,.008697992941048
Dm1,Dm5,.0071660603019348
Dm1,Dm1,.0133696737168339
Dm1,Dp1,.0084113720015726
Dm1,Dp3,.007621012555658
Dm1,Dp5,.0075643320734556
Dm1,Dp7,.0070203369477938
Dm1,Dp9,.0069470625492299
Dm1,Dright,.0053811354617607
Dp1,Dleft,.0097730178940091
Dp1,Dm7,.0090177976602808
Dp1,Dm5,.0073849825438478
Dp1,Dm1,.0084113720015726
Dp1,Dp1,.0154989660561464
Dp1,Dp3,.0096219898278982
Dp1,Dp5,.0093248337351095
Dp1,Dp7,.0087464267597414
Dp1,Dp9,.0086256467198042
Dp1,Dright,.0074557128349958
Dp3,Dleft,.0089901957553925
Dp3,Dm7,.0081638840155338
Dp3,Dm5,.0074260366162642
Dp3,Dm1,.007621012555658
Dp3,Dp1,.0096219898278982
Dp3,Dp3,.0158622547189424
Dp3,Dp5,.0106540774394002
Dp3,Dp7,.0101817457753234
Dp3,Dp9,.0098710848207314
Dp3,Dright,.0091441731072298
Dp5,Dleft,.0077180750177187
Dp5,Dm7,.0075528843639802
Dp5,Dm5,.0068126853319035
Dp5,Dm1,.0075643320734556
Dp5,Dp1,.0093248337351095
Dp5,Dp3,.0106540774394002
Dp5,Dp5,.0182076956881999
Dp5,Dp7,.0118906609707184
Dp5,Dp9,.0115986835064662
Dp5,Dright,.0107808063511422
Dp7,Dleft,.0062990614830714
Dp7,Dm7,.0063965905654443
Dp7,Dm5,.0061917481921652
Dp7,Dm1,.0070203369477938
Dp7,Dp1,.0087464267597414
Dp7,Dp3,.0101817457753234
Dp7,Dp5,.0118906609707184
Dp7,Dp7,.019246675214226
Dp7,Dp9,.0137200785084477
Dp7,Dright,.0127083917586399
Dp9,Dleft,.0056836693667642
Dp9,Dm7,.0056204191252437
Dp9,Dm5,.0053685097820279
Dp9,Dm1,.0069470625492299
Dp9,Dp1,.0086256467198042
Dp9,Dp3,.0098710848207314
Dp9,Dp5,.0115986835064662
Dp9,Dp7,.0137200785084477
Dp9,Dp9,.0213883587418582
Dp9,Dright,.0144977645619925
Dright,Dleft,.0008725689283934
Dright,Dm7,.0028923623679906
Dright,Dm5,.0032572301145837
Dright,Dm1,.0053811354617607
Dright,Dp1,.0074557128349958
Dright,Dp3,.0091441731072298
Dright,Dp5,.0107808063511422
Dright,Dp7,.0127083917586399
Dright,Dp9,.0144977645619925
Dright,Dright,.0197509896153262
