design,specification,outcome,estimand,b,se,p,ci_low,ci_high,N,first_stage_F
same_sex,mother_secondbirth_post5,moved_for_size_post5,first_stage,.0720666084127214,.026785595,.0072009796,.019532222,.12460099,1835,7.2387829
same_sex,mother_secondbirth_post5,moved_for_size_post5,first_stage_unweighted,.0763361414224041,.021838665,.00048479918,.033504136,.11916815,1835,12.218229
same_sex,mother_secondbirth_post5,moved_for_size_post5,iv_2sls,.1036448198347553,.34715065,.76527685,-.57675797,.7840476,1835,7.2387829
same_sex,mother_secondbirth_post5,moved_for_size_post5,ols,.042291379212867,.028159518,.13331246,-.012937669,.097520426,1835,7.2387829
same_sex,mother_secondbirth_post5,moved_for_size_post5,reduced_form,.0074693306450279,.025389202,.76864445,-.04232632,.05726498,1835,7.2387829
same_sex,mother_secondbirth_post5,moved_for_size_post5,reduced_form_unweighted,.0118020328859101,.020765254,.56986547,-.028924704,.052528769,1835,12.218229
same_sex,mother_secondbirth_post5,moved_to_own_post5,first_stage,.1291186280378591,.040989384,.001688459,.048668474,.20956878,912,9.9228182
same_sex,mother_secondbirth_post5,moved_to_own_post5,first_stage_unweighted,.086322840446856,.031985678,.0070945998,.023544321,.14910136,912,7.2835031
same_sex,mother_secondbirth_post5,moved_to_own_post5,iv_2sls,.3346706564013134,.24889965,.1787542,-.1531637,.822505,912,9.9228182
same_sex,mother_secondbirth_post5,moved_to_own_post5,ols,.0104964994298768,.030226154,.72847629,-.048828587,.069821589,912,9.9228182
same_sex,mother_secondbirth_post5,moved_to_own_post5,reduced_form,.0432122159990941,.029706046,.14612557,-.015092051,.10151649,912,9.9228182
same_sex,mother_secondbirth_post5,moved_to_own_post5,reduced_form_unweighted,.0218008581811853,.01961571,.26670557,-.016699035,.060300749,912,7.2835031
same_sex,mother_secondbirth_post5,own_post5,first_stage,.1234886241721173,.040553264,.0023927391,.043900292,.20307696,961,9.2726154
same_sex,mother_secondbirth_post5,own_post5,first_stage_unweighted,.0955443243995345,.03129274,.0023293756,.034130353,.1569583,961,9.3222895
same_sex,mother_secondbirth_post5,own_post5,iv_2sls,.2754564560519175,.32565132,.39762908,-.36280841,.91372132,961,9.2726154
same_sex,mother_secondbirth_post5,own_post5,ols,.0386079077220836,.042854011,.36786976,-.045495782,.1227116,961,9.2726154
same_sex,mother_secondbirth_post5,own_post5,reduced_form,.0340157387772568,.040014695,.3955026,-.044515617,.11254709,961,9.2726154
same_sex,mother_secondbirth_post5,own_post5,reduced_form_unweighted,.0276919618088547,.030394107,.36248481,-.031958386,.087342307,961,9.3222895
same_sex,mother_secondbirth_post5,rooms_change_post5,first_stage,.0725711160718961,.026767774,.0067694336,.020071704,.12507053,1836,7.3502665
same_sex,mother_secondbirth_post5,rooms_change_post5,first_stage_unweighted,.076818772668257,.021821048,.00044169635,.034021333,.11961621,1836,12.393202
same_sex,mother_secondbirth_post5,rooms_change_post5,iv_2sls,-1.228847643049254,1.0526052,.24303494,-3.2919159,.83422065,1836,7.3502665
same_sex,mother_secondbirth_post5,rooms_change_post5,ols,.0606361890625267,.077987753,.43696129,-.092320532,.21359292,1836,7.3502665
same_sex,mother_secondbirth_post5,rooms_change_post5,reduced_form,-.0891788449384173,.069166057,.19744526,-.22483365,.046475962,1836,7.3502665
same_sex,mother_secondbirth_post5,rooms_change_post5,reduced_form_unweighted,-.0997805824729399,.058029164,.08569821,-.21359269,.014031534,1836,12.393202
twins,mother_firstbirth_post5,moved_for_size_post5,first_stage,.3667507079019596,.046660814,6.3398570e-15,.27523971,.4582617,1974,61.778492
twins,mother_firstbirth_post5,moved_for_size_post5,first_stage_unweighted,.4295563253253171,.033495352,3.4561324e-36,.36386538,.49524727,1974,164.46411
twins,mother_firstbirth_post5,moved_for_size_post5,iv_2sls,.0915698998779692,.25167403,.71597505,-.40170214,.58484197,1974,61.778492
twins,mother_firstbirth_post5,moved_for_size_post5,ols,.0645043877658439,.0257359,.012278649,.014031248,.11497753,1974,61.778492
twins,mother_firstbirth_post5,moved_for_size_post5,reduced_form,.03358332560276,.09267509,.71711004,-.14817068,.21533732,1974,61.778492
twins,mother_firstbirth_post5,moved_for_size_post5,reduced_form_unweighted,.052355433627037,.078865252,.50685978,-.10231478,.20702565,1974,164.46411
twins,mother_firstbirth_post5,moved_to_own_post5,first_stage,.3739301702133759,.061898503,2.2609385e-09,.25244367,.49541667,923,36.493938
twins,mother_firstbirth_post5,moved_to_own_post5,first_stage_unweighted,.4430636498748629,.041232832,2.1862977e-25,.36213711,.52399021,923,115.46381
twins,mother_firstbirth_post5,moved_to_own_post5,iv_2sls,.0512316736330233,.28204122,.85586053,-.50155896,.60402226,923,36.493938
twins,mother_firstbirth_post5,moved_to_own_post5,ols,.0123994706057103,.027740683,.6550014,-.042046413,.06684535,923,36.493938
twins,mother_firstbirth_post5,moved_to_own_post5,reduced_form,.0191570684418806,.10787527,.85908961,-.19256678,.23088092,923,36.493938
twins,mother_firstbirth_post5,moved_to_own_post5,reduced_form_unweighted,.0110394519374196,.067920372,.87092185,-.122266,.14434491,923,115.46381
twins,mother_firstbirth_post5,own_post5,first_stage,.3898527125881736,.064844251,2.6294777e-09,.26259434,.51711106,974,36.145828
twins,mother_firstbirth_post5,own_post5,first_stage_unweighted,.4418033316458134,.041423477,3.9312489e-25,.36050877,.52309787,974,113.75352
twins,mother_firstbirth_post5,own_post5,iv_2sls,.0976804047948509,.30299196,.7471602,-.49617293,.69153374,974,36.145828
twins,mother_firstbirth_post5,own_post5,ols,.1534770702960788,.038361527,.000068153087,.078191668,.22876248,974,36.145828
twins,mother_firstbirth_post5,own_post5,reduced_form,.0380809707761069,.1218766,.75476485,-.20110473,.27726668,974,36.145828
twins,mother_firstbirth_post5,own_post5,reduced_form_unweighted,-.018434354631764,.09606573,.84786791,-.20696563,.17009692,974,113.75352
twins,mother_firstbirth_post5,rooms_change_post5,first_stage,.3667507079019596,.046660814,6.3398570e-15,.27523971,.4582617,1974,61.778492
twins,mother_firstbirth_post5,rooms_change_post5,first_stage_unweighted,.4295563253253171,.033495352,3.4561324e-36,.36386538,.49524727,1974,164.46411
twins,mother_firstbirth_post5,rooms_change_post5,iv_2sls,.5779773609626813,.85179991,.49743158,-1.0915198,2.2474744,1974,61.778492
twins,mother_firstbirth_post5,rooms_change_post5,ols,.5327185951212811,.078330524,1.3823564e-11,.3790971,.68634009,1974,61.778492
twins,mother_firstbirth_post5,rooms_change_post5,reduced_form,.2119736062838606,.31614548,.50262338,-.40804958,.8319968,1974,61.778492
twins,mother_firstbirth_post5,rooms_change_post5,reduced_form_unweighted,.3423481094912137,.21519056,.11179459,-.079682715,.76437891,1974,164.46411
