coefficient_i,coefficient_j,covariance
Wleft,Wleft,.0002060708113043
Wleft,Wm2,.0000998743310252
Wleft,Wm1,.0000769435655485
Wleft,Wp1,.0000456072201661
Wleft,Wp2,.00004606821364
Wleft,Wp3,.0000377880478413
Wleft,Wp4,.0000332031684796
Wleft,Wp5,.0000325450251607
Wleft,Wp6,.0000334110938027
Wleft,Wright,9.24184082378e-06
Wm2,Wleft,.0000998743310252
Wm2,Wm2,.0001660122199058
Wm2,Wm1,.0000785801145138
Wm2,Wp1,.0000462390825788
Wm2,Wp2,.0000482047555843
Wm2,Wp3,.0000421960195653
Wm2,Wp4,.0000389500417597
Wm2,Wp5,.000039233262225
Wm2,Wp6,.0000378081728695
Wm2,Wright,.0000242006108496
Wm1,Wleft,.0000769435655485
Wm1,Wm2,.0000785801145138
Wm1,Wm1,.0001420252597369
Wm1,Wp1,.0000484070847145
Wm1,Wp2,.0000530875706478
Wm1,Wp3,.0000481241341716
Wm1,Wp4,.0000454773678678
Wm1,Wp5,.0000491999360677
Wm1,Wp6,.0000489287785951
Wm1,Wright,.0000416258751537
Wp1,Wleft,.0000456072201661
Wp1,Wm2,.0000462390825788
Wp1,Wm1,.0000484070847145
Wp1,Wp1,.0001071630613517
Wp1,Wp2,.0000615403305036
Wp1,Wp3,.0000571109030574
Wp1,Wp4,.0000577460679577
Wp1,Wp5,.0000627165018168
Wp1,Wp6,.0000630510766743
Wp1,Wright,.0000637973039221
Wp2,Wleft,.00004606821364
Wp2,Wm2,.0000482047555843
Wp2,Wm1,.0000530875706478
Wp2,Wp1,.0000615403305036
Wp2,Wp2,.0001233167750631
Wp2,Wp3,.0000708041382044
Wp2,Wp4,.0000677820239215
Wp2,Wp5,.0000738802497404
Wp2,Wp6,.0000733977857361
Wp2,Wright,.0000759462632505
Wp3,Wleft,.0000377880478413
Wp3,Wm2,.0000421960195653
Wp3,Wm1,.0000481241341716
Wp3,Wp1,.0000571109030574
Wp3,Wp2,.0000708041382044
Wp3,Wp3,.0001346087716111
Wp3,Wp4,.0000818513184432
Wp3,Wp5,.0000867022435162
Wp3,Wp6,.0000881876213644
Wp3,Wright,.0000940605726981
Wp4,Wleft,.0000332031684796
Wp4,Wm2,.0000389500417597
Wp4,Wm1,.0000454773678678
Wp4,Wp1,.0000577460679577
Wp4,Wp2,.0000677820239215
Wp4,Wp3,.0000818513184432
Wp4,Wp4,.0001479009722835
Wp4,Wp5,.0001018489440082
Wp4,Wp6,.0001018214455444
Wp4,Wright,.000108425997761
Wp5,Wleft,.0000325450251607
Wp5,Wm2,.000039233262225
Wp5,Wm1,.0000491999360677
Wp5,Wp1,.0000627165018168
Wp5,Wp2,.0000738802497404
Wp5,Wp3,.0000867022435162
Wp5,Wp4,.0001018489440082
Wp5,Wp5,.0001669671240869
Wp5,Wp6,.0001213918054545
Wp5,Wright,.0001243108404354
Wp6,Wleft,.0000334110938027
Wp6,Wm2,.0000378081728695
Wp6,Wm1,.0000489287785951
Wp6,Wp1,.0000630510766743
Wp6,Wp2,.0000733977857361
Wp6,Wp3,.0000881876213644
Wp6,Wp4,.0001018214455444
Wp6,Wp5,.0001213918054545
Wp6,Wp6,.0001846926488417
Wp6,Wright,.0001412655400642
Wright,Wleft,9.24184082378e-06
Wright,Wm2,.0000242006108496
Wright,Wm1,.0000416258751537
Wright,Wp1,.0000637973039221
Wright,Wp2,.0000759462632505
Wright,Wp3,.0000940605726981
Wright,Wp4,.000108425997761
Wright,Wp5,.0001243108404354
Wright,Wp6,.0001412655400642
Wright,Wright,.0002055338619089
