coefficient_i,coefficient_j,covariance
Wleft,Wleft,.0001906044985151
Wleft,Wm2,.0000566074795681
Wleft,Wm1,.0000347918777869
Wleft,Wp1,.0000208916742983
Wleft,Wp2,.0000252831997701
Wleft,Wp3,.0000113937270049
Wleft,Wp4,-3.65023425917e-07
Wleft,Wp5,-6.32812109201e-07
Wleft,Wp6,-9.22526323154e-06
Wleft,Wright,-.0000201449092591
Wm2,Wleft,.0000566074795681
Wm2,Wm2,.0001520511661762
Wm2,Wm1,.0000392474007565
Wm2,Wp1,.0000266289155794
Wm2,Wp2,.0000248072763599
Wm2,Wp3,.0000246410993805
Wm2,Wp4,.0000315175342177
Wm2,Wp5,.000024681053445
Wm2,Wp6,.0000152943392432
Wm2,Wright,7.23896290758e-06
Wm1,Wleft,.0000347918777869
Wm1,Wm2,.0000392474007565
Wm1,Wm1,.0000948212791164
Wm1,Wp1,.0000236354181228
Wm1,Wp2,.0000252959378801
Wm1,Wp3,.0000149106443734
Wm1,Wp4,.0000172765442347
Wm1,Wp5,.0000240058352547
Wm1,Wp6,.0000192731285578
Wm1,Wright,.0000142302404256
Wp1,Wleft,.0000208916742983
Wp1,Wm2,.0000266289155794
Wp1,Wm1,.0000236354181228
Wp1,Wp1,.0000731605428024
Wp1,Wp2,.0000342076300806
Wp1,Wp3,.0000329748460595
Wp1,Wp4,.0000323621570376
Wp1,Wp5,.0000337228886977
Wp1,Wp6,.0000275932172406
Wp1,Wright,.0000284445632405
Wp2,Wleft,.0000252831997701
Wp2,Wm2,.0000248072763599
Wp2,Wm1,.0000252959378801
Wp2,Wp1,.0000342076300806
Wp2,Wp2,.0001229275000413
Wp2,Wp3,.0000498490489169
Wp2,Wp4,.0000448059825029
Wp2,Wp5,.0000442186972508
Wp2,Wp6,.0000377782130856
Wp2,Wright,.0000359226882474
Wp3,Wleft,.0000113937270049
Wp3,Wm2,.0000246410993805
Wp3,Wm1,.0000149106443734
Wp3,Wp1,.0000329748460595
Wp3,Wp2,.0000498490489169
Wp3,Wp3,.0001592094505471
Wp3,Wp4,.0000527929616153
Wp3,Wp5,.0000500953098037
Wp3,Wp6,.0000527789038255
Wp3,Wright,.0000476456327434
Wp4,Wleft,-3.65023425917e-07
Wp4,Wm2,.0000315175342177
Wp4,Wm1,.0000172765442347
Wp4,Wp1,.0000323621570376
Wp4,Wp2,.0000448059825029
Wp4,Wp3,.0000527929616153
Wp4,Wp4,.0002109933265656
Wp4,Wp5,.0000705414728122
Wp4,Wp6,.0000605840002298
Wp4,Wright,.0000642018079635
Wp5,Wleft,-6.32812109201e-07
Wp5,Wm2,.000024681053445
Wp5,Wm1,.0000240058352547
Wp5,Wp1,.0000337228886977
Wp5,Wp2,.0000442186972508
Wp5,Wp3,.0000500953098037
Wp5,Wp4,.0000705414728122
Wp5,Wp5,.0002971123477335
Wp5,Wp6,.000067225069443
Wp5,Wright,.0000753945707443
Wp6,Wleft,-9.22526323154e-06
Wp6,Wm2,.0000152943392432
Wp6,Wm1,.0000192731285578
Wp6,Wp1,.0000275932172406
Wp6,Wp2,.0000377782130856
Wp6,Wp3,.0000527789038255
Wp6,Wp4,.0000605840002298
Wp6,Wp5,.000067225069443
Wp6,Wp6,.0003727444555117
Wp6,Wright,.0000842101306446
Wright,Wleft,-.0000201449092591
Wright,Wm2,7.23896290758e-06
Wright,Wm1,.0000142302404256
Wright,Wp1,.0000284445632405
Wright,Wp2,.0000359226882474
Wright,Wp3,.0000476456327434
Wright,Wp4,.0000642018079635
Wright,Wp5,.0000753945707443
Wright,Wp6,.0000842101306446
Wright,Wright,.0001741414793077
