f_c_y,control,K,rows
1970,0,-2,19
1970,0,-1,18
1970,0,0,17
1970,0,1,18
1970,0,2,18
1970,0,3,17
1970,0,4,17
1970,0,5,17
1970,0,6,17
1970,0,7,17
1970,0,8,17
1970,0,9,18
1970,0,10,18
1970,0,11,18
1970,0,12,18
1970,0,13,17
1970,0,14,16
1970,0,15,16
1970,0,16,16
1970,0,17,16
1970,0,18,15
1970,0,19,15
1970,0,20,15
1970,0,21,13
1970,0,22,15
1970,0,23,15
1970,0,24,19
1970,0,25,19
1970,0,26,19
1970,0,27,19
1970,0,29,19
1970,0,31,19
1970,0,33,19
1970,0,35,19
1970,0,37,19
1970,0,39,17
1970,0,41,16
1970,0,43,16
1970,0,45,13
1970,0,47,13
1970,0,49,11
1971,0,-3,25
1971,0,-2,25
1971,0,-1,24
1971,0,0,25
1971,0,1,26
1971,0,2,24
1971,0,3,26
1971,0,4,26
1971,0,5,26
1971,0,6,26
1971,0,7,26
1971,0,8,26
1971,0,9,26
1971,0,10,25
1971,0,11,24
1971,0,12,25
1971,0,13,25
1971,0,14,25
1971,0,15,25
1971,0,16,24
1971,0,17,24
1971,0,18,24
1971,0,19,24
1971,0,20,24
1971,0,21,25
1971,0,22,25
1971,0,23,21
1971,0,24,21
1971,0,25,21
1971,0,26,18
1971,0,28,18
1971,0,30,18
1971,0,32,17
1971,0,34,18
1971,0,36,18
1971,0,38,16
1971,0,40,17
1971,0,42,16
1971,0,44,15
1971,0,46,15
1971,0,48,13
1972,0,-4,18
1972,0,-3,21
1972,0,-2,23
1972,0,-1,22
1972,0,0,23
1972,0,1,23
1972,0,2,22
1972,0,3,23
1972,0,4,23
1972,0,5,22
1972,0,6,22
1972,0,7,21
1972,0,8,22
1972,0,9,22
1972,0,10,22
1972,0,11,22
1972,0,12,22
1972,0,13,22
1972,0,14,22
1972,0,15,22
1972,0,16,20
1972,0,17,19
1972,0,18,20
1972,0,19,20
1972,0,20,18
1972,0,21,19
1972,0,22,20
1972,0,23,20
1972,0,24,19
1972,0,25,13
1972,0,27,12
1972,0,29,12
1972,0,31,12
1972,0,33,12
1972,0,35,12
1972,0,37,10
1972,0,39,10
1972,0,41,10
1972,0,43,9
1972,0,45,9
1972,0,47,9
1973,0,-5,23
1973,0,-4,23
1973,0,-3,27
1973,0,-2,29
1973,0,-1,29
1973,0,0,29
1973,0,1,29
1973,0,2,27
1973,0,3,26
1973,0,4,27
1973,0,5,26
1973,0,6,27
1973,0,7,27
1973,0,8,25
1973,0,9,25
1973,0,10,26
1973,0,11,26
1973,0,12,25
1973,0,13,24
1973,0,14,24
1973,0,15,23
1973,0,16,22
1973,0,17,22
1973,0,18,20
1973,0,19,19
1973,0,20,19
1973,0,21,22
1973,0,22,22
1973,0,23,22
1973,0,24,16
1973,0,26,15
1973,0,28,14
1973,0,30,13
1973,0,32,12
1973,0,34,12
1973,0,36,12
1973,0,38,12
1973,0,40,11
1973,0,42,9
1973,0,44,10
1973,0,46,8
1974,0,-6,9
1974,0,-5,12
1974,0,-4,15
1974,0,-3,20
1974,0,-2,22
1974,0,-1,21
1974,0,0,23
1974,0,1,22
1974,0,2,22
1974,0,3,23
1974,0,4,22
1974,0,5,21
1974,0,6,22
1974,0,7,21
1974,0,8,20
1974,0,9,21
1974,0,10,21
1974,0,11,21
1974,0,12,21
1974,0,13,19
1974,0,14,19
1974,0,15,20
1974,0,16,20
1974,0,17,20
1974,0,18,20
1974,0,19,19
1974,0,20,21
1974,0,21,19
1974,0,22,18
1974,0,23,13
1974,0,25,13
1974,0,27,13
1974,0,29,12
1974,0,31,12
1974,0,33,11
1974,0,35,12
1974,0,37,12
1974,0,39,12
1974,0,41,12
1974,0,43,11
1974,0,45,12
1975,0,-7,10
1975,0,-6,9
1975,0,-5,11
1975,0,-4,14
1975,0,-3,16
1975,0,-2,19
1975,0,-1,18
1975,0,0,18
1975,0,1,18
1975,0,2,17
1975,0,3,17
1975,0,4,17
1975,0,5,18
1975,0,6,17
1975,0,7,17
1975,0,8,17
1975,0,9,17
1975,0,10,17
1975,0,11,17
1975,0,12,17
1975,0,13,16
1975,0,14,16
1975,0,15,16
1975,0,16,16
1975,0,17,16
1975,0,18,16
1975,0,19,15
1975,0,20,15
1975,0,21,15
1975,0,22,9
1975,0,24,9
1975,0,26,8
1975,0,28,8
1975,0,30,6
1975,0,32,5
1975,0,34,5
1975,0,36,6
1975,0,38,6
1975,0,40,8
1975,0,42,6
1975,0,44,6
1976,0,-8,12
1976,0,-7,11
1976,0,-6,13
1976,0,-5,12
1976,0,-4,18
1976,0,-3,22
1976,0,-2,24
1976,0,-1,24
1976,0,0,24
1976,0,1,23
1976,0,2,23
1976,0,3,23
1976,0,4,23
1976,0,5,22
1976,0,6,23
1976,0,7,23
1976,0,8,23
1976,0,9,23
1976,0,10,23
1976,0,11,23
1976,0,12,23
1976,0,13,20
1976,0,14,20
1976,0,15,19
1976,0,16,19
1976,0,17,19
1976,0,18,21
1976,0,19,21
1976,0,20,18
1976,0,21,17
1976,0,23,17
1976,0,25,17
1976,0,27,17
1976,0,29,16
1976,0,31,17
1976,0,33,17
1976,0,35,16
1976,0,37,17
1976,0,39,15
1976,0,41,16
1976,0,43,16
1977,0,-9,8
1977,0,-8,5
1977,0,-7,7
1977,0,-6,13
1977,0,-5,17
1977,0,-4,19
1977,0,-3,20
1977,0,-2,61
1977,0,-1,61
1977,0,0,61
1977,0,1,60
1977,0,2,61
1977,0,3,62
1977,0,4,60
1977,0,5,61
1977,0,6,62
1977,0,7,63
1977,0,8,63
1977,0,9,60
1977,0,10,57
1977,0,11,57
1977,0,12,58
1977,0,13,58
1977,0,14,56
1977,0,15,55
1977,0,16,59
1977,0,17,57
1977,0,18,54
1977,0,19,51
1977,0,20,39
1977,0,22,40
1977,0,24,36
1977,0,26,39
1977,0,28,39
1977,0,30,39
1977,0,32,39
1977,0,34,39
1977,0,36,36
1977,0,38,33
1977,0,40,34
1977,0,42,32
1978,0,-10,5
1978,0,-9,8
1978,0,-8,7
1978,0,-7,10
1978,0,-6,12
1978,0,-5,14
1978,0,-4,19
1978,0,-3,60
1978,0,-2,71
1978,0,-1,71
1978,0,0,70
1978,0,1,72
1978,0,2,72
1978,0,3,69
1978,0,4,72
1978,0,5,70
1978,0,6,72
1978,0,7,73
1978,0,8,71
1978,0,9,63
1978,0,10,64
1978,0,11,59
1978,0,12,57
1978,0,13,58
1978,0,14,59
1978,0,15,60
1978,0,16,64
1978,0,17,63
1978,0,18,63
1978,0,19,48
1978,0,21,47
1978,0,23,46
1978,0,25,46
1978,0,27,45
1978,0,29,43
1978,0,31,44
1978,0,33,44
1978,0,35,44
1978,0,37,43
1978,0,39,38
1978,0,41,38
1979,0,-11,7
1979,0,-10,6
1979,0,-9,8
1979,0,-8,8
1979,0,-7,16
1979,0,-6,24
1979,0,-5,24
1979,0,-4,59
1979,0,-3,76
1979,0,-2,84
1979,0,-1,75
1979,0,0,78
1979,0,1,81
1979,0,2,81
1979,0,3,79
1979,0,4,81
1979,0,5,76
1979,0,6,80
1979,0,7,79
1979,0,8,78
1979,0,9,73
1979,0,10,73
1979,0,11,73
1979,0,12,72
1979,0,13,73
1979,0,14,68
1979,0,15,70
1979,0,16,67
1979,0,17,67
1979,0,18,54
1979,0,20,54
1979,0,22,52
1979,0,24,49
1979,0,26,49
1979,0,28,47
1979,0,30,47
1979,0,32,45
1979,0,34,45
1979,0,36,43
1979,0,38,43
1979,0,40,40
1980,0,-12,3
1980,0,-11,4
1980,0,-10,6
1980,0,-9,5
1980,0,-8,10
1980,0,-7,11
1980,0,-6,13
1980,0,-5,34
1980,0,-4,48
1980,0,-3,63
1980,0,-2,69
1980,0,-1,69
1980,0,0,70
1980,0,1,71
1980,0,2,68
1980,0,3,65
1980,0,4,69
1980,0,5,68
1980,0,6,65
1980,0,7,62
1980,0,8,63
1980,0,9,61
1980,0,10,60
1980,0,11,62
1980,0,12,59
1980,0,13,57
1980,0,14,60
1980,0,15,58
1980,0,16,60
1980,0,17,41
1980,0,19,43
1980,0,21,41
1980,0,23,39
1980,0,25,41
1980,0,27,40
1980,0,29,40
1980,0,31,37
1980,0,33,38
1980,0,35,37
1980,0,37,39
1980,0,39,34
1981,0,-13,6
1981,0,-12,6
1981,0,-11,7
1981,0,-10,9
1981,0,-9,12
1981,0,-8,15
1981,0,-7,17
1981,0,-6,41
1981,0,-5,47
1981,0,-4,51
1981,0,-3,58
1981,0,-2,65
1981,0,-1,62
1981,0,0,63
1981,0,1,63
1981,0,2,63
1981,0,3,63
1981,0,4,62
1981,0,5,60
1981,0,6,58
1981,0,7,58
1981,0,8,54
1981,0,9,56
1981,0,10,57
1981,0,11,57
1981,0,12,56
1981,0,13,58
1981,0,14,56
1981,0,15,56
1981,0,16,45
1981,0,18,45
1981,0,20,45
1981,0,22,44
1981,0,24,43
1981,0,26,43
1981,0,28,42
1981,0,30,43
1981,0,32,41
1981,0,34,43
1981,0,36,41
1981,0,38,39
1982,0,-14,3
1982,0,-13,3
1982,0,-12,6
1982,0,-11,6
1982,0,-10,10
1982,0,-9,12
1982,0,-8,15
1982,0,-7,32
1982,0,-6,42
1982,0,-5,53
1982,0,-4,60
1982,0,-3,71
1982,0,-2,72
1982,0,-1,70
1982,0,0,67
1982,0,1,67
1982,0,2,72
1982,0,3,71
1982,0,4,71
1982,0,5,70
1982,0,6,71
1982,0,7,70
1982,0,8,69
1982,0,9,69
1982,0,10,69
1982,0,11,65
1982,0,12,65
1982,0,13,64
1982,0,14,64
1982,0,15,50
1982,0,17,47
1982,0,19,48
1982,0,21,47
1982,0,23,45
1982,0,25,43
1982,0,27,39
1982,0,29,38
1982,0,31,37
1982,0,33,35
1982,0,35,33
1982,0,37,34
1983,0,-13,2
1983,0,-12,5
1983,0,-11,5
