coefficient_i,coefficient_j,covariance
Wleft,Wleft,.0002954992680993
Wleft,Wm2,.0001208723911234
Wleft,Wm1,.0000770296622693
Wleft,Wp1,.0000268672779829
Wleft,Wp2,.0000228219663161
Wleft,Wp3,8.66490369429e-07
Wleft,Wp4,-1.35201502973e-06
Wleft,Wp5,.0000116561724034
Wleft,Wp6,-.0000112462145662
Wleft,Wright,-.0000328988303938
Wm2,Wleft,.0001208723911234
Wm2,Wm2,.0003200856719278
Wm2,Wm1,.0000821848033002
Wm2,Wp1,.0000401613399614
Wm2,Wp2,.000036028776334
Wm2,Wp3,.0000223721819415
Wm2,Wp4,.000018942065259
Wm2,Wp5,.0000159574566255
Wm2,Wp6,.0000195891908532
Wm2,Wright,6.12715977571e-06
Wm1,Wleft,.0000770296622693
Wm1,Wm2,.0000821848033002
Wm1,Wm1,.0002171814851252
Wm1,Wp1,.0000326304052847
Wm1,Wp2,.0000416314018302
Wm1,Wp3,.0000262944643816
Wm1,Wp4,.0000420032886897
Wm1,Wp5,.0000310356334745
Wm1,Wp6,.0000423731774426
Wm1,Wright,.0000135142118577
Wp1,Wleft,.0000268672779829
Wp1,Wm2,.0000401613399614
Wp1,Wm1,.0000326304052847
Wp1,Wp1,.0001655180540294
Wp1,Wp2,.0000594575542271
Wp1,Wp3,.0000542657548037
Wp1,Wp4,.000062135037018
Wp1,Wp5,.0000708269968584
Wp1,Wp6,.0000763698253167
Wp1,Wright,.0000688192397135
Wp2,Wleft,.0000228219663161
Wp2,Wm2,.000036028776334
Wp2,Wm1,.0000416314018302
Wp2,Wp1,.0000594575542271
Wp2,Wp2,.0002854813627893
Wp2,Wp3,.0000901572343686
Wp2,Wp4,.0001015004976992
Wp2,Wp5,.0000907011893739
Wp2,Wp6,.0001172169125543
Wp2,Wright,.0000981804954684
Wp3,Wleft,8.66490369429e-07
Wp3,Wm2,.0000223721819415
Wp3,Wm1,.0000262944643816
Wp3,Wp1,.0000542657548037
Wp3,Wp2,.0000901572343686
Wp3,Wp3,.0004061971553889
Wp3,Wp4,.0001347768701499
Wp3,Wp5,.0001254630309357
Wp3,Wp6,.0001267635897986
Wp3,Wright,.0001044861415416
Wp4,Wleft,-1.35201502973e-06
Wp4,Wm2,.000018942065259
Wp4,Wm1,.0000420032886897
Wp4,Wp1,.000062135037018
Wp4,Wp2,.0001015004976992
Wp4,Wp3,.0001347768701499
Wp4,Wp4,.0005008974795178
Wp4,Wp5,.0001429465487763
Wp4,Wp6,.0001421457797837
Wp4,Wright,.0001305056988384
Wp5,Wleft,.0000116561724034
Wp5,Wm2,.0000159574566255
Wp5,Wm1,.0000310356334745
Wp5,Wp1,.0000708269968584
Wp5,Wp2,.0000907011893739
Wp5,Wp3,.0001254630309357
Wp5,Wp4,.0001429465487763
Wp5,Wp5,.0005228079787098
Wp5,Wp6,.0001841505331333
Wp5,Wright,.0001652529062535
Wp6,Wleft,-.0000112462145662
Wp6,Wm2,.0000195891908532
Wp6,Wm1,.0000423731774426
Wp6,Wp1,.0000763698253167
Wp6,Wp2,.0001172169125543
Wp6,Wp3,.0001267635897986
Wp6,Wp4,.0001421457797837
Wp6,Wp5,.0001841505331333
Wp6,Wp6,.0007361270253755
Wp6,Wright,.0001946107815596
Wright,Wleft,-.0000328988303938
Wright,Wm2,6.12715977571e-06
Wright,Wm1,.0000135142118577
Wright,Wp1,.0000688192397135
Wright,Wp2,.0000981804954684
Wright,Wp3,.0001044861415416
Wright,Wp4,.0001305056988384
Wright,Wp5,.0001652529062535
Wright,Wp6,.0001946107815596
Wright,Wright,.0004158740935167
