f_c_y,control,K,rows
1971,0,-2,15
1971,0,-1,9
1971,0,0,10
1971,0,1,11
1971,0,2,4
1971,0,3,4
1971,0,4,5
1971,0,5,7
1971,0,6,4
1971,0,7,5
1971,0,8,2
1971,0,9,3
1971,0,10,3
1971,0,11,3
1971,0,12,1
1971,0,13,3
1971,0,14,3
1971,0,15,4
1971,0,16,2
1971,0,17,4
1971,0,18,4
1971,0,19,3
1971,0,21,1
1971,0,22,4
1971,0,23,4
1971,0,24,2
1971,0,25,2
1971,0,26,1
1971,0,28,2
1971,0,30,2
1971,0,32,1
1971,0,36,1
1971,0,38,2
1971,0,40,2
1971,0,42,1
1971,0,44,1
1972,0,-3,11
1972,0,-2,21
1972,0,-1,9
1972,0,0,10
1972,0,1,11
1972,0,2,8
1972,0,3,6
1972,0,4,8
1972,0,5,9
1972,0,6,4
1972,0,7,2
1972,0,8,4
1972,0,9,3
1972,0,11,3
1972,0,12,5
1972,0,13,4
1972,0,14,4
1972,0,15,2
1972,0,16,2
1972,0,17,1
1972,0,18,3
1972,0,19,3
1972,0,20,1
1972,0,21,2
1972,0,22,3
1972,0,24,3
1972,0,25,2
1972,0,27,2
1972,0,29,2
1972,0,31,3
1972,0,33,1
1972,0,35,2
1972,0,37,2
1972,0,41,3
1973,0,-4,9
1973,0,-3,15
1973,0,-2,15
1973,0,-1,7
1973,0,0,14
1973,0,1,7
1973,0,2,11
1973,0,3,5
1973,0,4,7
1973,0,5,8
1973,0,6,5
1973,0,7,4
1973,0,8,4
1973,0,9,2
1973,0,10,3
1973,0,11,3
1973,0,12,4
1973,0,13,1
1973,0,14,2
1973,0,15,2
1973,0,16,1
1973,0,17,1
1973,0,18,1
1973,0,19,1
1973,0,20,2
1973,0,21,4
1973,0,24,2
1973,0,26,1
1973,0,28,2
1973,0,30,1
1973,0,36,3
1973,0,38,2
1973,0,40,2
1973,0,42,2
1973,0,44,3
1974,0,-5,4
1974,0,-4,6
1974,0,-3,10
1974,0,-2,15
1974,0,-1,9
1974,0,0,8
1974,0,1,7
1974,0,2,5
1974,0,3,4
1974,0,4,3
1974,0,5,6
1974,0,6,4
1974,0,7,2
1974,0,8,6
1974,0,9,3
1974,0,10,2
1974,0,11,5
1974,0,12,3
1974,0,13,2
1974,0,14,2
1974,0,15,2
1974,0,17,3
1974,0,18,1
1974,0,19,3
1974,0,20,3
1974,0,22,1
1974,0,23,1
1974,0,25,1
1974,0,27,1
1974,0,29,4
1974,0,31,2
1974,0,33,1
1974,0,35,3
1974,0,37,1
1974,0,39,1
1974,0,41,1
1974,0,43,2
1975,0,-6,1
1975,0,-5,2
1975,0,-4,4
1975,0,-3,10
1975,0,-2,14
1975,0,-1,4
1975,0,0,5
1975,0,1,4
1975,0,2,4
1975,0,3,5
1975,0,4,2
1975,0,5,2
1975,0,6,1
1975,0,7,3
1975,0,8,2
1975,0,9,1
1975,0,10,4
1975,0,11,2
1975,0,12,2
1975,0,14,2
1975,0,15,1
1975,0,16,1
1975,0,17,2
1975,0,18,3
1975,0,19,2
1975,0,20,2
1975,0,21,3
1975,0,24,2
1975,0,28,1
1975,0,30,1
1975,0,32,1
1975,0,34,1
1975,0,40,2
1975,0,44,1
1976,0,-7,6
1976,0,-6,8
1976,0,-5,7
1976,0,-4,5
1976,0,-3,12
1976,0,-2,15
1976,0,-1,7
1976,0,0,5
1976,0,1,5
1976,0,2,6
1976,0,3,5
1976,0,4,2
1976,0,5,2
1976,0,6,2
1976,0,7,2
1976,0,8,2
1976,0,9,1
1976,0,10,4
1976,0,11,3
1976,0,12,3
1976,0,13,4
1976,0,14,3
1976,0,15,2
1976,0,16,1
1976,0,17,1
1976,0,18,2
1976,0,19,3
1976,0,20,2
1976,0,21,2
1976,0,23,2
1976,0,25,1
1976,0,27,2
1976,0,29,1
1976,0,31,2
1976,0,35,1
1976,0,37,3
1976,0,43,1
1977,0,-8,2
1977,0,-7,5
1977,0,-6,3
1977,0,-5,5
1977,0,-4,6
1977,0,-3,12
1977,0,-2,34
1977,0,-1,19
1977,0,0,14
1977,0,1,14
1977,0,2,19
1977,0,3,7
1977,0,4,8
1977,0,5,8
1977,0,6,9
1977,0,7,9
1977,0,8,6
1977,0,9,9
1977,0,10,7
1977,0,11,2
1977,0,12,7
1977,0,13,5
1977,0,14,7
1977,0,15,6
1977,0,16,7
1977,0,17,4
1977,0,18,1
1977,0,19,3
1977,0,20,1
1977,0,22,4
1977,0,24,2
1977,0,26,2
1977,0,28,3
1977,0,30,5
1977,0,32,2
1977,0,34,3
1977,0,36,1
1977,0,38,3
1977,0,42,1
1978,0,-9,1
1978,0,-8,2
1978,0,-7,3
1978,0,-6,4
1978,0,-5,2
1978,0,-4,3
1978,0,-3,37
1978,0,-2,45
1978,0,-1,29
1978,0,0,24
1978,0,1,28
1978,0,2,23
1978,0,3,13
1978,0,4,14
1978,0,5,16
1978,0,6,11
1978,0,7,21
1978,0,8,12
1978,0,9,14
1978,0,10,11
1978,0,11,6
1978,0,12,8
1978,0,13,8
1978,0,14,8
1978,0,15,9
1978,0,16,8
1978,0,17,5
1978,0,18,3
1978,0,19,5
1978,0,21,3
1978,0,23,6
1978,0,25,8
1978,0,27,6
1978,0,29,10
1978,0,31,7
1978,0,33,6
1978,0,35,4
1978,0,37,4
1978,0,39,3
1978,0,41,5
1979,0,-10,1
1979,0,-9,2
1979,0,-8,2
1979,0,-7,5
1979,0,-6,6
1979,0,-5,11
1979,0,-4,24
1979,0,-3,46
1979,0,-2,43
1979,0,-1,30
1979,0,0,26
1979,0,1,18
1979,0,2,21
1979,0,3,18
1979,0,4,16
1979,0,5,17
1979,0,6,16
1979,0,7,12
1979,0,8,16
1979,0,9,14
1979,0,10,14
1979,0,11,7
1979,0,12,9
1979,0,13,8
1979,0,14,6
1979,0,15,12
1979,0,16,8
1979,0,17,7
1979,0,18,4
1979,0,20,3
1979,0,24,5
1979,0,26,6
1979,0,28,4
1979,0,30,7
1979,0,32,4
1979,0,34,6
1979,0,36,5
1979,0,38,5
1979,0,40,1
1980,0,-9,1
1980,0,-8,2
1980,0,-7,2
1980,0,-6,2
1980,0,-5,12
1980,0,-4,19
1980,0,-3,31
1980,0,-2,39
1980,0,-1,23
1980,0,0,32
1980,0,1,15
1980,0,2,21
1980,0,3,16
1980,0,4,14
1980,0,5,12
1980,0,6,9
1980,0,7,11
1980,0,8,8
1980,0,9,10
1980,0,10,4
1980,0,11,5
1980,0,12,4
1980,0,13,6
1980,0,14,6
1980,0,15,8
1980,0,16,6
1980,0,17,5
1980,0,19,6
1980,0,21,8
1980,0,23,7
1980,0,25,5
1980,0,27,4
1980,0,29,4
1980,0,31,3
1980,0,33,5
1980,0,35,6
1980,0,37,3
1981,0,-12,1
1981,0,-11,1
1981,0,-10,1
1981,0,-9,1
1981,0,-8,4
1981,0,-7,9
1981,0,-6,16
1981,0,-5,15
1981,0,-4,21
1981,0,-3,32
1981,0,-2,34
1981,0,-1,28
1981,0,0,20
1981,0,1,20
1981,0,2,14
1981,0,3,11
1981,0,4,14
1981,0,5,12
1981,0,6,12
1981,0,7,13
1981,0,8,6
1981,0,9,6
1981,0,10,8
1981,0,11,11
1981,0,12,12
1981,0,13,3
1981,0,14,3
1981,0,15,5
1981,0,16,1
1981,0,18,4
1981,0,20,2
1981,0,22,4
1981,0,24,2
1981,0,26,7
1981,0,28,4
1981,0,30,4
1981,0,32,4
1981,0,34,6
1981,0,36,5
1981,0,38,5
1982,0,-13,1
1982,0,-12,2
1982,0,-11,2
1982,0,-10,4
1982,0,-9,5
1982,0,-8,3
1982,0,-7,10
1982,0,-6,13
1982,0,-5,24
1982,0,-4,24
1982,0,-3,43
1982,0,-2,44
1982,0,-1,32
1982,0,0,26
1982,0,1,20
1982,0,2,17
1982,0,3,21
1982,0,4,18
1982,0,5,16
1982,0,6,16
1982,0,7,15
1982,0,8,15
1982,0,9,16
1982,0,10,6
1982,0,11,15
1982,0,12,9
1982,0,13,10
1982,0,14,9
1982,0,15,4
1982,0,17,13
1982,0,19,6
1982,0,21,7
1982,0,23,9
1982,0,25,9
1982,0,27,6
1982,0,29,5
1982,0,31,9
1982,0,33,5
1982,0,35,5
1982,0,37,4
1983,0,-13,1
1983,0,-12,1
1983,0,-11,1
1983,0,-10,1
1983,0,-9,4
1983,0,-8,9
1983,0,-7,10
1983,0,-6,12
1983,0,-5,21
1983,0,-4,28
1983,0,-3,46
1983,0,-2,51
1983,0,-1,39
1983,0,0,31
1983,0,1,31
1983,0,2,27
1983,0,3,17
1983,0,4,22
1983,0,5,17
1983,0,6,19
1983,0,7,22
1983,0,8,20
1983,0,9,15
1983,0,10,10
1983,0,11,13
1983,0,12,13
1983,0,13,13
1983,0,14,4
1983,0,16,13
1983,0,18,8
1983,0,20,8
1983,0,22,10
1983,0,24,7
1983,0,26,7
1983,0,28,9
1983,0,30,5
1983,0,32,2
1983,0,34,7
1983,0,36,8
1984,0,-13,1
1984,0,-12,2
1984,0,-11,4
1984,0,-10,3
1984,0,-9,4
1984,0,-8,11
1984,0,-7,9
1984,0,-6,10
1984,0,-5,15
1984,0,-4,19
1984,0,-3,32
1984,0,-2,34
1984,0,-1,30
1984,0,0,21
1984,0,1,18
1984,0,2,12
1984,0,3,15
1984,0,4,17
1984,0,5,11
1984,0,6,7
1984,0,7,10
1984,0,8,7
1984,0,9,8
1984,0,10,12
1984,0,11,8
1984,0,12,6
1984,0,13,3
1984,0,15,7
1984,0,17,3
1984,0,19,4
1984,0,21,1
1984,0,23,3
1984,0,25,4
1984,0,27,5
1984,0,29,1
1984,0,31,2
1984,0,33,2
1984,0,35,2
1985,0,-10,1
1985,0,-9,1
1985,0,-8,1
1985,0,-7,7
1985,0,-6,4
1985,0,-5,14
1985,0,-4,21
1985,0,-3,29
1985,0,-2,34
1985,0,-1,28
1985,0,0,16
1985,0,1,12
