coefficient_i,coefficient_j,covariance
Wleft,Wleft,.0000998174116487
Wleft,Wm2,.0000147357275312
Wleft,Wm1,.0000163887230214
Wleft,Wp1,.0000172337326002
Wleft,Wp2,.0000193613945119
Wleft,Wp3,.0000160714203028
Wleft,Wp4,.0000170096609691
Wleft,Wp5,.0000119009750936
Wleft,Wp6,.0000123866171192
Wleft,Wright,1.46072000137e-06
Wm2,Wleft,.0000147357275312
Wm2,Wm2,.0000851407648125
Wm2,Wm1,.0000229852233958
Wm2,Wp1,.0000165808537966
Wm2,Wp2,.0000133741831272
Wm2,Wp3,.0000137640593481
Wm2,Wp4,.0000158819783388
Wm2,Wp5,.0000115995867876
Wm2,Wp6,.0000123381784862
Wm2,Wright,5.82813425572e-06
Wm1,Wleft,.0000163887230214
Wm1,Wm2,.0000229852233958
Wm1,Wm1,.0000625701967776
Wm1,Wp1,.0000176736515929
Wm1,Wp2,.0000174266107732
Wm1,Wp3,.0000140150163263
Wm1,Wp4,.0000161381353912
Wm1,Wp5,.0000132782548609
Wm1,Wp6,.0000142738388699
Wm1,Wright,7.78727660028e-06
Wp1,Wleft,.0000172337326002
Wp1,Wm2,.0000165808537966
Wp1,Wm1,.0000176736515929
Wp1,Wp1,.0000309852923793
Wp1,Wp2,.0000173566766597
Wp1,Wp3,.0000143400838833
Wp1,Wp4,.0000160758873551
Wp1,Wp5,.0000131023625739
Wp1,Wp6,.0000138047099323
Wp1,Wright,8.62865480916e-06
Wp2,Wleft,.0000193613945119
Wp2,Wm2,.0000133741831272
Wp2,Wm1,.0000174266107732
Wp2,Wp1,.0000173566766597
Wp2,Wp2,.0000333312861006
Wp2,Wp3,.0000191455742564
Wp2,Wp4,.000021678017913
Wp2,Wp5,.0000197443598748
Wp2,Wp6,.000020503898241
Wp2,Wright,.0000140170075803
Wp3,Wleft,.0000160714203028
Wp3,Wm2,.0000137640593481
Wp3,Wm1,.0000140150163263
Wp3,Wp1,.0000143400838833
Wp3,Wp2,.0000191455742564
Wp3,Wp3,.000029671091994
Wp3,Wp4,.0000245975448792
Wp3,Wp5,.0000217464431846
Wp3,Wp6,.0000233953307122
Wp3,Wright,.0000181230971355
Wp4,Wleft,.0000170096609691
Wp4,Wm2,.0000158819783388
Wp4,Wm1,.0000161381353912
Wp4,Wp1,.0000160758873551
Wp4,Wp2,.000021678017913
Wp4,Wp3,.0000245975448792
Wp4,Wp4,.0000402770060577
Wp4,Wp5,.0000256279028583
Wp4,Wp6,.0000278806677078
Wp4,Wright,.0000222343151215
Wp5,Wleft,.0000119009750936
Wp5,Wm2,.0000115995867876
Wp5,Wm1,.0000132782548609
Wp5,Wp1,.0000131023625739
Wp5,Wp2,.0000197443598748
Wp5,Wp3,.0000217464431846
Wp5,Wp4,.0000256279028583
Wp5,Wp5,.0000346248848489
Wp5,Wp6,.0000292833608696
Wp5,Wright,.0000242862056204
Wp6,Wleft,.0000123866171192
Wp6,Wm2,.0000123381784862
Wp6,Wm1,.0000142738388699
Wp6,Wp1,.0000138047099323
Wp6,Wp2,.000020503898241
Wp6,Wp3,.0000233953307122
Wp6,Wp4,.0000278806677078
Wp6,Wp5,.0000292833608696
Wp6,Wp6,.0000426396999405
Wp6,Wright,.0000270548014481
Wright,Wleft,1.46072000137e-06
Wright,Wm2,5.82813425572e-06
Wright,Wm1,7.78727660028e-06
Wright,Wp1,8.62865480916e-06
Wright,Wp2,.0000140170075803
Wright,Wp3,.0000181230971355
Wright,Wp4,.0000222343151215
Wright,Wp5,.0000242862056204
Wright,Wp6,.0000270548014481
Wright,Wright,.000031040113506
