coefficient_i,coefficient_j,covariance
Wleft,Wleft,.0001427709993559
Wleft,Wm2,.0000635648518238
Wleft,Wm1,.0000399450477035
Wleft,Wp1,.0000332619044996
Wleft,Wp2,.0000347858027698
Wleft,Wp3,.0000321048196012
Wleft,Wp4,.0000303527014939
Wleft,Wp5,.0000299484729466
Wleft,Wp6,.0000231769535416
Wleft,Wright,5.22983609930e-06
Wm2,Wleft,.0000635648518238
Wm2,Wm2,.0001791650238119
Wm2,Wm1,.0000407395989638
Wm2,Wp1,.0000312315131398
Wm2,Wp2,.0000315102278072
Wm2,Wp3,.0000323726274419
Wm2,Wp4,.0000305744866385
Wm2,Wp5,.0000305547986378
Wm2,Wp6,.0000292493020986
Wm2,Wright,.0000145868469461
Wm1,Wleft,.0000399450477035
Wm1,Wm2,.0000407395989638
Wm1,Wm1,.000127683270106
Wm1,Wp1,.0000288326377881
Wm1,Wp2,.0000309424109942
Wm1,Wp3,.0000320292162787
Wm1,Wp4,.0000333272193805
Wm1,Wp5,.000032794008898
Wm1,Wp6,.0000334481402373
Wm1,Wright,.0000253026509733
Wp1,Wleft,.0000332619044996
Wp1,Wm2,.0000312315131398
Wp1,Wm1,.0000288326377881
Wp1,Wp1,.0000734687929632
Wp1,Wp2,.0000397668725896
Wp1,Wp3,.0000365489351275
Wp1,Wp4,.0000402014432446
Wp1,Wp5,.0000423549308447
Wp1,Wp6,.0000378283922498
Wp1,Wright,.0000408033801149
Wp2,Wleft,.0000347858027698
Wp2,Wm2,.0000315102278072
Wp2,Wm1,.0000309424109942
Wp2,Wp1,.0000397668725896
Wp2,Wp2,.0000895426516387
Wp2,Wp3,.0000512158751199
Wp2,Wp4,.0000532328377453
Wp2,Wp5,.0000547823834234
Wp2,Wp6,.000046464914249
Wp2,Wright,.0000573731137181
Wp3,Wleft,.0000321048196012
Wp3,Wm2,.0000323726274419
Wp3,Wm1,.0000320292162787
Wp3,Wp1,.0000365489351275
Wp3,Wp2,.0000512158751199
Wp3,Wp3,.0000949834803645
Wp3,Wp4,.0000665938978625
Wp3,Wp5,.0000652442707413
Wp3,Wp6,.0000544249483423
Wp3,Wright,.0000713545507739
Wp4,Wleft,.0000303527014939
Wp4,Wm2,.0000305744866385
Wp4,Wm1,.0000333272193805
Wp4,Wp1,.0000402014432446
Wp4,Wp2,.0000532328377453
Wp4,Wp3,.0000665938978625
Wp4,Wp4,.000106847250223
Wp4,Wp5,.0000757338916842
Wp4,Wp6,.0000653401767458
Wp4,Wright,.0000845732257339
Wp5,Wleft,.0000299484729466
Wp5,Wm2,.0000305547986378
Wp5,Wm1,.000032794008898
Wp5,Wp1,.0000423549308447
Wp5,Wp2,.0000547823834234
Wp5,Wp3,.0000652442707413
Wp5,Wp4,.0000757338916842
Wp5,Wp5,.0001153938710456
Wp5,Wp6,.0000757311701931
Wp5,Wright,.0000927498157675
Wp6,Wleft,.0000231769535416
Wp6,Wm2,.0000292493020986
Wp6,Wm1,.0000334481402373
Wp6,Wp1,.0000378283922498
Wp6,Wp2,.000046464914249
Wp6,Wp3,.0000544249483423
Wp6,Wp4,.0000653401767458
Wp6,Wp5,.0000757311701931
Wp6,Wp6,.0001106352377962
Wp6,Wright,.000082840366076
Wright,Wleft,5.22983609930e-06
Wright,Wm2,.0000145868469461
Wright,Wm1,.0000253026509733
Wright,Wp1,.0000408033801149
Wright,Wp2,.0000573731137181
Wright,Wp3,.0000713545507739
Wright,Wp4,.0000845732257339
Wright,Wp5,.0000927498157675
Wright,Wp6,.000082840366076
Wright,Wright,.0001403927019595
