f_c_y,control,K,rows
1971,0,-2,13
1971,0,-1,14
1971,0,0,17
1971,0,1,22
1971,0,2,20
1971,0,3,24
1971,0,4,59
1971,0,5,58
1971,0,6,60
1971,0,7,57
1971,0,8,62
1971,0,9,63
1971,0,10,62
1971,0,14,62
1971,0,15,64
1971,0,16,58
1971,0,17,58
1971,0,18,55
1971,0,19,57
1971,0,20,53
1971,0,21,57
1971,0,22,56
1971,0,23,58
1971,0,24,55
1971,0,25,51
1971,0,26,36
1971,0,28,37
1971,0,30,34
1971,0,32,33
1971,0,34,32
1971,0,36,32
1971,0,38,34
1971,0,40,29
1971,0,42,27
1971,0,44,25
1971,0,46,29
1971,0,48,24
1972,0,-3,12
1972,0,-2,14
1972,0,-1,15
1972,0,0,19
1972,0,1,21
1972,0,2,24
1972,0,3,61
1972,0,4,66
1972,0,5,62
1972,0,6,63
1972,0,7,65
1972,0,8,68
1972,0,9,68
1972,0,13,62
1972,0,14,63
1972,0,15,62
1972,0,16,57
1972,0,17,56
1972,0,18,55
1972,0,19,53
1972,0,20,47
1972,0,21,48
1972,0,22,57
1972,0,23,59
1972,0,24,53
1972,0,25,37
1972,0,27,36
1972,0,29,39
1972,0,31,38
1972,0,33,38
1972,0,35,38
1972,0,37,36
1972,0,39,32
1972,0,41,29
1972,0,43,32
1972,0,45,31
1972,0,47,31
1973,0,-4,12
1973,0,-3,13
1973,0,-2,14
1973,0,-1,16
1973,0,0,27
1973,0,1,29
1973,0,2,67
1973,0,3,67
1973,0,4,71
1973,0,5,70
1973,0,6,70
1973,0,7,72
1973,0,8,69
1973,0,12,72
1973,0,13,70
1973,0,14,64
1973,0,15,63
1973,0,16,64
1973,0,17,63
1973,0,18,63
1973,0,19,65
1973,0,20,61
1973,0,21,67
1973,0,22,67
1973,0,23,62
1973,0,24,42
1973,0,26,41
1973,0,28,45
1973,0,30,44
1973,0,32,40
1973,0,34,36
1973,0,36,39
1973,0,38,38
1973,0,40,35
1973,0,42,31
1973,0,44,32
1973,0,46,30
1974,0,-5,4
1974,0,-4,5
1974,0,-3,6
1974,0,-2,9
1974,0,-1,10
1974,0,0,14
1974,0,1,53
1974,0,2,58
1974,0,3,61
1974,0,4,59
1974,0,5,58
1974,0,6,60
1974,0,7,55
1974,0,11,64
1974,0,12,64
