f_c_y,control,K,rows
1971,0,-2,8
1971,0,-1,9
1971,0,0,13
1971,0,1,13
1971,0,2,10
1971,0,3,11
1971,0,4,19
1971,0,5,20
1971,0,6,20
1971,0,7,19
1971,0,8,19
1971,0,9,15
1971,0,10,17
1971,0,14,12
1971,0,15,9
1971,0,16,8
1971,0,17,12
1971,0,18,10
1971,0,19,9
1971,0,20,13
1971,0,21,7
1971,0,22,11
1971,0,23,9
1971,0,24,8
1971,0,25,6
1971,0,26,6
1971,0,28,7
1971,0,30,8
1971,0,32,10
1971,0,34,4
1971,0,36,3
1971,0,38,5
1971,0,40,6
1971,0,42,4
1971,0,44,5
1971,0,46,3
1971,0,48,2
1972,0,-3,8
1972,0,-2,12
1972,0,-1,7
1972,0,0,8
1972,0,1,9
1972,0,2,7
1972,0,3,20
1972,0,4,22
1972,0,5,19
1972,0,6,18
1972,0,7,17
1972,0,8,16
1972,0,9,8
1972,0,13,12
1972,0,14,8
1972,0,15,8
1972,0,16,9
1972,0,17,11
1972,0,18,9
1972,0,19,7
1972,0,20,8
1972,0,21,9
1972,0,22,6
1972,0,23,3
1972,0,24,7
1972,0,25,1
1972,0,27,5
1972,0,29,5
1972,0,31,6
1972,0,33,8
1972,0,35,5
1972,0,37,5
1972,0,39,3
1972,0,41,4
1972,0,43,4
1972,0,45,1
1972,0,47,3
1973,0,-4,6
1973,0,-3,9
1973,0,-2,8
1973,0,-1,6
1973,0,0,17
1973,0,1,11
1973,0,2,34
1973,0,3,29
1973,0,4,22
1973,0,5,32
1973,0,6,19
1973,0,7,23
1973,0,8,18
1973,0,12,17
1973,0,13,13
1973,0,14,15
1973,0,15,14
1973,0,16,12
1973,0,17,11
1973,0,18,10
1973,0,19,12
1973,0,20,11
1973,0,21,7
1973,0,22,7
1973,0,23,8
1973,0,24,6
1973,0,26,3
1973,0,28,3
1973,0,30,9
1973,0,32,3
1973,0,34,5
1973,0,36,4
1973,0,38,6
1973,0,40,4
1973,0,42,6
1973,0,44,4
1974,0,-5,1
1974,0,-4,3
1974,0,-3,4
1974,0,-2,3
1974,0,-1,6
1974,0,0,8
1974,0,1,29
1974,0,2,27
1974,0,3,23
1974,0,4,15
1974,0,5,21
1974,0,6,16
1974,0,7,13
1974,0,11,14
1974,0,12,9
1974,0,13,16
1974,0,14,17
1974,0,15,14
1974,0,16,9
1974,0,17,7
1974,0,18,11
1974,0,19,9
1974,0,20,5
1974,0,21,7
1974,0,22,10
1974,0,23,5
1974,0,25,5
1974,0,27,5
1974,0,29,10
1974,0,31,6
1974,0,33,4
1974,0,35,4
