f_c_y,control,K,rows,unsupported
1968,0,0,82,1
1968,0,1,77,1
1968,0,2,71,1
1968,0,3,75,1
1968,0,4,71,1
1968,0,5,74,1
1968,0,6,75,1
1968,0,7,92,1
1968,0,8,93,1
1968,0,9,91,1
1968,0,10,88,1
1968,0,11,84,1
1968,0,12,89,1
1968,0,13,91,1
1968,0,14,91,1
1968,0,15,90,1
1968,0,16,89,1
1968,0,17,91,1
1968,0,18,90,1
1968,0,19,84,1
1968,0,20,81,1
1968,0,21,78,1
1968,0,22,77,1
1968,0,23,78,1
1968,0,24,75,1
1968,0,25,78,1
1968,0,26,86,1
1968,0,27,82,1
1968,0,28,82,1
1968,0,29,59,1
1968,0,31,56,1
1968,0,33,56,1
1968,0,35,56,1
1968,0,37,56,1
1968,0,39,55,1
1968,0,41,54,1
1968,0,43,53,1
1968,0,45,51,1
1968,0,47,49,1
1968,0,49,48,1
1968,0,51,44,1
1969,0,-1,91,1
1969,0,0,90,1
1969,0,1,90,1
1969,0,2,92,1
1969,0,3,92,1
1969,0,4,91,1
1969,0,5,90,1
1969,0,6,134,1
1969,0,7,138,1
1969,0,8,132,1
1969,0,9,136,1
1969,0,10,132,1
1969,0,11,136,1
1969,0,12,131,1
1969,0,13,131,1
1969,0,14,133,1
1969,0,15,132,1
1969,0,16,130,1
1969,0,17,126,1
1969,0,18,126,1
1969,0,19,123,1
1969,0,20,121,1
1969,0,21,122,1
1969,0,22,122,1
1969,0,23,122,1
1969,0,24,122,1
1969,0,25,136,1
1969,0,26,128,1
1969,0,27,124,1
1969,0,28,95,1
1969,0,30,95,1
1969,0,32,96,1
1969,0,34,91,1
1969,0,36,89,1
1969,0,38,82,1
1969,0,40,83,1
1969,0,42,79,1
1969,0,44,78,1
1969,0,46,68,1
1969,0,48,63,1
1969,0,50,57,1
1970,0,-2,54,0
1970,0,-1,54,0
1970,0,0,57,0
1970,0,1,61,0
1970,0,2,64,0
1970,0,3,64,0
1970,0,4,65,0
1970,0,5,151,0
1970,0,6,153,0
1970,0,7,155,0
1970,0,8,153,0
1970,0,9,155,0
1970,0,10,146,0
1970,0,11,156,0
1970,0,12,155,0
1970,0,13,156,0
1970,0,14,152,0
1970,0,15,151,0
1970,0,16,147,0
1970,0,17,143,0
1970,0,18,142,0
1970,0,19,138,0
1970,0,20,136,0
1970,0,21,129,0
1970,0,22,132,0
1970,0,23,128,0
1970,0,24,144,0
1970,0,25,141,0
1970,0,26,134,0
1970,0,27,108,0
1970,0,29,107,0
1970,0,31,106,0
1970,0,33,98,0
1970,0,35,100,0
1970,0,37,95,0
1970,0,39,90,0
1970,0,41,84,0
1970,0,43,81,0
1970,0,45,69,0
1970,0,47,70,0
1970,0,49,64,0
1971,0,-3,40,0
1971,0,-2,40,0
1971,0,-1,45,0
1971,0,0,57,0
1971,0,1,61,0
1971,0,2,61,0
1971,0,3,61,0
1971,0,4,165,0
1971,0,5,165,0
1971,0,6,159,0
1971,0,7,162,0
1971,0,8,162,0
1971,0,9,165,0
1971,0,10,162,0
1971,0,11,162,0
1971,0,12,165,0
1971,0,13,163,0
1971,0,14,162,0
1971,0,15,159,0
1971,0,16,151,0
1971,0,17,148,0
1971,0,18,146,0
1971,0,19,146,0
1971,0,20,145,0
1971,0,21,145,0
1971,0,22,149,0
1971,0,23,158,0
1971,0,24,147,0
1971,0,25,140,0
1971,0,26,99,0
1971,0,28,94,0
1971,0,30,94,0
1971,0,32,94,0
1971,0,34,91,0
1971,0,36,88,0
1971,0,38,86,0
1971,0,40,85,0
1971,0,42,84,0
1971,0,44,74,0
1971,0,46,73,0
1971,0,48,70,0
1972,0,-4,34,0
1972,0,-3,33,0
1972,0,-2,41,0
1972,0,-1,53,0
1972,0,0,61,0
1972,0,1,66,0
1972,0,2,69,0
1972,0,3,195,0
1972,0,4,199,0
1972,0,5,196,0
1972,0,6,198,0
1972,0,7,197,0
1972,0,8,194,0
1972,0,9,193,0
1972,0,10,194,0
1972,0,11,191,0
1972,0,12,188,0
1972,0,13,187,0
1972,0,14,187,0
1972,0,15,182,0
1972,0,16,171,0
1972,0,17,164,0
1972,0,18,162,0
1972,0,19,160,0
1972,0,20,159,0
1972,0,21,160,0
1972,0,22,175,0
1972,0,23,169,0
1972,0,24,159,0
1972,0,25,104,0
1972,0,27,106,0
1972,0,29,104,0
1972,0,31,99,0
1972,0,33,96,0
1972,0,35,91,0
1972,0,37,89,0
1972,0,39,87,0
1972,0,41,85,0
1972,0,43,80,0
1972,0,45,79,0
1972,0,47,72,0
1973,0,-5,30,0
1973,0,-4,29,0
1973,0,-3,40,0
1973,0,-2,51,0
1973,0,-1,70,0
1973,0,0,76,0
1973,0,1,79,0
1973,0,2,195,0
1973,0,3,192,0
1973,0,4,197,0
1973,0,5,202,0
1973,0,6,203,0
1973,0,7,195,0
1973,0,8,192,0
1973,0,9,195,0
1973,0,10,190,0
1973,0,11,196,0
1973,0,12,194,0
1973,0,13,190,0
1973,0,14,185,0
1973,0,15,180,0
1973,0,16,173,0
1973,0,17,172,0
1973,0,18,162,0
1973,0,19,164,0
1973,0,20,165,0
1973,0,21,183,0
1973,0,22,179,0
1973,0,23,173,0
1973,0,24,119,0
1973,0,26,120,0
1973,0,28,116,0
1973,0,30,115,0
1973,0,32,112,0
1973,0,34,102,0
1973,0,36,106,0
1973,0,38,100,0
1973,0,40,93,0
1973,0,42,86,0
1973,0,44,79,0
1973,0,46,71,0
1974,0,-6,16,0
1974,0,-5,18,0
1974,0,-4,25,0
1974,0,-3,37,0
1974,0,-2,46,0
1974,0,-1,52,0
1974,0,0,64,0
1974,0,1,215,0
1974,0,2,220,0
1974,0,3,222,0
1974,0,4,226,0
1974,0,5,225,0
1974,0,6,220,0
1974,0,7,221,0
1974,0,8,216,0
1974,0,9,216,0
1974,0,10,220,0
1974,0,11,209,0
1974,0,12,199,0
1974,0,13,194,0
1974,0,14,189,0
1974,0,15,188,0
1974,0,16,187,0
1974,0,17,188,0
1974,0,18,184,0
1974,0,19,186,0
1974,0,20,208,0
1974,0,21,193,0
1974,0,22,189,0
1974,0,23,129,0
1974,0,25,128,0
1974,0,27,127,0
1974,0,29,117,0
1974,0,31,115,0
1974,0,33,107,0
1974,0,35,102,0
1974,0,37,103,0
1974,0,39,99,0
1974,0,41,90,0
1974,0,43,85,0
1974,0,45,81,0
1975,0,-7,17,0
1975,0,-6,16,0
1975,0,-5,18,0
1975,0,-4,25,0
1975,0,-3,37,0
1975,0,-2,47,0
1975,0,-1,52,0
1975,0,0,193,0
1975,0,1,205,0
1975,0,2,208,0
1975,0,3,212,0
1975,0,4,215,0
1975,0,5,208,0
1975,0,6,214,0
1975,0,7,209,0
1975,0,8,212,0
1975,0,9,212,0
1975,0,10,211,0
1975,0,11,205,0
1975,0,12,198,0
1975,0,13,188,0
1975,0,14,183,0
1975,0,15,178,0
1975,0,16,177,0
1975,0,17,171,0
1975,0,18,180,0
1975,0,19,184,0
1975,0,20,179,0
1975,0,21,173,0
1975,0,22,123,0
1975,0,24,117,0
1975,0,26,120,0
1975,0,28,115,0
1975,0,30,105,0
1975,0,32,107,0
1975,0,34,102,0
1975,0,36,100,0
1975,0,38,100,0
1975,0,40,87,0
1975,0,42,84,0
1975,0,44,80,0
1976,0,-8,16,0
1976,0,-7,14,0
1976,0,-6,20,0
1976,0,-5,21,0
1976,0,-4,27,0
1976,0,-3,40,0
1976,0,-2,51,0
1976,0,-1,162,0
1976,0,0,198,0
1976,0,1,208,0
1976,0,2,206,0
1976,0,3,202,0
1976,0,4,202,0
1976,0,5,207,0
1976,0,6,202,0
1976,0,7,208,0
1976,0,8,202,0
1976,0,9,202,0
1976,0,10,200,0
1976,0,11,200,0
1976,0,12,197,0
1976,0,13,189,0
1976,0,14,186,0
1976,0,15,178,0
1976,0,16,178,0
1976,0,17,178,0
1976,0,18,191,0
1976,0,19,184,0
1976,0,20,174,0
1976,0,21,135,0
1976,0,23,131,0
1976,0,25,127,0
1976,0,27,127,0
1976,0,29,127,0
1976,0,31,121,0
1976,0,33,117,0
1976,0,35,114,0
1976,0,37,111,0
1976,0,39,104,0
1976,0,41,104,0
1976,0,43,93,0
1977,0,-9,11,0
1977,0,-8,9,0
1977,0,-7,11,0
1977,0,-6,18,0
1977,0,-5,27,0
1977,0,-4,30,0
1977,0,-3,40,0
1977,0,-2,121,0
1977,0,-1,155,0
1977,0,0,205,0
1977,0,1,218,0
1977,0,2,230,0
1977,0,3,229,0
1977,0,4,224,0
1977,0,5,223,0
1977,0,6,223,0
1977,0,7,223,0
1977,0,8,227,0
1977,0,9,223,0
1977,0,10,219,0
1977,0,11,213,0
1977,0,12,210,0
1977,0,13,208,0
1977,0,14,201,0
1977,0,15,205,0
1977,0,16,211,0
1977,0,17,220,0
1977,0,18,213,0
1977,0,19,201,0
1977,0,20,150,0
1977,0,22,148,0
1977,0,24,142,0
1977,0,26,140,0
1977,0,28,134,0
1977,0,30,123,0
1977,0,32,123,0
1977,0,34,121,0
1977,0,36,111,0
1977,0,38,109,0
1977,0,40,106,0
1977,0,42,100,0
1978,0,-10,10,0
1978,0,-9,12,0
1978,0,-8,8,0
1978,0,-7,14,0
1978,0,-6,19,0
1978,0,-5,28,0
1978,0,-4,35,0
1978,0,-3,106,0
1978,0,-2,145,0
1978,0,-1,186,0
1978,0,0,230,0
1978,0,1,254,0
1978,0,2,244,0
1978,0,3,230,0
1978,0,4,237,0
1978,0,5,237,0
1978,0,6,240,0
1978,0,7,240,0
1978,0,8,229,0
1978,0,9,214,0
1978,0,10,213,0
1978,0,11,208,0
1978,0,12,200,0
1978,0,13,197,0
1978,0,14,192,0
1978,0,15,201,0
1978,0,16,223,0
1978,0,17,215,0
