f_c_y,control,K,rows,unsupported
1968,0,0,81,1
1968,0,1,77,1
1968,0,2,72,1
1968,0,3,76,1
1968,0,4,71,1
1968,0,5,74,1
1968,0,6,75,1
1968,0,7,91,1
1968,0,8,92,1
1968,0,9,90,1
1968,0,10,87,1
1968,0,11,83,1
1968,0,12,87,1
1968,0,13,90,1
1968,0,14,90,1
1968,0,15,89,1
1968,0,16,88,1
1968,0,17,90,1
1968,0,18,88,1
1968,0,19,82,1
1968,0,20,79,1
1968,0,21,76,1
1968,0,22,75,1
1968,0,23,76,1
1968,0,24,73,1
1968,0,25,75,1
1968,0,26,83,1
1968,0,27,79,1
1968,0,28,79,1
1968,0,29,55,1
1968,0,31,52,1
1968,0,33,53,1
1968,0,35,53,1
1968,0,37,53,1
1968,0,39,52,1
1968,0,41,51,1
1968,0,43,49,1
1968,0,45,47,1
1968,0,47,46,1
1968,0,49,45,1
1968,0,51,41,1
1969,0,-1,87,1
1969,0,0,86,1
1969,0,1,85,1
1969,0,2,87,1
1969,0,3,87,1
1969,0,4,87,1
1969,0,5,85,1
1969,0,6,105,1
1969,0,7,110,1
1969,0,8,105,1
1969,0,9,110,1
1969,0,10,107,1
1969,0,11,111,1
1969,0,12,107,1
1969,0,13,108,1
1969,0,14,110,1
1969,0,15,109,1
1969,0,16,107,1
1969,0,17,104,1
1969,0,18,105,1
1969,0,19,101,1
1969,0,20,102,1
1969,0,21,103,1
1969,0,22,103,1
1969,0,23,102,1
1969,0,24,102,1
1969,0,25,111,1
1969,0,26,107,1
1969,0,27,104,1
1969,0,28,79,1
1969,0,30,79,1
1969,0,32,82,1
1969,0,34,80,1
1969,0,36,78,1
1969,0,38,73,1
1969,0,40,74,1
1969,0,42,70,1
1969,0,44,70,1
1969,0,46,60,1
1969,0,48,58,1
1969,0,50,52,1
1970,0,-2,51,0
1970,0,-1,51,0
1970,0,0,55,0
1970,0,1,59,0
1970,0,2,63,0
1970,0,3,62,0
1970,0,4,63,0
1970,0,5,111,0
1970,0,6,113,0
1970,0,7,115,0
1970,0,8,113,0
1970,0,9,117,0
1970,0,10,109,0
1970,0,11,117,0
1970,0,12,116,0
1970,0,13,118,0
1970,0,14,114,0
1970,0,15,113,0
1970,0,16,110,0
1970,0,17,108,0
1970,0,18,108,0
1970,0,19,106,0
1970,0,20,105,0
1970,0,21,100,0
