coefficient_i,coefficient_j,covariance
Wleft,Wleft,.0153259488544055
Wleft,Wm2,.0057632383560303
Wleft,Wm1,.002647668769602
Wleft,Wp1,.0009785704792835
Wleft,Wp2,.0006498993729975
Wleft,Wp3,-.0001095850282676
Wleft,Wp4,-.0004601795867274
Wleft,Wp5,-.0011254937495253
Wleft,Wp6,-.0013967221406648
Wleft,Wright,-.002724122151566
Wm2,Wleft,.0057632383560303
Wm2,Wm2,.0090493416309186
Wm2,Wm1,.0028065440490891
Wm2,Wp1,.0007028361485059
Wm2,Wp2,.0005727943328921
Wm2,Wp3,.000185975593154
Wm2,Wp4,.0000247282637964
Wm2,Wp5,-.000323483708207
Wm2,Wp6,-.0002562959727056
Wm2,Wright,-.0010205635777206
Wm1,Wleft,.002647668769602
Wm1,Wm2,.0028065440490891
Wm1,Wm1,.0039293370007774
Wm1,Wp1,.0005386269946929
Wm1,Wp2,.000543687181849
Wm1,Wp3,.0004790471662247
Wm1,Wp4,.0003892536557985
Wm1,Wp5,.0003167757747434
Wm1,Wp6,.0002644075369909
Wm1,Wright,.0000556134988389
Wp1,Wleft,.0009785704792835
Wp1,Wm2,.0007028361485059
Wp1,Wm1,.0005386269946929
Wp1,Wp1,.0026722593951477
Wp1,Wp2,.0021223712678172
Wp1,Wp3,.0020486176364328
Wp1,Wp4,.0020327749588295
Wp1,Wp5,.0022990264927121
Wp1,Wp6,.0024920517821437
Wp1,Wright,.0027207070599022
Wp2,Wleft,.0006498993729975
Wp2,Wm2,.0005727943328921
Wp2,Wm1,.000543687181849
Wp2,Wp1,.0021223712678172
Wp2,Wp2,.0038117517589819
Wp2,Wp3,.0034638945980486
Wp2,Wp4,.0033669206267401
Wp2,Wp5,.0037411309438105
Wp2,Wp6,.0039980026564758
Wp2,Wright,.0046542001887992
Wp3,Wleft,-.0001095850282676
Wp3,Wm2,.000185975593154
Wp3,Wm1,.0004790471662247
Wp3,Wp1,.0020486176364328
Wp3,Wp2,.0034638945980486
Wp3,Wp3,.0053302826248767
Wp3,Wp4,.0047480822344163
Wp3,Wp5,.0051156396959978
Wp3,Wp6,.0053802764362936
Wp3,Wright,.0062659858802497
Wp4,Wleft,-.0004601795867274
Wp4,Wm2,.0000247282637964
Wp4,Wm1,.0003892536557985
Wp4,Wp1,.0020327749588295
Wp4,Wp2,.0033669206267401
Wp4,Wp3,.0047480822344163
Wp4,Wp4,.0062507803907861
Wp4,Wp5,.0062163379860997
Wp4,Wp6,.0064182392816932
Wp4,Wright,.0072183671124784
Wp5,Wleft,-.0011254937495253
Wp5,Wm2,-.000323483708207
Wp5,Wm1,.0003167757747434
Wp5,Wp1,.0022990264927121
Wp5,Wp2,.0037411309438105
Wp5,Wp3,.0051156396959978
Wp5,Wp4,.0062163379860997
Wp5,Wp5,.0084137711718772
Wp5,Wp6,.0082239897245918
Wp5,Wright,.0091345010028797
Wp6,Wleft,-.0013967221406648
Wp6,Wm2,-.0002562959727056
Wp6,Wm1,.0002644075369909
Wp6,Wp1,.0024920517821437
Wp6,Wp2,.0039980026564758
Wp6,Wp3,.0053802764362936
Wp6,Wp4,.0064182392816932
Wp6,Wp5,.0082239897245918
Wp6,Wp6,.0106239162735949
Wp6,Wright,.0107448575951161
Wright,Wleft,-.002724122151566
Wright,Wm2,-.0010205635777206
Wright,Wm1,.0000556134988389
Wright,Wp1,.0027207070599022
Wright,Wp2,.0046542001887992
Wright,Wp3,.0062659858802497
Wright,Wp4,.0072183671124784
Wright,Wp5,.0091345010028797
Wright,Wp6,.0107448575951161
Wright,Wright,.0160161669708289
