coefficient_i,coefficient_j,covariance
Wleft,Wleft,.0198582331433757
Wleft,Wm2,.0103751399433695
Wleft,Wm1,.0039257902030874
Wleft,Wp1,.0016453622750722
Wleft,Wp2,.0020555565986838
Wleft,Wp3,.0015205136780206
Wleft,Wp4,.0008932123121016
Wleft,Wp5,.0005142575561917
Wleft,Wp6,-.0002570837478272
Wleft,Wright,-.0019780618952729
Wm2,Wleft,.0103751399433695
Wm2,Wm2,.0174713445314151
Wm2,Wm1,.0052492034457605
Wm2,Wp1,.0016051213802345
Wm2,Wp2,.0020322203395406
Wm2,Wp3,.0017271209090238
Wm2,Wp4,.0012431996358969
Wm2,Wp5,.0009898346354957
Wm2,Wp6,.0008050060050365
Wm2,Wright,-.0001548463570571
Wm1,Wleft,.0039257902030874
Wm1,Wm2,.0052492034457605
Wm1,Wm1,.0072761281123648
Wm1,Wp1,.001112284826856
Wm1,Wp2,.0013202825337885
Wm1,Wp3,.0012454861894473
Wm1,Wp4,.0007831990134733
Wm1,Wp5,.0006879857846966
Wm1,Wp6,.0004584538081237
Wm1,Wright,.0001154335453308
Wp1,Wleft,.0016453622750722
Wp1,Wm2,.0016051213802345
Wp1,Wm1,.001112284826856
Wp1,Wp1,.0048726769955241
Wp1,Wp2,.0039326197890244
Wp1,Wp3,.0039749121146999
Wp1,Wp4,.003467681604233
Wp1,Wp5,.0029030357829995
Wp1,Wp6,.0043642810407306
Wp1,Wright,.0047551378128974
Wp2,Wleft,.0020555565986838
Wp2,Wm2,.0020322203395406
Wp2,Wm1,.0013202825337885
Wp2,Wp1,.0039326197890244
Wp2,Wp2,.0066772767788833
Wp2,Wp3,.0061755511216342
Wp2,Wp4,.0056594712050338
Wp2,Wp5,.0049890179539028
Wp2,Wp6,.0067500814551561
Wp2,Wright,.0078171583118246
Wp3,Wleft,.0015205136780206
Wp3,Wm2,.0017271209090238
Wp3,Wm1,.0012454861894473
Wp3,Wp1,.0039749121146999
Wp3,Wp2,.0061755511216342
Wp3,Wp3,.0082176674934028
Wp3,Wp4,.0072538517774358
Wp3,Wp5,.0064411801362938
Wp3,Wp6,.0085949435137211
Wp3,Wright,.0099754580896592
Wp4,Wleft,.0008932123121016
Wp4,Wm2,.0012431996358969
Wp4,Wm1,.0007831990134733
Wp4,Wp1,.003467681604233
Wp4,Wp2,.0056594712050338
Wp4,Wp3,.0072538517774358
Wp4,Wp4,.0094549946408214
Wp4,Wp5,.008332426751742
Wp4,Wp6,.0096514240852721
Wp4,Wright,.0107334463104101
Wp5,Wleft,.0005142575561917
Wp5,Wm2,.0009898346354957
Wp5,Wm1,.0006879857846966
Wp5,Wp1,.0029030357829995
Wp5,Wp2,.0049890179539028
Wp5,Wp3,.0064411801362938
Wp5,Wp4,.008332426751742
Wp5,Wp5,.0104443272500137
Wp5,Wp6,.0104323811462627
Wp5,Wright,.010500507075671
Wp6,Wleft,-.0002570837478272
Wp6,Wm2,.0008050060050365
Wp6,Wm1,.0004584538081237
Wp6,Wp1,.0043642810407306
Wp6,Wp2,.0067500814551561
Wp6,Wp3,.0085949435137211
Wp6,Wp4,.0096514240852721
Wp6,Wp5,.0104323811462627
Wp6,Wp6,.0149545665104599
Wp6,Wright,.0152463470559586
Wright,Wleft,-.0019780618952729
Wright,Wm2,-.0001548463570571
Wright,Wm1,.0001154335453308
Wright,Wp1,.0047551378128974
Wright,Wp2,.0078171583118246
Wright,Wp3,.0099754580896592
Wright,Wp4,.0107334463104101
Wright,Wp5,.010500507075671
Wright,Wp6,.0152463470559586
Wright,Wright,.0221448917813684
