coefficient_i,coefficient_j,covariance
Wleft,Wleft,.0155505408788899
Wleft,Wm2,.0058613460283178
Wleft,Wm1,.0027166304800513
Wleft,Wp1,.0009367486661771
Wleft,Wp2,.0005278774858959
Wleft,Wp3,-.0002424286673387
Wleft,Wp4,-.0006297234440706
Wleft,Wp5,-.0013855620076583
Wleft,Wp6,-.0016412318711686
Wleft,Wright,-.0026766624106469
Wm2,Wleft,.0058613460283178
Wm2,Wm2,.0091060232732698
Wm2,Wm1,.002847557177754
Wm2,Wp1,.0006782514788492
Wm2,Wp2,.00045629339376
Wm2,Wp3,.000081170622541
Wm2,Wp4,-.0000913784120353
Wm2,Wp5,-.0004920021750771
Wm2,Wp6,-.0004351207934242
Wm2,Wright,-.0010098682296556
Wm1,Wleft,.0027166304800513
Wm1,Wm2,.002847557177754
Wm1,Wm1,.0039619481474201
Wm1,Wp1,.0005243601741066
Wm1,Wp2,.0004339388877582
Wm1,Wp3,.0003759880871208
Wm1,Wp4,.0002691839637872
Wm1,Wp5,.0002106704874917
Wm1,Wp6,.0001219657837355
Wm1,Wright,-.0000111976577368
Wp1,Wleft,.0009367486661771
Wp1,Wm2,.0006782514788492
Wp1,Wm1,.0005243601741066
Wp1,Wp1,.0026836127191144
Wp1,Wp2,.0022570664796593
Wp1,Wp3,.0022011753052236
Wp1,Wp4,.0021930613417185
Wp1,Wp5,.0024894607295673
Wp1,Wp6,.0027022526200809
Wp1,Wright,.0029801157821024
Wp2,Wleft,.0005278774858959
Wp2,Wm2,.00045629339376
Wp2,Wm1,.0004339388877582
Wp2,Wp1,.0022570664796593
Wp2,Wp2,.0038338427616998
Wp2,Wp3,.0034635543460773
Wp2,Wp4,.0032691670799467
Wp2,Wp5,.0037761141803182
Wp2,Wp6,.0041089975172071
Wp2,Wright,.0045659558531185
Wp3,Wleft,-.0002424286673387
Wp3,Wm2,.000081170622541
Wp3,Wm1,.0003759880871208
Wp3,Wp1,.0022011753052236
Wp3,Wp2,.0034635543460773
Wp3,Wp3,.0054308027285887
Wp3,Wp4,.004525771505517
Wp3,Wp5,.0050008151171828
Wp3,Wp6,.0053679856904824
Wp3,Wright,.0057893322005879
Wp4,Wleft,-.0006297234440706
Wp4,Wm2,-.0000913784120353
Wp4,Wm1,.0002691839637872
Wp4,Wp1,.0021930613417185
Wp4,Wp2,.0032691670799467
Wp4,Wp3,.004525771505517
Wp4,Wp4,.0063241753056755
Wp4,Wp5,.0061971870022866
Wp4,Wp6,.006438620345279
Wp4,Wright,.0065958579640069
Wp5,Wleft,-.0013855620076583
Wp5,Wm2,-.0004920021750771
Wp5,Wm1,.0002106704874917
Wp5,Wp1,.0024894607295673
Wp5,Wp2,.0037761141803182
Wp5,Wp3,.0050008151171828
Wp5,Wp4,.0061971870022866
Wp5,Wp5,.0089172093037306
Wp5,Wp6,.00855118547455
Wp5,Wright,.0088299938622911
Wp6,Wleft,-.0016412318711686
Wp6,Wm2,-.0004351207934242
Wp6,Wm1,.0001219657837355
Wp6,Wp1,.0027022526200809
Wp6,Wp2,.0041089975172071
Wp6,Wp3,.0053679856904824
Wp6,Wp4,.006438620345279
Wp6,Wp5,.00855118547455
Wp6,Wp6,.0111900043888271
Wp6,Wright,.0110881022958346
Wright,Wleft,-.0026766624106469
Wright,Wm2,-.0010098682296556
Wright,Wm1,-.0000111976577368
Wright,Wp1,.0029801157821024
Wright,Wp2,.0045659558531185
Wright,Wp3,.0057893322005879
Wright,Wp4,.0065958579640069
Wright,Wp5,.0088299938622911
Wright,Wp6,.0110881022958346
Wright,Wright,.0158928218568338
