f_c_y,control,K,rows
1971,0,-2,14
1971,0,-1,16
1971,0,0,20
1971,0,1,20
1971,0,2,20
1971,0,3,19
1971,0,4,18
1971,0,5,18
1971,0,6,16
1971,0,7,17
1971,0,8,18
1971,0,9,17
1971,0,10,18
1971,0,14,18
1971,0,15,18
1971,0,16,15
1971,0,17,16
1971,0,18,16
1971,0,19,15
1971,0,20,15
1971,0,21,15
1971,0,22,15
1971,0,23,14
1971,0,24,14
1971,0,25,13
1971,0,26,10
1971,0,28,10
1971,0,30,10
1971,0,32,10
1971,0,34,9
1971,0,36,7
1971,0,38,9
1971,0,40,8
1971,0,42,8
1971,0,44,7
1971,0,46,7
1971,0,48,7
1972,0,-3,13
1972,0,-2,16
1972,0,-1,17
1972,0,0,20
1972,0,1,20
1972,0,2,21
1972,0,3,20
1972,0,4,20
1972,0,5,20
1972,0,6,20
1972,0,7,19
1972,0,8,20
1972,0,9,20
1972,0,13,19
1972,0,14,18
1972,0,15,18
1972,0,16,17
1972,0,17,16
1972,0,18,15
1972,0,19,15
1972,0,20,11
1972,0,21,12
1972,0,22,15
1972,0,23,15
1972,0,24,12
1972,0,25,9
1972,0,27,8
1972,0,29,10
1972,0,31,9
1972,0,33,9
1972,0,35,9
1972,0,37,7
1972,0,39,7
1972,0,41,7
1972,0,43,7
1972,0,45,7
1972,0,47,6
1973,0,-4,12
1973,0,-3,13
1973,0,-2,16
1973,0,-1,18
1973,0,0,27
1973,0,1,26
1973,0,2,26
1973,0,3,26
1973,0,4,26
1973,0,5,27
1973,0,6,26
1973,0,7,25
1973,0,8,22
1973,0,12,25
1973,0,13,25
1973,0,14,24
1973,0,15,24
1973,0,16,23
1973,0,17,23
1973,0,18,21
1973,0,19,20
1973,0,20,19
1973,0,21,19
1973,0,22,19
1973,0,23,16
1973,0,24,12
1973,0,26,11
1973,0,28,14
1973,0,30,13
1973,0,32,11
1973,0,34,11
1973,0,36,10
1973,0,38,8
1973,0,40,9
1973,0,42,6
1973,0,44,6
1973,0,46,6
1974,0,-5,4
1974,0,-4,5
1974,0,-3,7
1974,0,-2,9
1974,0,-1,12
1974,0,0,14
1974,0,1,15
1974,0,2,15
1974,0,3,15
1974,0,4,15
1974,0,5,15
1974,0,6,14
1974,0,7,13
1974,0,11,13
1974,0,12,12
1974,0,13,12
1974,0,14,12
1974,0,15,12
1974,0,16,12
1974,0,17,11
1974,0,18,11
1974,0,19,11
1974,0,20,14
1974,0,21,12
1974,0,22,11
1974,0,23,10
1974,0,25,9
1974,0,27,10
1974,0,29,9
1974,0,31,10
1974,0,33,9
1974,0,35,9
1974,0,37,8
1974,0,39,9
1974,0,41,9
1974,0,43,9
1974,0,45,9
1975,0,-6,4
1975,0,-5,5
1975,0,-4,6
1975,0,-3,7
1975,0,-2,12
1975,0,-1,19
1975,0,0,56
1975,0,1,53
1975,0,2,50
1975,0,3,50
1975,0,4,51
1975,0,5,48
1975,0,6,51
1975,0,10,52
1975,0,11,51
1975,0,12,50
1975,0,13,50
1975,0,14,48
1975,0,15,47
1975,0,16,45
1975,0,17,44
1975,0,18,45
1975,0,19,48
1975,0,20,45
1975,0,21,45
1975,0,22,26
1975,0,24,25
1975,0,26,24
1975,0,28,24
1975,0,30,22
1975,0,32,22
1975,0,34,23
1975,0,36,21
1975,0,38,22
1975,0,40,19
1975,0,42,19
1975,0,44,18
1976,0,-7,2
1976,0,-6,4
1976,0,-5,4
1976,0,-4,3
1976,0,-3,6
1976,0,-2,10
1976,0,-1,37
1976,0,0,44
1976,0,1,47
1976,0,2,45
1976,0,3,46
1976,0,4,42
1976,0,5,46
1976,0,9,45
1976,0,10,44
1976,0,11,45
1976,0,12,46
1976,0,13,41
1976,0,14,39
1976,0,15,40
1976,0,16,41
1976,0,17,40
1976,0,18,46
1976,0,19,41
1976,0,20,37
1976,0,21,24
1976,0,23,23
1976,0,25,23
1976,0,27,21
1976,0,29,23
1976,0,31,21
1976,0,33,19
1976,0,35,22
1976,0,37,21
1976,0,39,19
1976,0,41,20
1976,0,43,17
1977,0,-8,3
1977,0,-7,4
1977,0,-6,4
1977,0,-5,5
1977,0,-4,5
1977,0,-3,6
1977,0,-2,30
1977,0,-1,37
1977,0,0,53
1977,0,1,52
1977,0,2,48
1977,0,3,55
1977,0,4,53
1977,0,8,51
1977,0,9,51
1977,0,10,51
1977,0,11,51
1977,0,12,50
1977,0,13,50
1977,0,14,50
1977,0,15,47
1977,0,16,47
1977,0,17,46
1977,0,18,44
1977,0,19,41
1977,0,20,33
1977,0,22,33
1977,0,24,31
1977,0,26,32
1977,0,28,28
1977,0,30,26
1977,0,32,29
1977,0,34,30
1977,0,36,26
1977,0,38,26
1977,0,40,29
1977,0,42,27
1978,0,-9,2
1978,0,-8,2
1978,0,-7,2
1978,0,-6,2
1978,0,-5,3
1978,0,-4,5
1978,0,-3,27
1978,0,-2,38
1978,0,-1,43
1978,0,0,54
1978,0,1,56
1978,0,2,51
1978,0,3,51
1978,0,7,51
1978,0,8,51
1978,0,9,51
1978,0,10,51
1978,0,11,49
1978,0,12,48
1978,0,13,46
1978,0,14,45
1978,0,15,46
1978,0,16,49
1978,0,17,48
1978,0,18,49
1978,0,19,33
1978,0,21,32
1978,0,23,30
1978,0,25,31
1978,0,27,30
1978,0,29,29
1978,0,31,27
1978,0,33,25
1978,0,35,28
1978,0,37,28
1978,0,39,24
1978,0,41,24
1979,0,-10,3
1979,0,-9,4
1979,0,-8,3
1979,0,-7,5
1979,0,-6,8
1979,0,-5,11
1979,0,-4,28
1979,0,-3,35
1979,0,-2,45
1979,0,-1,50
1979,0,0,67
1979,0,1,65
1979,0,2,64
1979,0,6,66
1979,0,7,62
1979,0,8,59
1979,0,9,58
1979,0,10,57
1979,0,11,57
1979,0,12,56
1979,0,13,58
1979,0,14,54
1979,0,15,58
1979,0,16,58
1979,0,17,55
1979,0,18,46
1979,0,20,45
1979,0,22,42
1979,0,24,36
1979,0,26,37
1979,0,28,37
1979,0,30,37
1979,0,32,34
1979,0,34,32
1979,0,36,31
1979,0,38,30
1979,0,40,27
1980,0,-7,2
1980,0,-6,5
1980,0,-5,22
1980,0,-4,25
1980,0,-3,35
1980,0,-2,42
1980,0,-1,59
1980,0,0,69
1980,0,1,71
1980,0,5,66
1980,0,6,63
1980,0,7,66
1980,0,8,64
1980,0,9,60
1980,0,10,63
1980,0,11,64
1980,0,12,65
1980,0,13,65
1980,0,14,64
1980,0,15,63
1980,0,16,59
1980,0,17,38
1980,0,19,36
1980,0,21,38
1980,0,23,35
1980,0,25,35
1980,0,27,35
1980,0,29,31
1980,0,31,29
1980,0,33,28
1980,0,35,31
1980,0,37,28
1980,0,39,23
1981,0,-10,1
1981,0,-9,1
1981,0,-8,5
