coefficient_i,coefficient_j,covariance
Wleft,Wleft,.0154515079635322
Wleft,Wm2,.0058445522162882
Wleft,Wm1,.0027934497543144
Wleft,Wp1,.0010024383619732
Wleft,Wp2,.0005658578700925
Wleft,Wp3,-.0001525578765906
Wleft,Wp4,-.0005110771011369
Wleft,Wp5,-.0011697213069236
Wleft,Wp6,-.0014764822893974
Wleft,Wright,-.0027652253012539
Wm2,Wleft,.0058445522162882
Wm2,Wm2,.0090364614714828
Wm2,Wm1,.002800900882144
Wm2,Wp1,.0007633541523861
Wm2,Wp2,.0006445239454273
Wm2,Wp3,.0002538314229019
Wm2,Wp4,.0000485983653516
Wm2,Wp5,-.0002050921074896
Wm2,Wp6,-.0001563457964936
Wm2,Wright,-.0009623389937872
Wm1,Wleft,.0027934497543144
Wm1,Wm2,.002800900882144
Wm1,Wm1,.0041631368543737
Wm1,Wp1,.0005554082365519
Wm1,Wp2,.0005435149817227
Wm1,Wp3,.0004999872437907
Wm1,Wp4,.0003505424920098
Wm1,Wp5,.0002870991917673
Wm1,Wp6,.0002329565034709
Wm1,Wright,-.0000481151142852
Wp1,Wleft,.0010024383619732
Wp1,Wm2,.0007633541523861
Wp1,Wm1,.0005554082365519
Wp1,Wp1,.0027751237669772
Wp1,Wp2,.0022322104865729
Wp1,Wp3,.0020717858847971
Wp1,Wp4,.0020558484116475
Wp1,Wp5,.0024651823995797
Wp1,Wp6,.0025464801303813
Wp1,Wright,.0027998184496605
Wp2,Wleft,.0005658578700925
Wp2,Wm2,.0006445239454273
Wp2,Wm1,.0005435149817227
Wp2,Wp1,.0022322104865729
Wp2,Wp2,.0040335347852972
Wp2,Wp3,.0035712477027127
Wp2,Wp4,.0034273277419749
Wp2,Wp5,.003995144594336
Wp2,Wp6,.0043041294057351
Wp2,Wright,.0049652141207474
Wp3,Wleft,-.0001525578765906
Wp3,Wm2,.0002538314229019
Wp3,Wm1,.0004999872437907
Wp3,Wp1,.0020717858847971
Wp3,Wp2,.0035712477027127
Wp3,Wp3,.0054927207101565
Wp3,Wp4,.0047745414084254
Wp3,Wp5,.0051767079927264
Wp3,Wp6,.005643889404492
Wp3,Wright,.0063796341472837
Wp4,Wleft,-.0005110771011369
Wp4,Wm2,.0000485983653516
Wp4,Wm1,.0003505424920098
Wp4,Wp1,.0020558484116475
Wp4,Wp2,.0034273277419749
Wp4,Wp3,.0047745414084254
Wp4,Wp4,.0063811945786196
Wp4,Wp5,.0062929808219169
Wp4,Wp6,.0065396613374808
Wp4,Wright,.0073151595752077
Wp5,Wleft,-.0011697213069236
Wp5,Wm2,-.0002050921074896
Wp5,Wm1,.0002870991917673
Wp5,Wp1,.0024651823995797
Wp5,Wp2,.003995144594336
Wp5,Wp3,.0051767079927264
Wp5,Wp4,.0062929808219169
Wp5,Wp5,.0086886820627286
Wp5,Wp6,.0084972396601528
Wp5,Wright,.0093918443638072
Wp6,Wleft,-.0014764822893974
Wp6,Wm2,-.0001563457964936
Wp6,Wm1,.0002329565034709
Wp6,Wp1,.0025464801303813
Wp6,Wp2,.0043041294057351
Wp6,Wp3,.005643889404492
Wp6,Wp4,.0065396613374808
Wp6,Wp5,.0084972396601528
Wp6,Wp6,.0111027087240029
Wp6,Wright,.0111326414823349
Wright,Wleft,-.0027652253012539
Wright,Wm2,-.0009623389937872
Wright,Wm1,-.0000481151142852
Wright,Wp1,.0027998184496605
Wright,Wp2,.0049652141207474
Wright,Wp3,.0063796341472837
Wright,Wp4,.0073151595752077
Wright,Wp5,.0093918443638072
Wright,Wp6,.0111326414823349
Wright,Wright,.0165584531170849
