year,moved_variable,moved_label,whymoved_variable,whymoved_label,homeown_variable,homeown_label
1968,,,,,V103,OWN OR RENT
1969,V603,MOVED SINCE SPRNG68,V604,WHY MOVED,V593,OWN OR RENT?
1970,V1274,MOVED SINCE SPRING,V1275,WHY MOVED,V1264,OWN OR RENT?
1971,V1979,MOVED SINCE SPRING,V1980,WHY MOVED?,V1967,OWN OR RENT?
1972,V2577,MOVED SINCE SPRING,V2578,WHY MOVED?,V2566,OWN OR RENT?
1973,V3110,MOVED SINCE SPRING,V3111,WHY MOVED,V3108,OWN OR RENT
1974,V3524,MOVED SINCE SPRING?,V3525,WHY MOVED?,V3522,HOUSING STATUS
1975,V3941,WTR MOVED SINCE SPG,V3943,WHY MOVED,V3939,OWN/RENT
1976,V4452,MOVED SINCE SPRNG 75 C17,V4454,WHY DID YOU MOVE     C19,V4450,OWN/RENT/OR WHAT      C3
1977,V5366,MOVED SINCE SPR 1976?C22,V5368,WHY MOVED            C24,V5364,OWN/RENT OR WHAT?     C3
1978,V5866,C20 MOVE SINCE SPR 1977,V5868,C22 WHY MOVE,V5864,C3 OWN/RENT OR WHAT
1979,V6484,B21 MOVE SINCE SPR 1978,V6486,B23 WHY MOVE,V6479,B3 OWN/RENT OR WHAT
1980,V7089,B23 MOVE SINCE SPR 1979,V7091,B25 WHY MOVED,V7084,B5 OWN/RENT OR WHAT
1981,V7700,B34 MOVD SINCE SPR 1980?,V7702,B36 WHY MOVED,V7675,B5 OWN/RENT OR WHAT
1982,V8369,B17 MOVD SINCE SPR 1981?,V8370,B18 WHY MOVED,V8364,B5 OWN/RENT OR WHAT
1983,V8999,B34 MOVD SINCE SPR 1982?,V9001,B36 WHY MOVED,V8974,B6 OWN/RENT OR WHAT
1984,V10447,B27 MOVD SINCE SPR 1983?,V10449,B29 WHY MOVED,V10437,B6 OWN/RENT OR WHAT
1985,V11628,A29 MOVD SINCE SPG 84?,V11630,A31 WHY MOVED,V11618,A9 OWN/RENT OR WHAT
1986,V13037,A33 MOVD SINCE SPG 85?,V13039,A35 WHY MOVED,V13023,A9 OWN/RENT OR WHAT
1987,V14140,A33 MOVED SINCE SPG 86?,V14142,A35 WHY MOVED,V14126,A9 OWN/RENT OR WHAT
1988,V15148,A18 MOVED SINCE SPG 87?,V15150,A20 WHY MOVED,V15140,A8 OWN/RENT OR WHAT
1989,V16649,A18 MOVED SINCE SPG 88?,V16651,A20 WHY MOVED,V16641,A8 OWN/RENT OR WHAT
1990,V18087,A38 MOVED SINCE SPG 89?,V18089,A40 WHY MOVED,V18072,A15 OWN/RENT OR WHAT
1991,V19387,A38 MOVED SINCE SPG 90?,V19389,A40 WHY MOVED,V19372,A15 OWN/RENT OR WHAT
1992,V20687,A42 MOVED SINCE SPG 91?,V20689,A44 WHY MOVED,V20672,A19 OWN/RENT OR WHAT
1993,V22441,A42 WTR MOVED SINCE SPRING 1992,V22444,A44 WHY MOVED,V22427,A19 WTR OWN/RENT OR WHAT
1994,ER2062,A42 MOVED SINCE SPG?,ER2065,A44 WHY MOVED 1ST,ER2032,A19 OWN/RENT OR WHAT
1995,ER5061,A42 MOVED SINCE SPG?,ER5064,A44 WHY MOVED 1ST,ER5031,A19 OWN/RENT OR WHAT
1996,ER7155,A42 MOVED SINCE SPG?,ER7158,A44 WHY MOVED 1ST,ER7031,A19 OWN/RENT OR WHAT
1997,ER10072,A42 MOVED SINCE SPG?,ER10075,A44 WHY MOVED 1ST,ER10035,A19 OWN/RENT OR WHAT
1999,ER13077,A42 MOVED SINCE SPG?,ER13080,A44 WHY MOVED 1ST,ER13040,A19 OWN/RENT OR WHAT
2001,ER17088,A42 MOVED SINCE SPG?,ER17091,A44 WHY MOVED 1ST,ER17043,A19 OWN/RENT OR WHAT
2003,ER21117,A49 WTR MOVED SINCE JAN 1 OF PRIOR YEAR,ER21120,A50 WHY MOVED 1ST,ER21042,A19 OWN/RENT OR WHAT
2005,ER25098,A49 WTR MOVED SINCE JAN 1 OF PRIOR YEAR,ER25101,A50 WHY MOVED 1ST,ER25028,A19 OWN/RENT OR WHAT
2007,ER36103,A49 WTR MOVED SINCE JAN 1 OF PRIOR YEAR,ER36106,A50 WHY MOVED 1ST,ER36028,A19 OWN/RENT OR WHAT
2009,ER42132,A49 WTR MOVED SINCE JAN 1 OF PRIOR YEAR,ER42135,A50 WHY MOVED 1ST MENTION,ER42029,A19 OWN/RENT OR WHAT
2011,ER47440,A49 WTR MOVED SINCE JAN 1 OF PRIOR YEAR,ER47443,A50 WHY MOVED 1ST MENTION,ER47329,A19 OWN/RENT OR WHAT
2013,ER53140,A49 WTR MOVED SINCE JAN 1 OF PRIOR YEAR,ER53143,A50 WHY MOVED 1ST MENTION,ER53029,A19 OWN/RENT OR WHAT
2015,ER60155,A49 WTR MOVED SINCE JAN 1 OF PRIOR YEAR,ER60158,A50 WHY MOVED 1ST MENTION,ER60030,A19 OWN/RENT OR WHAT
2017,ER66156,A49 WTR MOVED SINCE JAN 1 OF PRIOR YEAR,ER66159,A50 WHY MOVED 1ST MENTION,ER66030,A19 OWN/RENT OR WHAT
2019,ER72156,A49 WTR MOVED SINCE JAN 1 OF PRIOR YEAR,ER72159,A50 WHY MOVED 1ST MENTION,ER72030,A19 OWN/RENT OR WHAT
