source_group,product,year,download_default,raw_file,url
hud_loan_limits,fha_forward,2008,TRUE,raw/cy2008-forward-limits.txt,https://apps.hud.gov/pub/chums/cy2008-forward-limits.txt
hud_loan_limits,gse,2008,TRUE,raw/cy2008-gse-limits.txt,https://apps.hud.gov/pub/chums/cy2008-gse-limits.txt
hud_loan_limits,fha_forward,2009,TRUE,raw/cy2009-forward-limits.txt,https://apps.hud.gov/pub/chums/cy2009-forward-limits.txt
hud_loan_limits,gse,2009,TRUE,raw/cy2009-gse-limits.txt,https://apps.hud.gov/pub/chums/cy2009-gse-limits.txt
fhfa_cll,gse,2009,FALSE,raw/fullcountyloanlimitlist2009_arra.xls,https://www.fhfa.gov/document/d/cll/fullcountyloanlimitlist2009_arra.xls
fhfa_cll,gse,2010,FALSE,raw/fullcountyloanlimitlist2010_pl111-88_final.xls,https://www.fhfa.gov/document/d/cll/fullcountyloanlimitlist2010_pl111-88_final
fhfa_cll,gse,2011,FALSE,raw/fullcountyloanlimitlist2011_hera-based_final.xls,https://www.fhfa.gov/document/d/cll/fullcountyloanlimitlist2011_hera-based_final
fhfa_cll,gse,2012,FALSE,raw/fullcountyloanlimitlist2012_hera-based_final.xls,https://www.fhfa.gov/document/d/cll/fullcountyloanlimitlist2012_hera-based_final
hmda_lar,first_lien_owner_occupied_1_4_family,2007,FALSE,raw/hmda_2007_nationwide_first-lien-owner-occupied-1-4-family-records_labels.zip,https://files.consumerfinance.gov/hmda-historic-loan-data/hmda_2007_nationwide_first-lien-owner-occupied-1-4-family-records_labels.zip
hmda_lar,first_lien_owner_occupied_1_4_family,2008,FALSE,raw/hmda_2008_nationwide_first-lien-owner-occupied-1-4-family-records_labels.zip,https://files.consumerfinance.gov/hmda-historic-loan-data/hmda_2008_nationwide_first-lien-owner-occupied-1-4-family-records_labels.zip
hmda_lar,first_lien_owner_occupied_1_4_family,2009,FALSE,raw/hmda_2009_nationwide_first-lien-owner-occupied-1-4-family-records_labels.zip,https://files.consumerfinance.gov/hmda-historic-loan-data/hmda_2009_nationwide_first-lien-owner-occupied-1-4-family-records_labels.zip
hmda_lar,first_lien_owner_occupied_1_4_family,2010,FALSE,raw/hmda_2010_nationwide_first-lien-owner-occupied-1-4-family-records_labels.zip,https://files.consumerfinance.gov/hmda-historic-loan-data/hmda_2010_nationwide_first-lien-owner-occupied-1-4-family-records_labels.zip
hmda_lar,first_lien_owner_occupied_1_4_family,2011,FALSE,raw/hmda_2011_nationwide_first-lien-owner-occupied-1-4-family-records_labels.zip,https://files.consumerfinance.gov/hmda-historic-loan-data/hmda_2011_nationwide_first-lien-owner-occupied-1-4-family-records_labels.zip
hmda_lar,first_lien_owner_occupied_1_4_family,2012,FALSE,raw/hmda_2012_nationwide_first-lien-owner-occupied-1-4-family-records_labels.zip,https://files.consumerfinance.gov/hmda-historic-loan-data/hmda_2012_nationwide_first-lien-owner-occupied-1-4-family-records_labels.zip
hmda_dictionary,lar_record_format,NA,FALSE,raw/lar_record_format.pdf,https://files.consumerfinance.gov/hmda-historic-data-dictionaries/lar_record_format.pdf
hmda_dictionary,lar_record_codes,NA,FALSE,raw/lar_record_codes.pdf,https://files.consumerfinance.gov/hmda-historic-data-dictionaries/lar_record_codes.pdf
