case,spec,outcome,event_age,term,rf_coef,rf_se,rf_ci_lower,rf_ci_upper,fs_coef,fs_se,fs_ci_lower,fs_ci_upper,first_stage_F,n_usable,n_households,n_instrument_positive,status,n_warnings,note
A,baseline pooled 0-5,ROOMS_out,0-5,samesex,-0.037626581931,0.0050923051903,-0.04760731670227439,-0.027645847159725612,0.032744555041,0.0012244211394,0.0303447337058665,0.03514437637613349,715.1819557167095,656985,656159,329974,full_fit,0,
A,baseline pooled 0-5,BEDROOMS_out,0-5,samesex,-0.03412497088,0.0027824015488,-0.03957837770617647,-0.028671564053823536,0.032745238605,0.0012244203008,0.030345418913492298,0.0351450582965077,715.2127955015254,656986,656160,329974,full_fit,0,
A,baseline pooled 0-5,OWNERSHP_out,0-5,samesex,-0.0024568425695,0.0014749407133,-0.005347673246899817,0.0004339881078998173,0.032745238605,0.0012244203008,0.030345418913492298,0.0351450582965077,715.2127955015254,656986,656160,329974,full_fit,0,
B,event age 0,ROOMS_out,0,samesex,-0.0085512192015,0.011992134168,-0.03205537026855221,0.014952931865552209,0.00094248488744,0.00098487109171,-0.0009878269817262448,0.0028727967566062446,0.9157775865811817,120739,120720,60252,full_fit,0,
B,event age 0,BEDROOMS_out,0,samesex,-0.003704168928,0.0065690821979,-0.016579333447367218,0.009170995591367219,0.00094248488744,0.00098487109171,-0.0009878269817262448,0.0028727967566062446,0.9157775865811817,120739,120720,60252,full_fit,0,
B,event age 0,OWNERSHP_out,0,samesex,-0.0020283077836,0.003410663119,-0.008713084660239049,0.004656469093039049,0.00094248488744,0.00098487109171,-0.0009878269817262448,0.0028727967566062446,0.9157775865811817,120739,120720,60252,full_fit,0,
B,event age 1,ROOMS_out,1,samesex,-0.014888857338,0.012088652027,-0.03858217993255712,0.008804465256557122,0.01199948351,0.0020087097144,0.008062484814380263,0.01593648220561974,35.68541459127398,119153,119120,60314,full_fit,0,
B,event age 1,BEDROOMS_out,1,samesex,-0.027785653521,0.0065864084552,-0.040694776880662094,-0.014876530161337905,0.01199948351,0.0020087097144,0.008062484814380263,0.01593648220561974,35.68541459127398,119153,119120,60314,full_fit,0,
B,event age 1,OWNERSHP_out,1,samesex,0.00043460268242,0.0034567793857,-0.006340560416052492,0.007209765780892492,0.01199948351,0.0020087097144,0.008062484814380263,0.01593648220561974,35.68541459127398,119153,119120,60314,full_fit,0,
B,event age 2,ROOMS_out,2,samesex,-0.045518957722,0.012191044412,-0.06941296570344828,-0.02162494974055172,0.030980124866,0.0029705968151,0.02515786209581461,0.03680238763618539,108.76243084837766,115894,115880,58351,full_fit,0,
B,event age 2,BEDROOMS_out,2,samesex,-0.040315982302,0.0066371355664,-0.053324528972653856,-0.027307435631346147,0.030980124866,0.0029705968151,0.02515786209581461,0.03680238763618539,108.76243084837766,115894,115880,58351,full_fit,0,
B,event age 2,OWNERSHP_out,2,samesex,-0.0058628976556,0.0035019219643,-0.012726538582297761,0.0010007432710977607,0.030980124866,0.0029705968151,0.02515786209581461,0.03680238763618539,108.76243084837766,115894,115880,58351,full_fit,0,
B,event age 3,ROOMS_out,3,samesex,-0.050817544052,0.012399499135,-0.07512011578293555,-0.026514972321064447,0.046666790976,0.0035414256874,0.039725724174771,0.053607857777229005,173.64393120917015,108847,108825,54561,full_fit,0,
