scenario,policy_case,period_from_2007,calendar_year,years_from_2023,psi_child,asset_price,asset_price_index,adult_population,population_index,population_index_2023,entry_flow_E,birth_children,birth_children_topcode_adjusted,topcode_adjusted_births_per_adult,effective_mature_entrant_flow_B,raw_state_scheduled_mature_entrant_flow_B,queue_B_over_current_E,outside_entry_flow_M,renewal_retention_rho,retained_mature_entrants,entrant_flow_next,adult_deaths,housing_demand,housing_demand_per_adult,housing_supply,relative_market_residual,mass_accounting_residual,owner_rate,dependent_child_owner_rate,parent_owner_rate,childless_owner_rate,birth_queue_scheduled_flows,birth_queue_raw_state_scheduled_flows,model_state_same_period_mature_flow_B,census_age_bridge_net_residual,census_age_bridge_maximum_target_gap,grid_resolution_fallback,feasibility_frontier_projection_mass,min_distribution_mass,nonfinite_distribution_count,adult_household_units,dependent_child_units,model_population_units,policy_label,supply_intercept_multiplier,dependent_child_ltv95,annual_property_tax_rate,housing_user_cost,property_tax_revenue_discarded,property_tax_revenue_discarded_per_adult,property_tax_lump_sum_transfer,purchase_grant
baseline,baseline,4,2023,0,-0.039235116812901205,0.6937334343958133,1.1370535337618235,1.1292476712477768,1.1292476712477615,1.0,0.014337122049139395,0.08325016432360084,0.09554187572006465,0.08460666172062539,0.06392233827639678,0.05559754931355344,4.458519503238365,0.0,1.0,0.06392233827639678,0.06392233827639678,0.04995973857292628,7.146550210171544,6.328594153552578,7.1466922524929055,1.9875253661900413e-05,1.3322676295501878e-15,0.637167316564105,0.6015952547308694,0.7048274186264879,0.4325914431031524,"[0.05657152752673661, 0.05200218534452615, 0.04803503819683584, 0.045496131295268874]","[0.04907732030558369, 0.045059631737043866, 0.04173557050617226, 0.039642935392190874]",0.05730527016563587,0.0,0.0,False,0.0,0.0,0,1.1292476712477768,0.5212077070593006,1.6504553783070774,No policy,1.0,False,0.01,0.11495958675719566,0.19831203285537707,0.17561429428168843,0.0,False
baseline,baseline,5,2027,4,-0.039235116812901205,0.6976356849642897,1.1434494598892337,1.1432102709512486,1.143210270951233,1.012364514941212,0.06392233827639679,0.0780509176511686,0.08890140538209756,0.07776470142113401,0.05657152752673661,0.04907732030558369,0.8850040385275697,0.0,1.0,0.05657152752673661,0.05657152752673661,0.060251780761320727,7.17212761359799,6.273673177927423,7.171992055674109,1.890101422705852e-05,-2.220446049250313e-16,0.6415316840646684,0.614406647063449,0.7235491104104788,0.41646818015947845,"[0.05200218534452615, 0.04803503819683584, 0.045496131295268874, 0.0423340025629036]","[0.045059631737043866, 0.04173557050617226, 0.039642935392190874, 0.03716710364341362]",0.05252791801095202,0.0,0.0,False,0.0,0.0,0,1.1432102709512486,0.4791878088343827,1.6223980797856314,No policy,1.0,False,0.01,0.11560623443270489,0.2001412864145492,0.17506953138905754,0.0,False
baseline,baseline,6,2031,8,-0.039235116812901205,0.6912443093083752,1.132973770071161,1.1395300177166643,1.1395300177166487,1.0091054838816058,0.056571527526736616,0.07197789361085893,0.0809689181772848,0.07105466018308709,0.05200218534452615,0.045059631737043866,0.9192289410949541,0.0,1.0,0.05200218534452615,0.05200218534452615,0.07156101430304664,7.130560206405319,6.257457105599722,7.130526780804367,4.6876762376054915e-06,-1.7763568394002505e-15,0.649272475632069,0.6241091788976564,0.7391469940855544,0.4188475369990905,"[0.04803503819683584, 0.045496131295268874, 0.0423340025629036, 0.03855662770346895]","[0.04173557050617226, 0.039642935392190874, 0.03716710364341362, 0.034275187433742346]",0.04803055952496797,0.0,0.0,False,0.0,0.0,0,1.1395300177166643,0.4396733196208521,1.5792033373375163,No policy,1.0,False,0.01,0.11454711018153796,0.19715836659433722,0.17301726459951758,0.0,False
baseline,baseline,7,2035,12,-0.039235116812901205,0.6752835404477227,1.1068135077358645,1.1199711887581418,1.1199711887581267,0.991785254266334,0.052002185344526164,0.06611855170567033,0.07312407555832652,0.0652910327446983,0.04803503819683584,0.04173557050617226,0.9237119147703682,0.0,1.0,0.04803503819683584,0.04803503819683584,0.07749801848550866,7.026094729032192,6.273460245725553,7.026353738328237,3.686254716050257e-05,1.1102230246251565e-15,0.6564764757766887,0.6303452949961523,0.75121163184264,0.4272399223935916,"[0.045496131295268874, 0.0423340025629036, 0.03855662770346895, 0.03482098836110786]","[0.039642935392190874, 0.03716710364341362, 0.034275187433742346, 0.03148502462174777]",0.04383375079553117,0.0,0.0,False,0.0,0.0,0,1.1199711887581418,0.40233246835420766,1.5223036571123494,No policy,1.0,False,0.01,0.11190222772153985,0.1897842449656776,0.16945457782369744,0.0,False
baseline,baseline,8,2039,16,-0.039235116812901205,0.6543597654921126,1.072518703603159,1.09050820846947,1.090508208469455,0.9656944497078297,0.04803503819683586,0.0611788023944916,0.06640311781323936,0.060891900948124224,0.045496131295268874,0.039642935392190874,0.9471446886091114,0.0,1.0,0.045496131295268874,0.045496131295268874,0.08162579930943106,6.888260706836151,6.316560162810545,6.8883971341241255,1.9805374939608082e-05,2.220446049250313e-16,0.6639137237616692,0.6342371207317846,0.7609604762265766,0.4411788833219623,"[0.0423340025629036, 0.03855662770346895, 0.03482098836110786, 0.03162053229201874]","[0.03716710364341362, 0.034275187433742346, 0.03148502462174777, 0.029132763044996]",0.039991004939376754,0.0,0.0,False,0.0,0.0,0,1.09050820846947,0.36801505824263525,1.4585232667121053,No policy,1.0,False,0.01,0.10843491822910865,0.1802960264309535,0.16533211307418333,0.0,False
baseline,baseline,9,2043,20,-0.039235116812901205,0.6310624956368833,1.0343336577303706,1.0543785404553079,1.0543785404552937,0.9336999909774077,0.045496131295268874,0.058844846251377744,0.06310293005483013,0.05984845824686517,0.0423340025629036,0.03716710364341362,0.9304967556066882,0.0,1.0,0.0423340025629036,0.0423340025629036,0.08556713191852869,6.732719494464948,6.385486081267915,6.732855912163751,2.0261490901011462e-05,6.661338147750939e-16,0.6706200824312116,0.6358939593936536,0.7684240373968158,0.4578560388454324,"[0.03855662770346895, 0.03482098836110786, 0.03162053229201874, 0.030049014311823868]","[0.034275187433742346, 0.03148502462174777, 0.029132763044996, 0.028021355357798924]",0.03672407008889125,0.0,0.0,False,0.0,0.0,0,1.0543785404553079,0.33878188046560676,1.3931604209209145,No policy,1.0,False,0.01,0.10457429340934547,0.16995067066400582,0.16118563129202812,0.0,False
baseline,baseline,10,2047,24,-0.039235116812901205,0.6050223936502779,0.9916530133857958,1.0111454110996834,1.0111454110996696,0.8954150952398292,0.0423340025629036,0.05974212537008905,0.06434624763223837,0.06363698724821173,0.03855662770346895,0.034275187433742346,0.9107720831777744,0.0,1.0,0.03855662770346895,0.03855662770346895,0.08369577221251054,6.556790440909895,6.484517823978431,6.556464892210004,4.965308367284703e-05,1.1102230246251565e-16,0.6776452288690477,0.6385939438313742,0.7744003162798564,0.47794169365108075,"[0.03482098836110786, 0.03162053229201874, 0.030049014311823868, 0.030641070301065887]","[0.03148502462174777, 0.029132763044996, 0.028021355357798924, 0.02844863112861383]",0.03431087319998795,0.0,0.0,False,0.0,0.0,0,1.0111454110996834,0.3168106164150711,1.3279560275147544,No policy,1.0,False,0.01,0.10025914984688687,0.1586802018889026,0.15693113982129694,0.0,False
baseline,baseline,11,2051,28,-0.039235116812901205,0.5799216152193254,0.950511953433937,0.9660062665906418,0.9660062665906287,0.8554423366870801,0.038556627703468946,0.06307921977462609,0.0690915873243879,0.07152291834320615,0.03482098836110786,0.03148502462174777,0.9031129130096358,0.0,1.0,0.03482098836110786,0.03482098836110786,0.07899439375243139,6.383691816682758,6.6083337525469,6.383757536613973,1.0294866438512932e-05,-2.220446049250313e-16,0.6867002325577267,0.644734869011818,0.7801651543095557,0.5018161518563868,"[0.03162053229201874, 0.030049014311823868, 0.030641070301065887, 0.03290075586875614]","[0.029132763044996, 0.028021355357798924, 0.02844863112861383, 0.0300377237022029]",0.03286224714830361,0.0,0.0,False,0.0,0.0,0,0.9660062665906418,0.30325533232684354,1.2692615989174854,No policy,1.0,False,0.01,0.09609966297103904,0.14808163477572217,0.15329262334746058,0.0,False
baseline,baseline,12,2055,32,-0.039235116812901205,0.5564237319755339,0.911998095151259,0.9218328611993181,0.9218328611993056,0.8163247838985818,0.03482098836110787,0.058102321107838334,0.06360139666702798,0.06899449926777576,0.03162053229201874,0.029132763044996,0.9080883047919521,0.0,1.0,0.03162053229201874,0.03162053229201874,0.08024809606981145,6.219801830979129,6.747212095354332,6.219554576298301,3.975440327681336e-05,2.220446049250313e-16,0.6967544227279723,0.6531384966233991,0.7861370086153335,0.5268353012645877,"[0.030049014311823868, 0.030641070301065887, 0.03290075586875614, 0.030286379365251418]","[0.028021355357798924, 0.02844863112861383, 0.0300377237022029, 0.02766777195611349]",0.031199028949371214,0.0,0.0,False,0.0,0.0,0,0.9218328611993181,0.28813805115242125,1.2099709123517393,No policy,1.0,False,0.01,0.09220579421188412,0.13843381387766662,0.15017235738114842,0.0,False
baseline,baseline,13,2059,36,-0.039235116812901205,0.5305624065089805,0.869610471819944,0.8732052974215256,0.8732052974215138,0.7732628719585192,0.03162053229201875,0.05380741975610151,0.0589351089238074,0.0674928440056834,0.030049014311823868,0.028021355357798924,0.9503007107634446,0.0,1.0,0.030049014311823868,0.030049014311823868,0.07739275692906078,6.036087153198006,6.912563598757215,6.035839818156753,4.097773445020575e-05,1.1102230246251565e-16,0.7098535516393886,0.6667443593879374,0.7946980473753245,0.5550974464407263,"[0.030641070301065887, 0.03290075586875614, 0.030286379365251418, 0.028064337582765428]","[0.02844863112861383, 0.0300377237022029, 0.02766777195611349, 0.025622580836238813]",0.029486685245826632,0.0,0.0,False,0.0,0.0,0,0.8732052974215256,0.2722006221843502,1.145405919605876,No policy,1.0,False,0.01,0.08792027596925023,0.12810083703594696,0.14670185512417175,0.0,False
