period,field,absolute_gap
0,psi_child,0.0
0,asset_price,0.0
0,asset_price_index,0.0
0,adult_population,0.0
0,population_index,0.0
0,entry_flow_E,0.0
0,birth_children,0.0
0,birth_children_topcode_adjusted,0.0
0,effective_mature_entrant_flow_B,0.0
0,housing_demand,0.0
0,housing_supply,0.0
0,owner_rate,0.0
0,dependent_child_owner_rate,0.0
0,parent_owner_rate,0.0
0,childless_owner_rate,0.0
1,psi_child,0.0
1,asset_price,0.0
1,asset_price_index,0.0
1,adult_population,0.0
1,population_index,0.0
1,entry_flow_E,0.0
1,birth_children,0.0
1,birth_children_topcode_adjusted,0.0
1,effective_mature_entrant_flow_B,0.0
1,housing_demand,0.0
1,housing_supply,0.0
1,owner_rate,0.0
1,dependent_child_owner_rate,0.0
1,parent_owner_rate,0.0
1,childless_owner_rate,0.0
2,psi_child,0.0
2,asset_price,0.0
2,asset_price_index,0.0
2,adult_population,0.0
2,population_index,0.0
2,entry_flow_E,0.0
2,birth_children,0.0
2,birth_children_topcode_adjusted,0.0
2,effective_mature_entrant_flow_B,0.0
2,housing_demand,0.0
2,housing_supply,0.0
2,owner_rate,0.0
2,dependent_child_owner_rate,0.0
2,parent_owner_rate,0.0
2,childless_owner_rate,0.0
3,psi_child,0.0
3,asset_price,0.0
3,asset_price_index,0.0
3,adult_population,0.0
3,population_index,0.0
3,entry_flow_E,0.0
3,birth_children,0.0
3,birth_children_topcode_adjusted,0.0
3,effective_mature_entrant_flow_B,0.0
3,housing_demand,0.0
3,housing_supply,0.0
3,owner_rate,0.0
3,dependent_child_owner_rate,0.0
3,parent_owner_rate,0.0
3,childless_owner_rate,0.0
4,psi_child,0.0
4,asset_price,0.0
4,asset_price_index,0.0
4,adult_population,0.0
4,population_index,0.0
4,entry_flow_E,0.0
4,birth_children,0.0
4,birth_children_topcode_adjusted,0.0
4,effective_mature_entrant_flow_B,0.0
4,housing_demand,0.0
4,housing_supply,0.0
4,owner_rate,0.0
4,dependent_child_owner_rate,0.0
4,parent_owner_rate,0.0
4,childless_owner_rate,0.0
