scenario,policy_case,period_from_2007,calendar_year,years_from_2023,psi_child,asset_price,asset_price_index,adult_population,population_index,population_index_2023,entry_flow_E,birth_children,birth_children_topcode_adjusted,topcode_adjusted_births_per_adult,effective_mature_entrant_flow_B,raw_state_scheduled_mature_entrant_flow_B,queue_B_over_current_E,outside_entry_flow_M,renewal_retention_rho,retained_mature_entrants,entrant_flow_next,adult_deaths,housing_demand,housing_demand_per_adult,housing_supply,relative_market_residual,mass_accounting_residual,owner_rate,dependent_child_owner_rate,parent_owner_rate,childless_owner_rate,birth_queue_scheduled_flows,birth_queue_raw_state_scheduled_flows,model_state_same_period_mature_flow_B,census_age_bridge_net_residual,census_age_bridge_maximum_target_gap,grid_resolution_fallback,feasibility_frontier_projection_mass,min_distribution_mass,nonfinite_distribution_count,adult_household_units,dependent_child_units,model_population_units,policy_label,supply_intercept_multiplier,dependent_child_ltv95,annual_property_tax_rate,housing_user_cost,property_tax_revenue_discarded,property_tax_revenue_discarded_per_adult,property_tax_lump_sum_transfer,purchase_grant
dependent-child-ltv95,dependent-child-ltv95,4,2023,0,-0.039235116812901205,0.6941527615026757,1.1377408256595758,1.1292476712477768,1.1292476712477615,1.0,0.014337122049139395,0.08326637543514395,0.0955590658513076,0.08462188436104401,0.06392233827639678,0.05559754931355344,4.458519503238365,0.0,1.0,0.06392233827639678,0.06392233827639678,0.04995973857292628,7.149678581905748,6.331364468527633,7.149413433236345,3.7086772485559125e-05,0.0,0.6444908319634506,0.6214880897666847,0.714424601757808,0.43303031040665413,"[0.05657152752673661, 0.05200218534452615, 0.04803503819683584, 0.045504317072051235]","[0.04907732030558369, 0.045059631737043866, 0.04173557050617226, 0.03965065496911616]",0.057307071395898405,0.0,0.0,False,0.0,0.0,0,1.1292476712477768,0.521223918170838,1.6504715894186148,5% down payment for dependent-child households,1.0,True,0.01,0.1150290740682159,0.1985187652594564,0.17579736519637215,0.0,False
dependent-child-ltv95,dependent-child-ltv95,5,2027,4,-0.039235116812901205,0.6984234279064518,1.1447405983174421,1.1432102709512473,1.1432102709512317,1.0123645149412106,0.06392233827639679,0.07806781406208656,0.08891944460519942,0.07778048086570369,0.05657152752673661,0.04907732030558369,0.8850040385275697,0.0,1.0,0.05657152752673661,0.05657152752673661,0.06025178076132072,7.177288801824234,6.27818782265849,7.177092940273004,2.728981676273828e-05,2.220446049250313e-16,0.6521811618619785,0.6441265726773877,0.7379076669578721,0.4169182183798763,"[0.05200218534452615, 0.04803503819683584, 0.045504317072051235, 0.04234259266914258]","[0.045059631737043866, 0.04173557050617226, 0.03965065496911616, 0.03717514955337455]",0.05253119637440402,0.0,0.0,False,0.0,0.0,0,1.1432102709512473,0.47921731389631406,1.6224275848475613,5% down payment for dependent-child households,1.0,True,0.01,0.11573677247312776,0.20051146592178684,0.17539333840570667,0.0,False
dependent-child-ltv95,dependent-child-ltv95,6,2031,8,-0.039235116812901205,0.691972814281389,1.1341678153814463,1.1395300177166634,1.1395300177166479,1.009105483881605,0.056571527526736616,0.0719965582821796,0.08098879454868893,0.0710721027875777,0.05200218534452615,0.045059631737043866,0.9192289410949541,0.0,1.0,0.05200218534452615,0.05200218534452615,0.07156101430304665,7.135155953636767,6.261490125493891,7.135260238212789,1.461538507919385e-05,4.440892098500626e-16,0.6612844303522057,0.658589526058721,0.7556435248411469,0.41932913707418407,"[0.04803503819683584, 0.045504317072051235, 0.04234259266914258, 0.03856609264223282]","[0.04173557050617226, 0.03965065496911616, 0.03717514955337455, 0.03428407537246647]",0.04803518320666654,0.0,0.0,False,0.0,0.0,0,1.1395300177166634,0.4397149326273482,1.5792449503440116,5% down payment for dependent-child households,1.0,True,0.01,0.1146678318110514,0.1974933578229857,0.17331123774935953,0.0,False
dependent-child-ltv95,dependent-child-ltv95,7,2035,12,-0.039235116812901205,0.6757890618552171,1.1076420751283018,1.1199711887581432,1.119971188758128,0.9917852542663351,0.052002185344526164,0.06613949212530987,0.07314641614969287,0.06531098021441048,0.04803503819683584,0.04173557050617226,0.9237119147703682,0.0,1.0,0.04803503819683584,0.04803503819683584,0.07749801848550868,7.02999941484313,6.276946662028154,7.029667061647843,4.7278653792838997e-05,-4.440892098500626e-16,0.6692074052525748,0.6682170839522901,0.7689955679429917,0.4277000041656974,"[0.045504317072051235, 0.04234259266914258, 0.03856609264223282, 0.034831626737948984]","[0.03965065496911616, 0.03717514955337455, 0.03428407537246647, 0.03149499625014755]",0.04383967376239577,0.0,0.0,False,0.0,0.0,0,1.1199711887581432,0.4023857744040056,1.5223569631621487,5% down payment for dependent-child households,1.0,True,0.01,0.11198599841676819,0.19003186837598257,0.1696756758419239,0.0,False
dependent-child-ltv95,dependent-child-ltv95,8,2039,16,-0.039235116812901205,0.6548496232331144,1.0733215976945065,1.0905082084694697,1.0905082084694548,0.9656944497078295,0.04803503819683586,0.06120194104068172,0.06642810001219286,0.06091480971557731,0.045504317072051235,0.03965065496911616,0.9473151012305986,0.0,1.0,0.045504317072051235,0.045504317072051235,0.08162579930943108,6.891472559544366,6.319505443445089,6.891645403099641,2.508015795440242e-05,2.220446049250313e-16,0.6774845775283143,0.6764856081572348,0.7802174222651591,0.4416451514953343,"[0.04234259266914258, 0.03856609264223282, 0.034831626737948984, 0.031632428577234695]","[0.03717514955337455, 0.03428407537246647, 0.03149499625014755, 0.029143781447943672]",0.03999818258520719,0.0,0.0,False,3.834776841397502e-21,0.0,0,1.0905082084694697,0.36807965702473827,1.458587865494208,5% down payment for dependent-child households,1.0,True,0.01,0.10851609327514694,0.18051512836555897,0.16553303034642602,0.0,False
dependent-child-ltv95,dependent-child-ltv95,9,2043,20,-0.039235116812901205,0.631437361809261,1.0349480765904921,1.05438672623209,1.0543867262320759,0.9337072398537973,0.045504317072051256,0.058870745490926385,0.06313127414678259,0.059874875675252216,0.04234259266914258,0.03717514955337455,0.9305181440718598,0.0,1.0,0.04234259266914258,0.04234259266914258,0.08556713191852866,6.735364157044955,6.387944754496441,6.73537530583925,1.655259549561107e-06,4.440892098500626e-16,0.6852122260458229,0.6833209674630681,0.7894336005322414,0.4584285014881028,"[0.03856609264223282, 0.034831626737948984, 0.031632428577234695, 0.030062511498467896]","[0.03428407537246647, 0.03149499625014755, 0.029143781447943672, 0.02803368832901256]",0.03673253042582035,0.0,0.0,False,5.9600155402741396e-15,0.0,0,1.05438672623209,0.33885802320718383,1.393244749439274,5% down payment for dependent-child households,1.0,True,0.01,0.10463641303358318,0.17011842296596494,0.16134347932654775,0.0,False
dependent-child-ltv95,dependent-child-ltv95,10,2047,24,-0.039235116812901205,0.6052877279499064,0.992087905648533,1.0111621869827043,1.0111621869826906,0.8954299510446699,0.04234259266914258,0.05977016474156926,0.0643772662108501,0.06366660763190828,0.03856609264223282,0.03428407537246647,0.9108108457973121,0.0,1.0,0.03856609264223282,0.03856609264223282,0.0836957722125105,6.558168902568755,6.485773486188453,6.558276219811211,1.63636356352266e-05,1.1102230246251565e-16,0.6930226744586696,0.6901516940407191,0.7969514881330411,0.47844867609171765,"[0.034831626737948984, 0.031632428577234695, 0.030062511498467896, 0.03065584105278576]","[0.03149499625014755, 0.029143781447943672, 0.02803368832901256, 0.028461983210271075]",0.03432056749537888,0.0,0.0,False,1.3011804769029406e-19,0.0,0,1.0111621869827043,0.3168978779216189,1.3280600649043233,5% down payment for dependent-child households,1.0,True,0.01,0.10030311878354965,0.1587831661819029,0.15703036389815553,0.0,False
dependent-child-ltv95,dependent-child-ltv95,11,2051,28,-0.039235116812901205,0.5801308575036302,0.9508549089078769,0.9660325074124269,0.9660325074124138,0.855465574124228,0.03856609264223283,0.06311062950921795,0.06912643263446781,0.07155704606631397,0.034831626737948984,0.03149499625014755,0.9031671178377474,0.0,1.0,0.034831626737948984,0.034831626737948984,0.07899439375243135,6.385247748994749,6.609764888862797,6.385208538924125,6.140765862887215e-06,-5.551115123125783e-16,0.702439310190919,0.6971509128750637,0.8033174302818233,0.5028222034250599,"[0.031632428577234695, 0.030062511498467896, 0.03065584105278576, 0.0329173488735561]","[0.029143781447943672, 0.02803368832901256, 0.028461983210271075, 0.03005268071867521]",0.032873272945312004,0.0,0.0,False,9.435123938847181e-16,0.0,0,0.9660325074124269,0.3033546019753392,1.269387109387766,5% down payment for dependent-child households,1.0,True,0.01,0.09613433681742323,0.14817117007989794,0.15338114291498012,0.0,False
dependent-child-ltv95,dependent-child-ltv95,12,2055,32,-0.039235116812901205,0.5567109164043957,0.9124688005454182,0.921869740397944,0.9218697403979316,0.816357442100644,0.03483162673794899,0.058135965893819,0.06363863317477558,0.06903213153227555,0.031632428577234695,0.029143781447943672,0.9081524907009647,0.0,1.0,0.031632428577234695,0.031632428577234695,0.08024809606981143,6.221440180499546,6.7487193774403895,6.22157672745652,2.194732347682983e-05,1.1102230246251565e-16,0.7125573747721844,0.7061375892745609,0.8096855653381048,0.5278403277154695,"[0.030062511498467896, 0.03065584105278576, 0.0329173488735561, 0.030304111035607418]","[0.02803368832901256, 0.028461983210271075, 0.03005268071867521, 0.02768379328277095]",0.031211335101339232,0.0,0.0,False,2.718016732534089e-31,0.0,0,0.921869740397944,0.28824887703445234,1.2101186174323963,5% down payment for dependent-child households,1.0,True,0.01,0.09225338396556784,0.1385417465696413,0.15028342996688487,0.0,False
dependent-child-ltv95,dependent-child-ltv95,13,2059,36,-0.039235116812901205,0.530753311605813,0.8699233719977415,0.8732540729053674,0.8732540729053555,0.7733060648603809,0.03163242857723471,0.05384365145976705,0.05897522551350287,0.06753501339797803,0.030062511498467896,0.02803368832901256,0.9503700111126892,0.0,1.0,0.030062511498467896,0.030062511498467896,0.07739275692906075,6.03732592354212,6.9135960665555025,6.037207957710452,1.9539799273881608e-05,1.1102230246251565e-16,0.7259829964126568,0.7212770239595844,0.8191154684362774,0.5560322570628954,"[0.03065584105278576, 0.0329173488735561, 0.030304111035607418, 0.02808344072071565]","[0.028461983210271075, 0.03005268071867521, 0.02768379328277095, 0.025639834028460498]",0.02950026962420416,0.0,0.0,False,4.4913171518497013e-17,0.0,0,0.8732540729053674,0.2723229972606799,1.1455770701660473,5% down payment for dependent-child households,1.0,True,0.01,0.08795191113335446,0.12817322908654413,0.14677656029722017,0.0,False
