policy_case,policy_label,calendar_year,asset_price,baseline_asset_price,difference_asset_price,percent_difference_asset_price,housing_user_cost,baseline_housing_user_cost,difference_housing_user_cost,percent_difference_housing_user_cost,owner_rate,baseline_owner_rate,difference_owner_rate,percent_difference_owner_rate,dependent_child_owner_rate,baseline_dependent_child_owner_rate,difference_dependent_child_owner_rate,percent_difference_dependent_child_owner_rate,topcode_adjusted_births_per_adult,baseline_topcode_adjusted_births_per_adult,difference_topcode_adjusted_births_per_adult,percent_difference_topcode_adjusted_births_per_adult,population_index_2023,baseline_population_index_2023,difference_population_index_2023,percent_difference_population_index_2023,housing_demand_per_adult,baseline_housing_demand_per_adult,difference_housing_demand_per_adult,percent_difference_housing_demand_per_adult
baseline,No policy,2023,0.6937334343958133,0.6937334343958133,0.0,0.0,0.11495958675719566,0.11495958675719566,0.0,0.0,0.637167316564105,0.637167316564105,0.0,0.0,0.6015952547308694,0.6015952547308694,0.0,0.0,0.08460666172062539,0.08460666172062539,0.0,0.0,1.0,1.0,0.0,0.0,6.328594153552578,6.328594153552578,0.0,0.0
baseline,No policy,2027,0.6976356849642897,0.6976356849642897,0.0,0.0,0.11560623443270489,0.11560623443270489,0.0,0.0,0.6415316840646684,0.6415316840646684,0.0,0.0,0.614406647063449,0.614406647063449,0.0,0.0,0.07776470142113401,0.07776470142113401,0.0,0.0,1.012364514941212,1.012364514941212,0.0,0.0,6.273673177927423,6.273673177927423,0.0,0.0
baseline,No policy,2031,0.6912443093083752,0.6912443093083752,0.0,0.0,0.11454711018153796,0.11454711018153796,0.0,0.0,0.649272475632069,0.649272475632069,0.0,0.0,0.6241091788976564,0.6241091788976564,0.0,0.0,0.07105466018308709,0.07105466018308709,0.0,0.0,1.0091054838816058,1.0091054838816058,0.0,0.0,6.257457105599722,6.257457105599722,0.0,0.0
baseline,No policy,2035,0.6752835404477227,0.6752835404477227,0.0,0.0,0.11190222772153985,0.11190222772153985,0.0,0.0,0.6564764757766887,0.6564764757766887,0.0,0.0,0.6303452949961523,0.6303452949961523,0.0,0.0,0.0652910327446983,0.0652910327446983,0.0,0.0,0.991785254266334,0.991785254266334,0.0,0.0,6.273460245725553,6.273460245725553,0.0,0.0
baseline,No policy,2039,0.6543597654921126,0.6543597654921126,0.0,0.0,0.10843491822910865,0.10843491822910865,0.0,0.0,0.6639137237616692,0.6639137237616692,0.0,0.0,0.6342371207317846,0.6342371207317846,0.0,0.0,0.060891900948124224,0.060891900948124224,0.0,0.0,0.9656944497078297,0.9656944497078297,0.0,0.0,6.316560162810545,6.316560162810545,0.0,0.0
baseline,No policy,2043,0.6310624956368833,0.6310624956368833,0.0,0.0,0.10457429340934547,0.10457429340934547,0.0,0.0,0.6706200824312116,0.6706200824312116,0.0,0.0,0.6358939593936536,0.6358939593936536,0.0,0.0,0.05984845824686517,0.05984845824686517,0.0,0.0,0.9336999909774077,0.9336999909774077,0.0,0.0,6.385486081267915,6.385486081267915,0.0,0.0
baseline,No policy,2047,0.6050223936502779,0.6050223936502779,0.0,0.0,0.10025914984688687,0.10025914984688687,0.0,0.0,0.6776452288690477,0.6776452288690477,0.0,0.0,0.6385939438313742,0.6385939438313742,0.0,0.0,0.06363698724821173,0.06363698724821173,0.0,0.0,0.8954150952398292,0.8954150952398292,0.0,0.0,6.484517823978431,6.484517823978431,0.0,0.0
baseline,No policy,2051,0.5799216152193254,0.5799216152193254,0.0,0.0,0.09609966297103904,0.09609966297103904,0.0,0.0,0.6867002325577267,0.6867002325577267,0.0,0.0,0.644734869011818,0.644734869011818,0.0,0.0,0.07152291834320615,0.07152291834320615,0.0,0.0,0.8554423366870801,0.8554423366870801,0.0,0.0,6.6083337525469,6.6083337525469,0.0,0.0
baseline,No policy,2055,0.5564237319755339,0.5564237319755339,0.0,0.0,0.09220579421188412,0.09220579421188412,0.0,0.0,0.6967544227279723,0.6967544227279723,0.0,0.0,0.6531384966233991,0.6531384966233991,0.0,0.0,0.06899449926777576,0.06899449926777576,0.0,0.0,0.8163247838985818,0.8163247838985818,0.0,0.0,6.747212095354332,6.747212095354332,0.0,0.0
baseline,No policy,2059,0.5305624065089805,0.5305624065089805,0.0,0.0,0.08792027596925023,0.08792027596925023,0.0,0.0,0.7098535516393886,0.7098535516393886,0.0,0.0,0.6667443593879374,0.6667443593879374,0.0,0.0,0.0674928440056834,0.0674928440056834,0.0,0.0,0.7732628719585192,0.7732628719585192,0.0,0.0,6.912563598757215,6.912563598757215,0.0,0.0
