moment,parameter,minus_derivative,plus_derivative,central_derivative,units
tfr,beta_annual,-2.3343436862507727,-2.061088248879306,-2.1977159675650393,weighted residual per transformed unit coordinate
childless_rate,beta_annual,-1.0730355205810227,-1.335926292810019,-1.2044809066955209,weighted residual per transformed unit coordinate
mean_age_first_birth,beta_annual,-2.7092478725970537,-2.745957631418694,-2.727602752007874,weighted residual per transformed unit coordinate
share_first_births_age30plus,beta_annual,-2.8747612591873306,-2.89721500610014,-2.8859881326437353,weighted residual per transformed unit coordinate
housing_increment_0to1,beta_annual,3.5739302466764045,3.104705593138668,3.3393179199075362,weighted residual per transformed unit coordinate
prime30_55_parent_3plus_minus_1to2_mean_rooms,beta_annual,0.36256785132029457,3.888651964284362,2.1256099078023283,weighted residual per transformed unit coordinate
own_family_gap,beta_annual,7.282830855076283,20.24149129873416,13.762161076905223,weighted residual per transformed unit coordinate
own_rate,beta_annual,5.093761799857344,3.4840372966241873,4.2888995482407655,weighted residual per transformed unit coordinate
aggregate_mean_occupied_rooms_18_85,beta_annual,0.5378690011788478,0.32293966855920786,0.43040433486902785,weighted residual per transformed unit coordinate
aggregate_wealth_to_annual_gross_labor_earnings,beta_annual,10.365677303316279,9.759878656509601,10.06277797991294,weighted residual per transformed unit coordinate
annual_bequest_flow_to_aggregate_wealth,beta_annual,-1.6402010843632464,-1.5970500212916683,-1.6186255528274573,weighted residual per transformed unit coordinate
old_total_wealth_to_annual_income_p90_p50_7684,beta_annual,108.82104273082777,-0.18793045473648462,54.31655613804564,weighted residual per transformed unit coordinate
tfr,kappa_fert,12.000473303266002,12.379747735943146,12.190110519604573,weighted residual per transformed unit coordinate
childless_rate,kappa_fert,-48.126099297818676,-47.374428015070414,-47.750263656444545,weighted residual per transformed unit coordinate
mean_age_first_birth,kappa_fert,154.87205848259578,153.08103384064484,153.97654616162032,weighted residual per transformed unit coordinate
share_first_births_age30plus,kappa_fert,144.1333293547398,142.63801738451764,143.3856733696287,weighted residual per transformed unit coordinate
housing_increment_0to1,kappa_fert,2.9410578327722092,2.8599321282145596,2.9004949804933844,weighted residual per transformed unit coordinate
prime30_55_parent_3plus_minus_1to2_mean_rooms,kappa_fert,32.03958733036991,29.846340203255473,30.942963766812692,weighted residual per transformed unit coordinate
own_family_gap,kappa_fert,-111.2386205802688,-107.98613488633512,-109.61237773330197,weighted residual per transformed unit coordinate
own_rate,kappa_fert,0.47150704107830066,0.47214525308634236,0.4718261470823215,weighted residual per transformed unit coordinate
aggregate_mean_occupied_rooms_18_85,kappa_fert,0.6108024860080441,0.7541194988086808,0.6824609924083624,weighted residual per transformed unit coordinate
aggregate_wealth_to_annual_gross_labor_earnings,kappa_fert,1.7501538078108725,1.3095569533726925,1.5298553805917825,weighted residual per transformed unit coordinate
annual_bequest_flow_to_aggregate_wealth,kappa_fert,-1.0725759549368608,-1.0874459593675834,-1.080010957152222,weighted residual per transformed unit coordinate
old_total_wealth_to_annual_income_p90_p50_7684,kappa_fert,-0.5539982547141165,-0.06547587264522647,-0.30973706367967146,weighted residual per transformed unit coordinate
tfr,kappa_fert_continuation,33.78685211969395,33.8928181016246,33.83983511065927,weighted residual per transformed unit coordinate
childless_rate,kappa_fert_continuation,-91.85076492926328,-91.99938771243431,-91.9250763208488,weighted residual per transformed unit coordinate
mean_age_first_birth,kappa_fert_continuation,-101.9425363949816,-102.73749652705533,-102.34001646101846,weighted residual per transformed unit coordinate
share_first_births_age30plus,kappa_fert_continuation,-85.6536438450938,-86.33568099228323,-85.9946624186885,weighted residual per transformed unit coordinate
housing_increment_0to1,kappa_fert_continuation,0.7838735350921056,0.7594771057233274,0.7716753204077165,weighted residual per transformed unit coordinate
prime30_55_parent_3plus_minus_1to2_mean_rooms,kappa_fert_continuation,-44.393057837740415,-44.482203782591775,-44.4376308101661,weighted residual per transformed unit coordinate
own_family_gap,kappa_fert_continuation,-8.759161305850437,-8.32174591714473,-8.540453611497583,weighted residual per transformed unit coordinate
own_rate,kappa_fert_continuation,-1.0781446721995103,-0.9362634133379899,-1.00720404276875,weighted residual per transformed unit coordinate
aggregate_mean_occupied_rooms_18_85,kappa_fert_continuation,0.029308360695434743,0.11500168918070486,0.0721550249380698,weighted residual per transformed unit coordinate
aggregate_wealth_to_annual_gross_labor_earnings,kappa_fert_continuation,-0.6764577325973686,-1.0661768367187463,-0.8713172846580575,weighted residual per transformed unit coordinate
annual_bequest_flow_to_aggregate_wealth,kappa_fert_continuation,1.0246512557608334,1.0137553697271429,1.0192033127439881,weighted residual per transformed unit coordinate
old_total_wealth_to_annual_income_p90_p50_7684,kappa_fert_continuation,-0.45895743452044613,-0.022747636026387852,-0.240852535273417,weighted residual per transformed unit coordinate
tfr,chi,0.23165655644528105,0.422804214352579,0.32723038539893,weighted residual per transformed unit coordinate
childless_rate,chi,0.24264691537616567,0.08587887292272889,0.16426289414944728,weighted residual per transformed unit coordinate
mean_age_first_birth,chi,0.5060928010986565,0.6545666786242244,0.5803297398614404,weighted residual per transformed unit coordinate
