case_id,label,parameter,value,lower_bound,upper_bound,transform,is_free_parameter,status,near_bound
1,exact_empirical_gap_repeat_1,beta_annual,0.9957387588331625,0.94,0.9995,discount,True,estimated_free_transition_parameter,False
1,exact_empirical_gap_repeat_1,kappa_fert,2.23273003596061,0.02,50.0,log,True,estimated_free_transition_parameter,False
1,exact_empirical_gap_repeat_1,kappa_fert_continuation,1.7364706586958831,0.02,50.0,log,True,estimated_free_transition_parameter,False
1,exact_empirical_gap_repeat_1,chi,1.0434717373613915,0.1,5.0,log,True,estimated_free_transition_parameter,False
1,exact_empirical_gap_repeat_1,H0,14.562959141565095,0.2,80.0,log,True,estimated_free_transition_parameter,False
1,exact_empirical_gap_repeat_1,theta0,0.5544418580619153,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
1,exact_empirical_gap_repeat_1,theta1,0.10635689183849888,0.02,16.0,log,True,estimated_free_transition_parameter,True
1,exact_empirical_gap_repeat_1,hbar_child_rooms,0.23268814270366286,0.1,1.8,log,True,estimated_free_transition_parameter,False
1,exact_empirical_gap_repeat_1,first_birth_fixed_cost,4.544052672413152,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
1,exact_empirical_gap_repeat_1,psi_child_change_2023,-0.32688089718542696,-1.5,0.2,asinh,True,estimated_free_transition_parameter,False
1,exact_empirical_gap_repeat_1,psi_child_2007,0.2997752448535117,nan,nan,derived,False,externally_normalized_to_old_completed_fertility,False
1,exact_empirical_gap_repeat_1,psi_child_2023,-0.027105652331915253,nan,nan,derived,False,derived_from_old_intercept_and_transition_coordinate,False
1,exact_empirical_gap_repeat_1,tenure_choice_kappa,0.005,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
1,exact_empirical_gap_repeat_1,housing_supply_elasticity,0.63,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
2,exact_empirical_gap_repeat_2,beta_annual,0.9957387588331625,0.94,0.9995,discount,True,estimated_free_transition_parameter,False
2,exact_empirical_gap_repeat_2,kappa_fert,2.23273003596061,0.02,50.0,log,True,estimated_free_transition_parameter,False
2,exact_empirical_gap_repeat_2,kappa_fert_continuation,1.7364706586958831,0.02,50.0,log,True,estimated_free_transition_parameter,False
2,exact_empirical_gap_repeat_2,chi,1.0434717373613915,0.1,5.0,log,True,estimated_free_transition_parameter,False
2,exact_empirical_gap_repeat_2,H0,14.562959141565095,0.2,80.0,log,True,estimated_free_transition_parameter,False
2,exact_empirical_gap_repeat_2,theta0,0.5544418580619153,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
2,exact_empirical_gap_repeat_2,theta1,0.10635689183849888,0.02,16.0,log,True,estimated_free_transition_parameter,True
2,exact_empirical_gap_repeat_2,hbar_child_rooms,0.23268814270366286,0.1,1.8,log,True,estimated_free_transition_parameter,False
2,exact_empirical_gap_repeat_2,first_birth_fixed_cost,4.544052672413152,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
2,exact_empirical_gap_repeat_2,psi_child_change_2023,-0.32688089718542696,-1.5,0.2,asinh,True,estimated_free_transition_parameter,False
2,exact_empirical_gap_repeat_2,psi_child_2007,0.2997752448535117,nan,nan,derived,False,externally_normalized_to_old_completed_fertility,False
2,exact_empirical_gap_repeat_2,psi_child_2023,-0.027105652331915253,nan,nan,derived,False,derived_from_old_intercept_and_transition_coordinate,False
2,exact_empirical_gap_repeat_2,tenure_choice_kappa,0.005,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
2,exact_empirical_gap_repeat_2,housing_supply_elasticity,0.63,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
