cohort,event,coefficient,variance,explicit_reference
1982,L0event,.6357955518295416,.0014113856,0
1986,L0event,.5762609362518392,.00099736243,0
1990,L0event,.6778586120332555,.0018074821,0
1982,L1event,.6278829608979322,.0017526138,0
1986,L1event,.6352917099544495,.000801516,0
1990,L1event,.6293655929730461,.0019444325,0
1982,L2event,.614342494130695,.0018026212,0
1986,L2event,.6269032160784725,.00094848342,0
1990,L2event,.681417613986591,.0012611708,0
1982,L3event,.5890426600830093,.0019958506,0
1986,L3event,.5937726000968656,.0011935151,0
1990,L3event,.6022384914218084,.0014089848,0
1982,L4event,.5660812632609192,.001264734,0
1986,L4event,.632875133085454,.0011796835,0
1990,L4event,.6352087013305544,.0015212066,0
1982,L5event,.594864290962772,.0012076752,0
1986,L5event,.6083129384931043,.0013970172,0
1990,L5event,.6262164879419178,.0013567639,0
1982,L6event,.6319715029454278,.0014224215,0
1986,L6event,.6199096516952507,.00092874363,0
1990,L6event,.6642541887447283,.0011773377,0
1982,L7event,.6407610217728563,.0019214512,0
1986,L7event,.578217991440283,.00089872,0
1990,L7event,.623105746839439,.0011062635,0
1982,L8event,.6305861585872631,.0017441871,0
1986,L8event,.5829826867540604,.00076260988,0
1990,L8event,.6301057905681033,.0012843856,0
1982,L9event,.6219113378909376,.0010383545,0
1986,L9event,.5871651905241536,.00096988579,0
1990,L9event,0,0,0
1982,L10event,.6368247522089284,.0010121883,0
1986,L10event,.6163714166169685,.0006495667,0
1990,L10event,0,0,0
1982,L11event,.6207983417674193,.00072337629,0
1986,L11event,.6361812442279925,.00042951253,0
1990,L11event,0,0,0
1982,F1event,.025448344414361,.0013897467,0
1986,F1event,-.0274802541534819,.0014570804,0
1990,F1event,.0231805251016374,.0017351146,0
1982,F3event,.0182152201540655,.0010825812,0
1986,F3event,.0185200385417192,.00069722719,0
1990,F3event,.0439576967405456,.0014855289,0
1982,F4event,.0379144720394399,.00088628358,0
1986,F4event,-.0240166870626847,.00076986983,0
1990,F4event,.0341232554994951,.0016902752,0
1982,F5event,0,0,0
1986,F5event,.0378997642134179,.00089264527,0
1990,F5event,.0382366818267311,.0018726178,0
1982,F6event,0,0,0
1986,F6event,-.0109808092022001,.00070287689,0
1990,F6event,.0739120722746913,.0016735124,0
1982,F7event,0,0,0
1986,F7event,0,0,0
1990,F7event,.044839779786433,.00082709821,0
