cohort,event,coefficient,variance,explicit_reference
1982,L0event,.6357955518295408,.0014113856,0
1986,L0event,.6037411904053206,.0021745595,0
1990,L0event,.6778586120332555,.0018074821,0
1982,L1event,.6278829608979313,.0017526138,0
1986,L1event,.662771964107931,.0021697106,0
1990,L1event,.6293655929730461,.0019444325,0
1982,L2event,.6143424941306941,.0018026212,0
1986,L2event,.6543834702319542,.0023342285,0
1990,L2event,.6814176139865908,.0012611708,0
1982,L3event,.5890426600830087,.0019958506,0
1986,L3event,.6212528542503472,.0018430575,0
1990,L3event,.6022384914218083,.0014089848,0
1982,L4event,.5660812632609183,.001264734,0
1986,L4event,.6603553872389355,.0025401276,0
1990,L4event,.6352087013305544,.0015212066,0
1982,L5event,.5948642909627714,.0012076752,0
1986,L5event,.6357931926465856,.0019916201,0
1990,L5event,.6262164879419175,.0013567639,0
1982,L6event,.6319715029454273,.0014224215,0
1986,L6event,.6473899058487322,.001937884,0
1990,L6event,.6642541887447283,.0011773377,0
1982,L7event,.6407610217728557,.0019214512,0
1986,L7event,.6056982455937646,.0017878588,0
1990,L7event,.6231057468394389,.0011062635,0
1982,L8event,.6305861585872623,.0017441871,0
1986,L8event,.6104629409075419,.0021190967,0
1990,L8event,.6301057905681032,.0012843856,0
1982,L9event,.6219113378909368,.0010383545,0
1986,L9event,.614645444677635,.0024072428,0
1990,L9event,0,0,0
1982,L10event,.6368247522089275,.0010121883,0
1986,L10event,.6438516707704499,.0019795396,0
1990,L10event,0,0,0
1982,L11event,.6207983417674183,.00072337629,0
1986,L11event,.6636614983814739,.0015526136,0
1990,L11event,0,0,0
1982,F1event,.0254483444143602,.0013897467,0
1986,F1event,0,0,1
1990,F1event,.0231805251016374,.0017351146,0
1982,F3event,.0182152201540647,.0010825812,0
1986,F3event,.0460002926952007,.0016305246,0
1990,F3event,.0439576967405456,.0014855289,0
1982,F4event,.037914472039439,.00088628358,0
1986,F4event,.0034635670907968,.0019866698,0
1990,F4event,.0341232554994951,.0016902752,0
1982,F5event,0,0,0
1986,F5event,.0653800183668996,.0020526252,0
1990,F5event,.0382366818267312,.0018726178,0
1982,F6event,0,0,0
1986,F6event,.0164994449512817,.0020026336,0
1990,F6event,.0739120722746913,.0016735124,0
1982,F7event,0,0,0
1986,F7event,.0274802541534814,.0014570804,0
1990,F7event,.044839779786433,.00082709821,0
