age,tenure,mass,budget_excess_mass,budget_excess_share,consumption_floor_mass,weighted_positive_budget_gap,maximum_occupied_excess
18.0,0,0.013585941530070108,0.0,0.0,0.0,1.727127559793621e-19,3.552713678800501e-15
18.0,1,1.0614871748459271e-07,0.0,0.0,0.0,8.882920722140755e-25,8.881784197001252e-16
18.0,2,3.046671524317987e-05,0.0,0.0,0.0,9.32692056992451e-22,1.7763568394002505e-15
18.0,3,0.0002616354137174774,0.0,0.0,0.0,4.0842408100291515e-20,1.7763568394002505e-15
18.0,4,7.720163450848195e-05,0.0,0.0,0.0,3.820838147249485e-22,8.881784197001252e-16
18.0,5,0.00038177060688199726,0.0,0.0,0.0,6.278951858019094e-20,8.881784197001252e-16
22.0,0,0.03772172362843257,0.0,0.0,0.0,4.2332851973921475e-19,3.552713678800501e-15
22.0,1,5.701214482062863e-07,0.0,0.0,0.0,7.537957011433147e-25,8.881784197001252e-16
22.0,2,0.00016505087736331395,0.0,0.0,0.0,2.30983943099455e-21,1.7763568394002505e-15
22.0,3,0.002311939897387859,0.0,0.0,0.0,4.622997488858907e-20,1.7763568394002505e-15
22.0,4,0.000635480429407101,0.0,0.0,0.0,4.0068692999574797e-20,3.552713678800501e-15
22.0,5,0.003906463173815018,0.0,0.0,0.0,5.594583102203597e-19,8.881784197001252e-16
26.0,0,0.05013310464098982,0.0,0.0,0.0,1.2526512714363581e-18,3.552713678800501e-15
26.0,1,1.1057265249228205e-06,0.0,0.0,0.0,1.4838456386972528e-24,8.881784197001252e-16
26.0,2,0.0002857703256322829,0.0,0.0,0.0,4.1968109485463e-21,1.7763568394002505e-15
26.0,3,0.0061001853493456186,0.0,0.0,0.0,3.618173362210709e-19,1.7763568394002505e-15
26.0,4,0.0016291952946710646,0.0,0.0,0.0,7.017247492133436e-20,3.552713678800501e-15
26.0,5,0.006953354058094698,0.0,0.0,0.0,9.08709929685344e-19,1.7763568394002505e-15
30.0,0,0.05212165185275478,0.0,0.0,0.0,1.3929298036649502e-18,3.552713678800501e-15
30.0,1,1.5172026871047644e-06,0.0,0.0,0.0,4.356448735485403e-24,1.7763568394002505e-15
30.0,2,0.0005109839733613655,0.0,0.0,0.0,3.3819045742439933e-21,1.7763568394002505e-15
30.0,3,0.010984411952987088,0.0,0.0,0.0,4.965667010886797e-19,1.7763568394002505e-15
30.0,4,0.004164533373242771,0.0,0.0,0.0,1.097940763494686e-19,3.552713678800501e-15
30.0,5,0.010028581835473725,0.0,0.0,0.0,1.4385282398800586e-18,7.105427357601002e-15
34.0,0,0.04693277018136514,0.0,0.0,0.0,2.185659107565221e-18,3.552713678800501e-15
34.0,1,1.586078945001123e-06,0.0,0.0,0.0,2.783793713064049e-23,7.105427357601002e-15
34.0,2,0.0007952325560317879,0.0,0.0,0.0,4.032366778198232e-21,1.7763568394002505e-15
34.0,3,0.014683095830448046,0.0,0.0,0.0,5.51361003821429e-19,1.7763568394002505e-15
34.0,4,0.006942311012292248,0.0,0.0,0.0,1.346366425066663e-19,3.552713678800501e-15
34.0,5,0.01220935619117447,0.0,0.0,0.0,1.4790334517653024e-18,7.105427357601002e-15
38.0,0,0.039683808543110266,0.0,0.0,0.0,1.5751833046109713e-18,3.552713678800501e-15
38.0,1,1.56116298867344e-06,0.0,0.0,0.0,4.0973474619234854e-23,7.105427357601002e-15
38.0,2,0.0013325776819500038,0.0,0.0,0.0,4.770948850902107e-21,1.7763568394002505e-15
38.0,3,0.017394792837181167,0.0,0.0,0.0,7.596868171886125e-19,1.7763568394002505e-15
38.0,4,0.010518993149731707,0.0,0.0,0.0,1.9465263694422848e-19,3.552713678800501e-15
38.0,5,0.013880141205595694,0.0,0.0,0.0,2.3931029781393937e-18,7.105427357601002e-15
42.0,0,0.03254322259188693,0.0,0.0,0.0,1.1592679834031682e-18,3.552713678800501e-15
42.0,1,1.6431038676409906e-06,0.0,0.0,0.0,5.167836409070618e-23,7.105427357601002e-15
42.0,2,0.0020487856145569978,0.0,0.0,0.0,7.211091043371716e-21,1.7763568394002505e-15
42.0,3,0.018494684754435758,0.0,0.0,0.0,7.400619936962709e-19,1.7763568394002505e-15
42.0,4,0.013211624691202236,0.0,0.0,0.0,2.00371353074698e-19,3.552713678800501e-15
42.0,5,0.015179869317827513,0.0,0.0,0.0,3.396627728826157e-18,7.105427357601002e-15
46.0,0,0.025475535758373687,1.250854725317831e-09,4.910023236338341e-08,1.250854725317831e-09,1.113643658238139e-11,0.008894078922268567
46.0,1,1.229825248533185e-06,0.0,0.0,0.0,1.0265637609813708e-23,8.881784197001252e-16
46.0,2,0.0026169806118301105,0.0,0.0,0.0,1.24238778124776e-20,1.7763568394002505e-15
46.0,3,0.01771393457942024,0.0,0.0,0.0,1.0119264791661534e-18,1.7763568394002505e-15
46.0,4,0.014117525423432892,0.0,0.0,0.0,1.4317028334012874e-19,3.552713678800501e-15
46.0,5,0.015237778221751605,0.0,0.0,0.0,4.819608997322014e-18,7.105427357601002e-15
50.0,0,0.023234502052143627,5.619365755878737e-10,2.418543656871825e-08,5.619365755878737e-10,9.839232788565241e-12,0.017509505906454476
50.0,1,9.19318395432317e-07,0.0,0.0,0.0,1.402831721211465e-23,8.881784197001252e-16
50.0,2,0.0037123109744375393,0.0,0.0,0.0,4.0036779543268946e-21,1.7763568394002505e-15
50.0,3,0.01939200023578723,0.0,0.0,0.0,1.0203358272539244e-18,1.7763568394002505e-15
50.0,4,0.016586816140712606,0.0,0.0,0.0,5.4106732001159436e-20,3.552713678800501e-15
50.0,5,0.017733648462371302,0.0,0.0,0.0,7.371996860478201e-18,7.105427357601002e-15
54.0,0,0.018883539477526218,0.0,0.0,0.0,6.436635146882587e-19,3.552713678800501e-15
54.0,1,5.240507842848524e-07,0.0,0.0,0.0,5.488116637054507e-24,8.881784197001252e-16
54.0,2,0.004729575779537809,0.0,0.0,0.0,1.392082137905145e-20,1.7763568394002505e-15
54.0,3,0.019120083398692977,0.0,0.0,0.0,8.970181967907862e-19,1.7763568394002505e-15
54.0,4,0.017161235875337588,0.0,0.0,0.0,1.0265129647526968e-19,3.552713678800501e-15
54.0,5,0.018691444315032082,1.0396051185608164e-38,5.561930373271061e-37,1.0396051185608164e-38,9.711582168582256e-18,7.105427357601002e-15
58.0,0,0.016811609542694925,0.0,0.0,0.0,3.118413062078546e-19,3.552713678800501e-15
58.0,1,3.453613288617648e-07,0.0,0.0,0.0,4.4757649570529726e-23,7.105427357601002e-15
