scenario,period,years_from_start,parity_state,child_state,child_state_label,household_mass,household_share,child_units
task_001,0,0.0,0,0,no_children_at_home,0.21271018701328573,0.2127101870132819,0.0
task_001,0,0.0,0,1,no_children_at_home,0.0,0.0,0.0
task_001,0,0.0,0,2,no_children_at_home,0.0,0.0,0.0
task_001,0,0.0,0,3,no_children_at_home,0.0,0.0,0.0
task_001,0,0.0,1,0,no_children_at_home,0.10313986187692005,0.10313986187691819,0.0
task_001,0,0.0,1,1,active_child_stage_1,0.11060064827373942,0.11060064827373743,0.11060064827373942
task_001,0,0.0,1,2,no_children_at_home,0.0,0.0,0.0
task_001,0,0.0,1,3,no_children_at_home,0.0,0.0,0.0
task_001,0,0.0,2,0,no_children_at_home,0.13229550399049006,0.13229550399048767,0.0
task_001,0,0.0,2,1,active_child_stage_1,0.11075589772220386,0.11075589772220186,0.11075589772220386
task_001,0,0.0,2,2,active_child_stage_2,0.060093895369762444,0.06009389536976136,0.12018779073952489
task_001,0,0.0,2,3,no_children_at_home,0.0,0.0,0.0
task_001,0,0.0,3,0,no_children_at_home,0.11165202220808136,0.11165202220807935,0.0
task_001,0,0.0,3,1,active_child_stage_1,0.09145028249734355,0.0914502824973419,0.09145028249734355
task_001,0,0.0,3,2,active_child_stage_2,0.052195810571767566,0.05219581057176663,0.10439162114353513
task_001,0,0.0,3,3,active_child_stage_3,0.01510589047642301,0.015105890476422738,0.045317671429269034
task_001,1,4.0,0,0,no_children_at_home,0.21827975005781225,0.2120025304611588,0.0
task_001,1,4.0,0,1,no_children_at_home,0.0,0.0,0.0
task_001,1,4.0,0,2,no_children_at_home,0.0,0.0,0.0
task_001,1,4.0,0,3,no_children_at_home,0.0,0.0,0.0
task_001,1,4.0,1,0,no_children_at_home,0.10990449214149244,0.10674389372753924,0.0
task_001,1,4.0,1,1,active_child_stage_1,0.10551422144283326,0.10247987703667025,0.10551422144283326
task_001,1,4.0,1,2,no_children_at_home,0.0,0.0,0.0
task_001,1,4.0,1,3,no_children_at_home,0.0,0.0,0.0
task_001,1,4.0,2,0,no_children_at_home,0.14334300996130891,0.13922079729186018,0.0
task_001,1,4.0,2,1,active_child_stage_1,0.11194800030707025,0.1087286353355253,0.11194800030707025
task_001,1,4.0,2,2,active_child_stage_2,0.05739289584520105,0.05574240920861306,0.1147857916904021
task_001,1,4.0,2,3,no_children_at_home,0.0,0.0,0.0
task_001,1,4.0,3,0,no_children_at_home,0.1225164703112406,0.11899318064214927,0.0
task_001,1,4.0,3,1,active_child_stage_1,0.09558266138416592,0.09283392562199803,0.09558266138416592
task_001,1,4.0,3,2,active_child_stage_2,0.0509314940871881,0.04946682238637178,0.1018629881743762
task_001,1,4.0,3,3,active_child_stage_3,0.014196177441835081,0.013787928288114431,0.042588532325505246
task_001,2,8.0,0,0,no_children_at_home,0.23216916548648647,0.2174161913312114,0.0
task_001,2,8.0,0,1,no_children_at_home,0.0,0.0,0.0
task_001,2,8.0,0,2,no_children_at_home,0.0,0.0,0.0
task_001,2,8.0,0,3,no_children_at_home,0.0,0.0,0.0
task_001,2,8.0,1,0,no_children_at_home,0.11724579013427482,0.10979551521063756,0.0
task_001,2,8.0,1,1,active_child_stage_1,0.1029173473341428,0.09637756001066874,0.1029173473341428
task_001,2,8.0,1,2,no_children_at_home,0.0,0.0,0.0
task_001,2,8.0,1,3,no_children_at_home,0.0,0.0,0.0
task_001,2,8.0,2,0,no_children_at_home,0.15416456389840794,0.14436831975855102,0.0
task_001,2,8.0,2,1,active_child_stage_1,0.11313282337679584,0.1059439031087066,0.11313282337679584
task_001,2,8.0,2,2,active_child_stage_2,0.05478126773448601,0.05130024291628242,0.10956253546897202
task_001,2,8.0,2,3,no_children_at_home,0.0,0.0,0.0
task_001,2,8.0,3,0,no_children_at_home,0.13303871684050114,0.12458489504600832,0.0
task_001,2,8.0,3,1,active_child_stage_1,0.09790961208199593,0.09168803664766993,0.09790961208199593
task_001,2,8.0,3,2,active_child_stage_2,0.04919377787563823,0.04606780491502182,0.09838755575127646
task_001,2,8.0,3,3,active_child_stage_3,0.013302848198234907,0.012457531055241902,0.03990854459470472
task_001,3,12.0,0,0,no_children_at_home,0.2518765918905671,0.228691159890758,0.0
task_001,3,12.0,0,1,no_children_at_home,0.0,0.0,0.0
task_001,3,12.0,0,2,no_children_at_home,0.0,0.0,0.0
task_001,3,12.0,0,3,no_children_at_home,0.0,0.0,0.0
task_001,3,12.0,1,0,no_children_at_home,0.12375404113830586,0.11236238745593276,0.0
task_001,3,12.0,1,1,active_child_stage_1,0.10139128161028456,0.09205813696391703,0.10139128161028456
task_001,3,12.0,1,2,no_children_at_home,0.0,0.0,0.0
task_001,3,12.0,1,3,no_children_at_home,0.0,0.0,0.0
task_001,3,12.0,2,0,no_children_at_home,0.16329220005512915,0.14826102874992775,0.0
task_001,3,12.0,2,1,active_child_stage_1,0.1122032339285058,0.1018748408417107,0.1122032339285058
task_001,3,12.0,2,2,active_child_stage_2,0.05148825555354197,0.046748722439467996,0.10297651110708395
task_001,3,12.0,2,3,no_children_at_home,0.0,0.0,0.0
task_001,3,12.0,3,0,no_children_at_home,0.1420041710616034,0.12893257902867433,0.0
task_001,3,12.0,3,1,active_child_stage_1,0.09716592637357234,0.08822172889288026,0.09716592637357234
task_001,3,12.0,3,2,active_child_stage_2,0.04612061457271877,0.04187517689651833,0.09224122914543754
task_001,3,12.0,3,3,active_child_stage_3,0.012086841830643593,0.0109742388402133,0.036260525491930776
task_001,4,16.0,0,0,no_children_at_home,0.27821677101531833,0.2463735618846994,0.0
task_001,4,16.0,0,1,no_children_at_home,0.0,0.0,0.0
