age,tenure,income_index,parity,dependent_children,wealth,mass,consumption,saving,excess_expenditure,resources
50.0,0,0,2,2,-0.39534883720930214,4.341502472431107e-12,0.04,-0.1574189357790853,0.03693291821294664,-0.03030038318995104
50.0,0,0,3,2,-0.39534883720930214,2.940087939551368e-12,0.04,-0.1574189357790853,0.03693291821294664,-0.03030038318995104
46.0,0,0,2,2,-0.5348837209302326,1.5999729183783468e-11,0.04,-0.32093023255813957,0.027763509226423122,-0.18133742877134668
46.0,0,0,3,2,-0.5348837209302326,9.998640832702731e-12,0.04,-0.32093023255813957,0.027763509226423122,-0.18133742877134668
50.0,0,0,1,1,-0.39534883720930214,2.9755465712697715e-10,0.04,-0.15813953488372087,0.016706154243949972,-0.03030038318995104
50.0,0,0,2,1,-0.39534883720930214,2.948869194105061e-10,0.04,-0.15813953488372087,0.016706154243949972,-0.03030038318995104
50.0,0,0,3,1,-0.39534883720930214,9.312062784680457e-11,0.04,-0.15813953488372087,0.016706154243949972,-0.03030038318995104
46.0,0,0,1,1,-0.5348837209302326,7.800590220840777e-10,0.04,-0.32093023255813957,0.008090727259764063,-0.18133742877134668
46.0,0,0,2,1,-0.5348837209302326,7.509606860028005e-10,0.04,-0.32093023255813957,0.008090727259764063,-0.18133742877134668
46.0,0,0,3,1,-0.5348837209302326,2.1266803273317684e-10,0.04,-0.32093023255813957,0.008090727259764063,-0.18133742877134668
54.0,0,0,2,2,-0.25581395348837255,1.1332008274622767e-12,0.04,-0.051162790697674515,0.004082735287818745,0.1207366623914436
