id,label,loss,first_birth_rooms,mean_rooms,ownership,elapsed_seconds,occupied_value_drops,budget_excess_share,plan,plan_sha256,summary,summary_sha256
4,initial_3,73.69266569182601,0.6240300099511762,6.27422967313269,0.3719601997027095,425.4233486652374,1,5.530908871715251e-09,/scratch/td2248/projects/Fertility_Spring26_full_joint_overnight_20260906a/output/model/e5f_full_joint_overnight_20260906a/search/initial_population/plan.json,18bb0dd8c3514558bb64bcbc4aad53f23b59aaab3032cc9924f439f7aa404966,/scratch/td2248/projects/Fertility_Spring26_full_joint_overnight_20260906a/output/model/e5f_full_joint_overnight_20260906a/search/initial_population/task_004/summary.json,4b90428179da698b03b22f3d92524da41257e941b8ea8993624e081e06b24cd0
7,initial_6,76.274044331379,0.7919049437689258,6.5460410336951975,0.546277477829285,436.69672751426697,0,3.4474546164918486e-07,/scratch/td2248/projects/Fertility_Spring26_full_joint_overnight_20260906a/output/model/e5f_full_joint_overnight_20260906a/search/initial_population/plan.json,18bb0dd8c3514558bb64bcbc4aad53f23b59aaab3032cc9924f439f7aa404966,/scratch/td2248/projects/Fertility_Spring26_full_joint_overnight_20260906a/output/model/e5f_full_joint_overnight_20260906a/search/initial_population/task_007/summary.json,484ab6dc6c9171f913078360285ad2fb802cc9bc721c5b197e89c30a657342fe
12,initial_11,51.33484772112879,0.6971053047002105,6.510625124186402,0.5782025173120697,446.8285071849823,0,1.3782376197673334e-07,/scratch/td2248/projects/Fertility_Spring26_full_joint_overnight_20260906a/output/model/e5f_full_joint_overnight_20260906a/search/initial_population/plan.json,18bb0dd8c3514558bb64bcbc4aad53f23b59aaab3032cc9924f439f7aa404966,/scratch/td2248/projects/Fertility_Spring26_full_joint_overnight_20260906a/output/model/e5f_full_joint_overnight_20260906a/search/initial_population/task_012/summary.json,87dcc1ca9c56da5009f30bce3067975fa9e229580121b007574a15b392ee8a84
1,seed,20.695274279617262,0.5157782239938484,6.349114575536986,0.5449671609714565,451.9531879425049,0,2.1598056830650264e-09,/scratch/td2248/projects/Fertility_Spring26_full_joint_overnight_20260906a/output/model/e5f_full_joint_overnight_20260906a/search/initial_population/plan.json,18bb0dd8c3514558bb64bcbc4aad53f23b59aaab3032cc9924f439f7aa404966,/scratch/td2248/projects/Fertility_Spring26_full_joint_overnight_20260906a/output/model/e5f_full_joint_overnight_20260906a/search/initial_population/task_001/summary.json,f921798dc6339b35f3eb9f186dc36ec341a64cf06714f7882195e038dccabf4f
3,initial_2,60.71195532117176,0.5570644494134571,6.277596299086889,0.38552147844845736,453.2388300895691,1,2.189594340292607e-09,/scratch/td2248/projects/Fertility_Spring26_full_joint_overnight_20260906a/output/model/e5f_full_joint_overnight_20260906a/search/initial_population/plan.json,18bb0dd8c3514558bb64bcbc4aad53f23b59aaab3032cc9924f439f7aa404966,/scratch/td2248/projects/Fertility_Spring26_full_joint_overnight_20260906a/output/model/e5f_full_joint_overnight_20260906a/search/initial_population/task_003/summary.json,4f8d3206288c79c4fe5e001e06cf55c0d2f7e7fe563aa4cec94d7f29043a9552
8,initial_7,31.91587861675504,0.4907322157188121,6.321095364581882,0.5139541567565552,457.3389701843262,0,1.6832299066248785e-09,/scratch/td2248/projects/Fertility_Spring26_full_joint_overnight_20260906a/output/model/e5f_full_joint_overnight_20260906a/search/initial_population/plan.json,18bb0dd8c3514558bb64bcbc4aad53f23b59aaab3032cc9924f439f7aa404966,/scratch/td2248/projects/Fertility_Spring26_full_joint_overnight_20260906a/output/model/e5f_full_joint_overnight_20260906a/search/initial_population/task_008/summary.json,8ac9ea8d98fe0c45dabfcd1ae54609142e74ed06296bf9b1c0dacf42e9cd9829
10,initial_9,24.36099455048954,0.5473448157210479,6.360283629737011,0.6182987415077232,465.06110668182373,0,1.535259822559372e-08,/scratch/td2248/projects/Fertility_Spring26_full_joint_overnight_20260906a/output/model/e5f_full_joint_overnight_20260906a/search/initial_population/plan.json,18bb0dd8c3514558bb64bcbc4aad53f23b59aaab3032cc9924f439f7aa404966,/scratch/td2248/projects/Fertility_Spring26_full_joint_overnight_20260906a/output/model/e5f_full_joint_overnight_20260906a/search/initial_population/task_010/summary.json,d4bfcdbaecb837be82f8ecc819ebee90bcf9dc7d1226d19a09c342bd09cd3636
6,initial_5,69.3371924532597,0.7154452112316658,6.486263872137812,0.5410654946233036,467.7954828739166,0,1.2568246685464277e-07,/scratch/td2248/projects/Fertility_Spring26_full_joint_overnight_20260906a/output/model/e5f_full_joint_overnight_20260906a/search/initial_population/plan.json,18bb0dd8c3514558bb64bcbc4aad53f23b59aaab3032cc9924f439f7aa404966,/scratch/td2248/projects/Fertility_Spring26_full_joint_overnight_20260906a/output/model/e5f_full_joint_overnight_20260906a/search/initial_population/task_006/summary.json,9d6a62e2c24fe5fb4eace9c385f229f46665eac8d248a0b9542453a2b37eee2b
5,initial_4,48.126142414018005,0.639228775508851,6.490633170677049,0.5696960289609843,470.92677092552185,0,7.477021683859695e-08,/scratch/td2248/projects/Fertility_Spring26_full_joint_overnight_20260906a/output/model/e5f_full_joint_overnight_20260906a/search/initial_population/plan.json,18bb0dd8c3514558bb64bcbc4aad53f23b59aaab3032cc9924f439f7aa404966,/scratch/td2248/projects/Fertility_Spring26_full_joint_overnight_20260906a/output/model/e5f_full_joint_overnight_20260906a/search/initial_population/task_005/summary.json,61e4097ba448d7ff6586e8f523c3be914f266058f1bde856035b3a00ea9d726b
9,initial_8,28.71041238270796,0.526093416424958,6.446179592511328,0.5228364555501284,492.9847922325134,0,3.281642143160568e-09,/scratch/td2248/projects/Fertility_Spring26_full_joint_overnight_20260906a/output/model/e5f_full_joint_overnight_20260906a/search/initial_population/plan.json,18bb0dd8c3514558bb64bcbc4aad53f23b59aaab3032cc9924f439f7aa404966,/scratch/td2248/projects/Fertility_Spring26_full_joint_overnight_20260906a/output/model/e5f_full_joint_overnight_20260906a/search/initial_population/task_009/summary.json,e8a11098ca1620a4153099f16ac20493a1f9a7111ab8c56fe0cf002baaec90de
