scenario,period,years_from_start,age,adult_mass,adult_share
task_001,0,0.0,18.0,0.016622662021820403,0.016622662021820014
task_001,0,0.0,22.0,0.04529676719571258,0.045296767195711525
task_001,0,0.0,26.0,0.06359694782099289,0.0635969478209914
task_001,0,0.0,30.0,0.06696559869635592,0.06696559869635435
task_001,0,0.0,34.0,0.07884514768616069,0.07884514768615886
task_001,0,0.0,38.0,0.08072893564675426,0.08072893564675238
task_001,0,0.0,42.0,0.08968295548613453,0.08968295548613243
task_001,0,0.0,46.0,0.09115500500154754,0.09115500500154541
task_001,0,0.0,50.0,0.08684345526254554,0.08684345526254351
task_001,0,0.0,54.0,0.07812470544073034,0.07812470544072853
task_001,0,0.0,58.0,0.07104778040230834,0.07104778040230669
task_001,0,0.0,62.0,0.05661696446968172,0.056616964469680404
task_001,0,0.0,66.0,0.0450523213655497,0.04505232136554865
task_001,0,0.0,70.0,0.038891086041813926,0.03889108604181302
task_001,0,0.0,74.0,0.03548381308904374,0.035483813089042915
task_001,0,0.0,78.0,0.03128817505209758,0.03128817505209685
task_001,0,0.0,82.0,0.02375767932077366,0.023757679320773106
task_001,1,4.0,18.0,0.01465792862605599,0.01423640057870632
task_001,1,4.0,22.0,0.04134496063508348,0.04015597541289625
task_001,1,4.0,26.0,0.06120234802615902,0.05944231037589907
task_001,1,4.0,30.0,0.07031966961099698,0.06829743892768568
task_001,1,4.0,34.0,0.07175728257681024,0.06969370947726923
task_001,1,4.0,38.0,0.08005868898083364,0.07775638667739108
task_001,1,4.0,42.0,0.08096598004711601,0.07863758615588472
task_001,1,4.0,46.0,0.08846233054004315,0.08591835898663691
task_001,1,4.0,50.0,0.09159218889089601,0.08895820986694097
task_001,1,4.0,54.0,0.08716677923891769,0.08466006473759137
task_001,1,4.0,58.0,0.07859687693173817,0.07633661295406233
task_001,1,4.0,62.0,0.07182458799978814,0.06975907935230936
task_001,1,4.0,66.0,0.05526612180335955,0.05367679625793782
task_001,1,4.0,70.0,0.04459728435425366,0.04331476984142343
task_001,1,4.0,74.0,0.03620940802925497,0.035168109394799404
task_001,1,4.0,78.0,0.030875476226271528,0.029987569105376144
task_001,1,4.0,82.0,0.024711260462574713,0.024000621897189572
task_001,2,8.0,18.0,0.013218208448328115,0.012378269659692603
task_001,2,8.0,22.0,0.041118584122453256,0.038505741854665515
task_001,2,8.0,26.0,0.06090989552550112,0.057039432742015825
task_001,2,8.0,30.0,0.07263176030201546,0.06801644249983206
task_001,2,8.0,34.0,0.07587591337913885,0.07105444888041945
task_001,2,8.0,38.0,0.07473196898050638,0.06998319536695571
task_001,2,8.0,42.0,0.0815165207837946,0.07633662912233558
task_001,2,8.0,46.0,0.0815780038028174,0.07639420525997416
task_001,2,8.0,50.0,0.08986228817884712,0.08415207247359374
task_001,2,8.0,54.0,0.0906056552031645,0.08484820293023575
task_001,2,8.0,58.0,0.08649200299459263,0.08099594893356549
task_001,2,8.0,62.0,0.07819543501328242,0.0732265786649631
task_001,2,8.0,66.0,0.06976211327371419,0.06532914452875631
task_001,2,8.0,70.0,0.05370836035354345,0.050295512439145436
task_001,2,8.0,74.0,0.04098976874856017,0.03838511193415882
task_001,2,8.0,78.0,0.03203085168675469,0.029995480942685407
task_001,2,8.0,82.0,0.02462858216395594,0.023063581767005792
task_001,3,12.0,18.0,0.013264906903257765,0.012043862126207096
task_001,3,12.0,22.0,0.04044700865422334,0.03672383072129466
task_001,3,12.0,26.0,0.06510089738007617,0.05910831022458462
task_001,3,12.0,30.0,0.07409617669954581,0.06727556723592537
task_001,3,12.0,34.0,0.07834517066626696,0.07113343807388108
task_001,3,12.0,38.0,0.07850247317205977,0.07127626076428459
task_001,3,12.0,42.0,0.07519972009672837,0.0682775286234334
task_001,3,12.0,46.0,0.0804058851453731,0.07300446221666926
task_001,3,12.0,50.0,0.0803896697234672,0.0729897394366922
task_001,3,12.0,54.0,0.08676191546196921,0.07877541510471972
task_001,3,12.0,58.0,0.08999608966251652,0.08171188110840961
task_001,3,12.0,62.0,0.0863476012861043,0.07839923886409911
task_001,3,12.0,66.0,0.07477231736359129,0.06788946863719988
task_001,3,12.0,70.0,0.06653563016232923,0.06041097476218206
task_001,3,12.0,74.0,0.04941729150420215,0.04486839220718731
task_001,3,12.0,78.0,0.03624539729406114,0.03290898088489881
task_001,3,12.0,82.0,0.025555006839106116,0.023202649008330745
task_001,4,16.0,18.0,0.014337122049139533,0.012696171454838943
task_001,4,16.0,22.0,0.044741228127869924,0.03962038556026601
task_001,4,16.0,26.0,0.06510271539527307,0.057651405491353606
task_001,4,16.0,30.0,0.07781168019051445,0.06890576989592953
task_001,4,16.0,34.0,0.08156435185026555,0.07222893075363977
task_001,4,16.0,38.0,0.08281187458056663,0.07333366867966322
task_001,4,16.0,42.0,0.08147983007378623,0.07215408288932147
task_001,4,16.0,46.0,0.07516298442006751,0.06656022972977609
task_001,4,16.0,50.0,0.08066019718385792,0.0714282608125554
task_001,4,16.0,54.0,0.07858640289692499,0.06959182196947908
task_001,4,16.0,58.0,0.08646102535793289,0.07656515710357473
task_001,4,16.0,62.0,0.08806977795656537,0.07798978045201595
task_001,4,16.0,66.0,0.0800090083391385,0.07085160357313877
task_001,4,16.0,70.0,0.06962757948607712,0.061658377749090644
task_001,4,16.0,74.0,0.05717549494548065,0.05063149245400101
task_001,4,16.0,78.0,0.03952768832538166,0.03500355974319132
task_001,4,16.0,82.0,0.026118710068945877,0.02312930168816322
