age,tenure,mass,budget_excess_mass,budget_excess_share,consumption_floor_mass,weighted_positive_budget_gap,maximum_occupied_excess
18.0,0,0.01229975584063913,0.0,0.0,0.0,3.674850913623893e-20,4.440892098500626e-16
18.0,1,0.0007895742290468897,0.0,0.0,0.0,1.596956510915378e-20,4.440892098500626e-16
18.0,2,0.000833845773584363,0.0,0.0,0.0,8.068612703229434e-20,4.440892098500626e-16
18.0,3,0.00017428341173407903,0.0,0.0,0.0,2.8734170846446793e-21,2.220446049250313e-16
18.0,4,2.5849767410390567e-05,0.0,0.0,0.0,0.0,0.0
18.0,5,0.00021381302672439232,0.0,0.0,0.0,5.482659363397526e-20,3.552713678800501e-15
22.0,0,0.02635474092669276,0.0,0.0,0.0,2.7507737229929926e-19,4.440892098500626e-16
22.0,1,0.008749986014001943,0.0,0.0,1.633589814778598e-07,2.509419377825434e-20,2.220446049250313e-16
22.0,2,0.005420767231171072,0.0,0.0,0.0,5.359550573280414e-20,4.440892098500626e-16
22.0,3,0.0019515769502229682,0.0,0.0,0.0,9.42701167481452e-20,8.881784197001252e-16
22.0,4,0.00027571020453730157,0.0,0.0,0.0,1.031094119043586e-21,8.881784197001252e-16
22.0,5,0.0019884468012429783,0.0,0.0,0.0,2.5143023206661986e-19,3.552713678800501e-15
26.0,0,0.03431237260546957,0.0,0.0,0.0,7.817089010529244e-19,1.7763568394002505e-15
26.0,1,0.012201132561967672,0.0,0.0,0.0,1.8746366247681486e-20,4.440892098500626e-16
26.0,2,0.009668784372472284,0.0,0.0,0.0,9.558325681215993e-20,1.7763568394002505e-15
26.0,3,0.004572158229641625,0.0,0.0,0.0,2.617964186189637e-19,8.881784197001252e-16
26.0,4,0.0005666405589064975,0.0,0.0,0.0,1.3630558053120994e-20,1.7763568394002505e-15
26.0,5,0.0037816270668141927,0.0,0.0,0.0,8.464190656051568e-19,3.552713678800501e-15
30.0,0,0.03954388221241594,0.0,0.0,0.0,2.8069963310502196e-19,1.7763568394002505e-15
30.0,1,0.009883189719597084,0.0,0.0,0.0,3.8430290324969196e-20,4.440892098500626e-16
30.0,2,0.013499375387245374,0.0,0.0,0.0,1.286277423932581e-19,4.440892098500626e-16
30.0,3,0.00817945299076002,0.0,0.0,0.0,5.546793242971542e-19,8.881784197001252e-16
30.0,4,0.0011196237933743546,0.0,0.0,0.0,9.152904414823869e-20,1.7763568394002505e-15
30.0,5,0.005586156087120375,0.0,0.0,0.0,1.4910397833820475e-18,3.552713678800501e-15
34.0,0,0.041040384434152095,0.0,0.0,0.0,2.6882533293960203e-19,1.7763568394002505e-15
34.0,1,0.0086782564623735,0.0,0.0,0.0,9.337142494210796e-20,4.440892098500626e-16
34.0,2,0.012561418798522172,0.0,0.0,0.0,1.6528845932210111e-19,4.440892098500626e-16
