scenario,period,years_from_start,age,adult_mass,adult_share
task_001,0,0.0,18.0,0.016622662021820053,0.01662266202181999
task_001,0,0.0,22.0,0.04529676719571164,0.04529676719571147
task_001,0,0.0,26.0,0.06359694782099158,0.06359694782099135
task_001,0,0.0,30.0,0.06696559869635456,0.06696559869635431
task_001,0,0.0,34.0,0.07884514768615904,0.07884514768615875
task_001,0,0.0,38.0,0.0807289356467527,0.08072893564675239
task_001,0,0.0,42.0,0.08968295548613275,0.08968295548613242
task_001,0,0.0,46.0,0.0911550050015457,0.09115500500154536
task_001,0,0.0,50.0,0.08684345526254393,0.0868434552625436
task_001,0,0.0,54.0,0.07812470544072872,0.07812470544072843
task_001,0,0.0,58.0,0.07104778040230691,0.07104778040230665
task_001,0,0.0,62.0,0.05661696446968053,0.056616964469680314
task_001,0,0.0,66.0,0.04505232136554876,0.045052321365548584
task_001,0,0.0,70.0,0.03889108604181308,0.03889108604181293
task_001,0,0.0,74.0,0.03548381308904306,0.03548381308904293
task_001,0,0.0,78.0,0.03128817505209693,0.031288175052096814
task_001,0,0.0,82.0,0.023757679320773155,0.023757679320773065
task_001,1,4.0,18.0,0.014657928626055701,0.014236400578706315
task_001,1,4.0,22.0,0.041344960635082736,0.04015597541289631
task_001,1,4.0,26.0,0.06120234802615775,0.059442310375898984
task_001,1,4.0,30.0,0.07031966961099553,0.0682974389276856
task_001,1,4.0,34.0,0.07175728257680904,0.06969370947726941
task_001,1,4.0,38.0,0.08005868898083199,0.07775638667739099
task_001,1,4.0,42.0,0.08096598004711442,0.07863758615588469
task_001,1,4.0,46.0,0.0884623305400415,0.08591835898663698
task_001,1,4.0,50.0,0.09159218889089445,0.08895820986694118
task_001,1,4.0,54.0,0.08716677923891608,0.08466006473759145
task_001,1,4.0,58.0,0.07859687693173684,0.07633661295406251
task_001,1,4.0,62.0,0.07182458799978668,0.06975907935230931
task_001,1,4.0,66.0,0.055266121803358444,0.05367679625793779
task_001,1,4.0,70.0,0.04459728435425281,0.04331476984142344
task_001,1,4.0,74.0,0.03620940802925429,0.035168109394799425
task_001,1,4.0,78.0,0.030875476226270904,0.02998756910537612
task_001,1,4.0,82.0,0.02471126046257422,0.02400062189718956
task_001,2,8.0,18.0,0.01321820844832785,0.012378269659692579
task_001,2,8.0,22.0,0.041118584122452444,0.038505741854665446
task_001,2,8.0,26.0,0.06090989552549988,0.05703943274201569
task_001,2,8.0,30.0,0.07263176030201408,0.068016442499832
task_001,2,8.0,34.0,0.07587591337913734,0.07105444888041931
task_001,2,8.0,38.0,0.07473196898050476,0.06998319536695545
task_001,2,8.0,42.0,0.0815165207837932,0.07633662912233566
task_001,2,8.0,46.0,0.08157800380281575,0.076394205259974
task_001,2,8.0,50.0,0.08986228817884533,0.08415207247359359
task_001,2,8.0,54.0,0.09060565520316285,0.08484820293023575
task_001,2,8.0,58.0,0.08649200299459107,0.08099594893356549
task_001,2,8.0,62.0,0.07819543501328091,0.07322657866496302
task_001,2,8.0,66.0,0.06976211327371282,0.0653291445287562
task_001,2,8.0,70.0,0.05370836035354242,0.05029551243914539
task_001,2,8.0,74.0,0.04098976874855928,0.03838511193415868
task_001,2,8.0,78.0,0.03203085168675404,0.029995480942685344
task_001,2,8.0,82.0,0.02462858216395545,0.02306358176700575
task_001,3,12.0,18.0,0.0132649069032575,0.012043862126207098
task_001,3,12.0,22.0,0.04044700865422258,0.036723830721294703
task_001,3,12.0,26.0,0.06510089738007489,0.059108310224584654
task_001,3,12.0,30.0,0.07409617669954442,0.06727556723592547
task_001,3,12.0,34.0,0.07834517066626535,0.07113343807388105
task_001,3,12.0,38.0,0.0785024731720583,0.07127626076428469
task_001,3,12.0,42.0,0.07519972009672685,0.06827752862343339
task_001,3,12.0,46.0,0.08040588514537148,0.07300446221666926
task_001,3,12.0,50.0,0.0803896697234655,0.07298973943669212
task_001,3,12.0,54.0,0.08676191546196742,0.07877541510471969
task_001,3,12.0,58.0,0.08999608966251461,0.08171188110840955
task_001,3,12.0,62.0,0.08634760128610261,0.07839923886409915
task_001,3,12.0,66.0,0.07477231736358984,0.06788946863719994
task_001,3,12.0,70.0,0.06653563016232793,0.060410974762182094
task_001,3,12.0,74.0,0.04941729150420119,0.04486839220718735
task_001,3,12.0,78.0,0.0362453972940605,0.032908980884898895
task_001,3,12.0,82.0,0.025555006839105582,0.023202649008330727
task_001,4,16.0,18.0,0.014337122049139252,0.012696171454838942
task_001,4,16.0,22.0,0.04474122812786905,0.039620385560266
task_001,4,16.0,26.0,0.06510271539527185,0.05765140549135365
task_001,4,16.0,30.0,0.07781168019051318,0.06890576989592975
task_001,4,16.0,34.0,0.08156435185026407,0.07222893075363988
task_001,4,16.0,38.0,0.082811874580565,0.0733336686796632
task_001,4,16.0,42.0,0.08147983007378456,0.0721540828893214
task_001,4,16.0,46.0,0.07516298442006618,0.0665602297297762
task_001,4,16.0,50.0,0.08066019718385652,0.07142826081255556
task_001,4,16.0,54.0,0.07858640289692345,0.06959182196947908
task_001,4,16.0,58.0,0.08646102535793128,0.0765651571035748
task_001,4,16.0,62.0,0.08806977795656369,0.07798978045201599
task_001,4,16.0,66.0,0.0800090083391369,0.07085160357313874
task_001,4,16.0,70.0,0.0696275794860758,0.06165837774909068
task_001,4,16.0,74.0,0.057175494945479514,0.05063149245400098
task_001,4,16.0,78.0,0.03952768832538091,0.03500355974319133
task_001,4,16.0,82.0,0.026118710068945384,0.023129301688163233
