parameter,value,lower_bound,upper_bound,transform,is_free_parameter,status,near_bound
beta_annual,0.9966004465652673,0.94,0.9995,discount,True,estimated_free_transition_parameter,False
tenure_choice_kappa,0.1,0.005,10.0,log,True,estimated_free_transition_parameter,True
joint_nest_lambda,0.8,0.02,1.0,log,True,estimated_free_transition_parameter,False
chi,1.071957906372336,0.1,5.0,log,True,estimated_free_transition_parameter,False
H0,9.163886031825038,0.2,80.0,log,True,estimated_free_transition_parameter,False
theta0,0.3975015767593709,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
theta1,0.16908323371278364,0.02,16.0,log,True,estimated_free_transition_parameter,True
hbar_child_rooms,0.25132535668671435,0.1,1.8,log,True,estimated_free_transition_parameter,False
first_birth_fixed_cost,3.6727413547100753,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
hbar_first_child_jump,0.2686724026213736,0.0,2.0,softzero,True,estimated_free_transition_parameter,False
psi_child_change_2023,-0.36860001395413167,-1.5,0.2,asinh,True,estimated_free_transition_parameter,False
psi_child_2007,0.41876086912571525,nan,nan,derived,False,externally_normalized_to_old_completed_fertility,False
psi_child_2023,0.050160855171583585,nan,nan,derived,False,derived_from_old_intercept_and_transition_coordinate,False
housing_supply_elasticity,0.63,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
