candidate,period,calendar_year,age_index,age_cell_start,age_cell_midpoint,age,age_mass,birth_flow_first,birth_flow_second,birth_flow_third_bin_entry,birth_flow_explicit,birth_flow_topcode_adjusted,childless_at_risk_mass,first_birth_hazard,first_birth_rate_all_households,age_specific_birth_rate_explicit,age_specific_birth_rate_topcode_adjusted
task_001,0,2007.0,0,18.0,20.0,20.0,0.016622662021820056,0.004526563773786763,0.0,0.0,0.004526563773786763,0.004526563773786763,0.01662266202182005,0.27231280813174713,0.272312808131747,0.272312808131747,0.272312808131747
task_001,0,2007.0,1,22.0,24.0,24.0,0.04529676719571164,0.009639785543647198,0.003749121553044467,0.0,0.013388907096691665,0.013388907096691665,0.032961877321357407,0.2924525642051695,0.21281398520112976,0.29558195707086193,0.29558195707086193
task_001,0,2007.0,2,26.0,28.0,28.0,0.06359694782099146,0.00944495390609185,0.009026202175214272,0.000963515522528473,0.019434671603834597,0.020015054257081548,0.0327443644588356,0.28844517406851866,0.14851269172031478,0.30559126294139216,0.31471721431378463
task_001,0,2007.0,3,30.0,32.0,32.0,0.06696559869635448,0.00614278050778535,0.011053091314531345,0.0030791952861405573,0.02027506710845725,0.022129849401269715,0.024533551222117766,0.25038285131128674,0.09173039034025325,0.30276839904607616,0.33046593821424963
task_001,0,2007.0,4,34.0,36.0,36.0,0.07884514768615912,0.0040524744826363115,0.01153505834981078,0.006906356085494874,0.022493888917941966,0.026653997577788996,0.02165325273367212,0.1871531511907432,0.05139789323202325,0.28529198787829346,0.33805501492475454
task_001,0,2007.0,5,38.0,40.0,40.0,0.08072893564675256,0.0023943236879430054,0.007812396030398713,0.009687983550707602,0.01989470326904932,0.02573035144108625,0.01802130044091564,0.1328607608420379,0.029658804104886284,0.24643831991174797,0.31872526542001167
task_001,0,2007.0,6,42.0,44.0,44.0,0.08968295548613263,0.00186566631696428,0.0042628168985112715,0.009057643852323053,0.015186127067798604,0.02064208418344729,0.017360237061121855,0.10746779035307233,0.02080290849974008,0.16933125124480072,0.23016730516468212
task_001,0,2007.0,7,46.0,48.0,48.0,0.0911550050015457,0.0,0.0,0.0,0.0,0.0,0.01574889750259053,0.0,0.0,0.0,0.0
task_001,0,2007.0,8,50.0,52.0,52.0,0.08684345526254379,0.0,0.0,0.0,0.0,0.0,0.015003988817481224,0.0,0.0,0.0,0.0
task_001,0,2007.0,9,54.0,56.0,56.0,0.07812470544072876,0.0,0.0,0.0,0.0,0.0,0.013497645887741263,0.0,0.0,0.0,0.0
