scenario,period,years_from_start,parity_state,child_state,child_state_label,household_mass,household_share,child_units
task_001,0,0.0,0,0,no_children_at_home,0.22101762976399136,0.22101762976399086,0.0
task_001,0,0.0,0,1,no_children_at_home,0.0,0.0,0.0
task_001,0,0.0,0,2,no_children_at_home,0.0,0.0,0.0
task_001,0,0.0,0,3,no_children_at_home,0.0,0.0,0.0
task_001,0,0.0,1,0,no_children_at_home,0.09600261453237181,0.0960026145323716,0.0
task_001,0,0.0,1,1,active_child_stage_1,0.10463646366930605,0.10463646366930582,0.10463646366930605
task_001,0,0.0,1,2,no_children_at_home,0.0,0.0,0.0
task_001,0,0.0,1,3,no_children_at_home,0.0,0.0,0.0
task_001,0,0.0,2,0,no_children_at_home,0.13159417825943123,0.13159417825943093,0.0
task_001,0,0.0,2,1,active_child_stage_1,0.11018584182618539,0.11018584182618514,0.11018584182618539
task_001,0,0.0,2,2,active_child_stage_2,0.059351409706765446,0.059351409706765314,0.11870281941353089
task_001,0,0.0,2,3,no_children_at_home,0.0,0.0,0.0
task_001,0,0.0,3,0,no_children_at_home,0.11486473715047846,0.11486473715047821,0.0
task_001,0,0.0,3,1,active_child_stage_1,0.09382912057815905,0.09382912057815884,0.09382912057815905
task_001,0,0.0,3,2,active_child_stage_2,0.05327086039712005,0.05327086039711993,0.1065417207942401
task_001,0,0.0,3,3,active_child_stage_3,0.015247144116193555,0.01524714411619352,0.04574143234858066
task_001,1,4.0,0,0,no_children_at_home,0.22867121172891483,0.2220951577840378,0.0
task_001,1,4.0,0,1,no_children_at_home,0.0,0.0,0.0
task_001,1,4.0,0,2,no_children_at_home,0.0,0.0,0.0
task_001,1,4.0,0,3,no_children_at_home,0.0,0.0,0.0
task_001,1,4.0,1,0,no_children_at_home,0.10216228565050324,0.09922433514728869,0.0
task_001,1,4.0,1,1,active_child_stage_1,0.0982251470397512,0.09540041951592707,0.0982251470397512
task_001,1,4.0,1,2,no_children_at_home,0.0,0.0,0.0
task_001,1,4.0,1,3,no_children_at_home,0.0,0.0,0.0
task_001,1,4.0,2,0,no_children_at_home,0.14251684434328524,0.13841839028180014,0.0
task_001,1,4.0,2,1,active_child_stage_1,0.11122367134226877,0.10802513639261752,0.11122367134226877
task_001,1,4.0,2,2,active_child_stage_2,0.05660163435399829,0.0549739025635998,0.11320326870799657
task_001,1,4.0,2,3,no_children_at_home,0.0,0.0,0.0
task_001,1,4.0,3,0,no_children_at_home,0.12601899925308657,0.12239498497117454,0.0
task_001,1,4.0,3,1,active_child_stage_1,0.09798643513376273,0.0951685724109741,0.09798643513376273
task_001,1,4.0,3,2,active_child_stage_2,0.051901855669358656,0.050409278618927224,0.10380371133871731
task_001,1,4.0,3,3,active_child_stage_3,0.014301088465201747,0.013889822313653499,0.04290326539560524
task_001,2,8.0,0,0,no_children_at_home,0.24593610378814795,0.23030832231496204,0.0
task_001,2,8.0,0,1,no_children_at_home,0.0,0.0,0.0
task_001,2,8.0,0,2,no_children_at_home,0.0,0.0,0.0
task_001,2,8.0,0,3,no_children_at_home,0.0,0.0,0.0
task_001,2,8.0,1,0,no_children_at_home,0.10876585525623403,0.1018544299245845,0.0
task_001,2,8.0,1,1,active_child_stage_1,0.09374896551922027,0.08779177450942181,0.09374896551922027
task_001,2,8.0,1,2,no_children_at_home,0.0,0.0,0.0
task_001,2,8.0,1,3,no_children_at_home,0.0,0.0,0.0
task_001,2,8.0,2,0,no_children_at_home,0.15324228952246202,0.14350465045190627,0.0
task_001,2,8.0,2,1,active_child_stage_1,0.11222347084148777,0.10509233453632792,0.11222347084148777
task_001,2,8.0,2,2,active_child_stage_2,0.05350144699661613,0.05010174719945829,0.10700289399323226
task_001,2,8.0,2,3,no_children_at_home,0.0,0.0,0.0
task_001,2,8.0,3,0,no_children_at_home,0.13680279498879236,0.12810978834163683,0.0
task_001,2,8.0,3,1,active_child_stage_1,0.10026947369202609,0.09389794304177163,0.10026947369202609
task_001,2,8.0,3,2,active_child_stage_2,0.050015118624875676,0.046836954328598426,0.10003023724975135
task_001,2,8.0,3,3,active_child_stage_3,0.013350393731085486,0.012502055351332518,0.04005118119325646
task_001,3,12.0,0,0,no_children_at_home,0.2706307897930473,0.24571901960153014,0.0
task_001,3,12.0,0,1,no_children_at_home,0.0,0.0,0.0
task_001,3,12.0,0,2,no_children_at_home,0.0,0.0,0.0
task_001,3,12.0,0,3,no_children_at_home,0.0,0.0,0.0
task_001,3,12.0,1,0,no_children_at_home,0.1143527741826299,0.10382651427931822,0.0
task_001,3,12.0,1,1,active_child_stage_1,0.08998230082892904,0.08169936154745105,0.08998230082892904
task_001,3,12.0,1,2,no_children_at_home,0.0,0.0,0.0
task_001,3,12.0,1,3,no_children_at_home,0.0,0.0,0.0
task_001,3,12.0,2,0,no_children_at_home,0.162257561384529,0.14732162935647555,0.0
task_001,3,12.0,2,1,active_child_stage_1,0.11080903705464648,0.10060898085128696,0.11080903705464648
task_001,3,12.0,2,2,active_child_stage_2,0.04934617913514018,0.04480382578582578,0.09869235827028036
task_001,3,12.0,2,3,no_children_at_home,0.0,0.0,0.0
task_001,3,12.0,3,0,no_children_at_home,0.14595540233283122,0.13252009645390153,0.0
task_001,3,12.0,3,1,active_child_stage_1,0.09935581558376101,0.0902100371344347,0.09935581558376101
task_001,3,12.0,3,2,active_child_stage_2,0.046685622533732395,0.042388175444664576,0.09337124506746479
task_001,3,12.0,3,3,active_child_stage_3,0.012007675185608278,0.01090235954511148,0.036023025556824836
task_001,4,16.0,0,0,no_children_at_home,0.3040950940431016,0.269289989951532,0.0
task_001,4,16.0,0,1,no_children_at_home,0.0,0.0,0.0
task_001,4,16.0,0,2,no_children_at_home,0.0,0.0,0.0
task_001,4,16.0,0,3,no_children_at_home,0.0,0.0,0.0
task_001,4,16.0,1,0,no_children_at_home,0.11777106938866036,0.10429162033031153,0.0
task_001,4,16.0,1,1,active_child_stage_1,0.0874130377494106,0.0774082072295295,0.0874130377494106
task_001,4,16.0,1,2,no_children_at_home,0.0,0.0,0.0
task_001,4,16.0,1,3,no_children_at_home,0.0,0.0,0.0
task_001,4,16.0,2,0,no_children_at_home,0.16628778558900992,0.14725537171599373,0.0
