parameter,value,lower_bound,upper_bound,transform,is_free_parameter,status,near_bound
beta_annual,0.9946236638603249,0.94,0.9995,discount,True,estimated_free_transition_parameter,False
tenure_choice_kappa,3.999999999999999,0.005,10.0,log,True,estimated_free_transition_parameter,False
joint_nest_lambda,1.0,0.02,1.0,log,True,estimated_free_transition_parameter,True
chi,1.1594935834647857,0.1,5.0,log,True,estimated_free_transition_parameter,False
H0,11.021241515348438,0.2,80.0,log,True,estimated_free_transition_parameter,False
theta0,0.5303739229842571,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
theta1,0.13249817034638411,0.02,16.0,log,True,estimated_free_transition_parameter,True
hbar_child_rooms,0.281494542016432,0.1,1.8,log,True,estimated_free_transition_parameter,False
first_birth_fixed_cost,5.101738039181203,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
hbar_first_child_jump,0.4364767166942501,0.0,2.0,softzero,True,estimated_free_transition_parameter,False
psi_child_change_2023,-0.29595239460041545,-1.5,0.2,asinh,True,estimated_free_transition_parameter,False
psi_child_2007,0.06824356422146294,nan,nan,derived,False,externally_normalized_to_old_completed_fertility,False
psi_child_2023,-0.2277088303789525,nan,nan,derived,False,derived_from_old_intercept_and_transition_coordinate,False
housing_supply_elasticity,0.63,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
