scenario,policy_case,period_from_2007,calendar_year,years_from_2023,psi_child,asset_price,asset_price_index,adult_population,population_index,population_index_2023,entry_flow_E,birth_children,birth_children_topcode_adjusted,topcode_adjusted_births_per_adult,effective_mature_entrant_flow_B,raw_state_scheduled_mature_entrant_flow_B,queue_B_over_current_E,outside_entry_flow_M,renewal_retention_rho,retained_mature_entrants,entrant_flow_next,adult_deaths,housing_demand,housing_demand_per_adult,housing_supply,relative_market_residual,mass_accounting_residual,owner_rate,dependent_child_owner_rate,parent_owner_rate,childless_owner_rate,birth_queue_scheduled_flows,birth_queue_raw_state_scheduled_flows,model_state_same_period_mature_flow_B,census_age_bridge_net_residual,census_age_bridge_maximum_target_gap,grid_resolution_fallback,feasibility_frontier_projection_mass,min_distribution_mass,nonfinite_distribution_count,adult_household_units,dependent_child_units,model_population_units,policy_label,supply_intercept_multiplier,dependent_child_ltv95,annual_property_tax_rate,housing_user_cost,property_tax_revenue_discarded,property_tax_revenue_discarded_per_adult,property_tax_lump_sum_transfer,purchase_grant
baseline,baseline,4,2023,0,-0.1203616292227872,0.7149633236240229,1.1296441385019853,1.1292476712477628,1.129247671247763,1.0,0.014337122049139197,0.07818132255878382,0.09012851576682443,0.07981288610251185,0.06332099023519433,0.055094753651968136,4.416576075600621,0.0,1.0,0.06332099023519433,0.06332099023519433,0.04995973857292561,6.012466851464962,5.324311933113384,6.012344729561514,2.0311859838633822e-05,0.0,0.49275200317932555,0.49807222305134397,0.500377731995796,0.46971860200300836,"[0.05558927528242164, 0.05060985784439143, 0.04613787462552684, 0.042918340841344965]","[0.04819352413900331, 0.043770635664997, 0.03996257865621993, 0.03722920121846848]",0.05621627608182302,0.0,0.0,False,0.0,0.0,0,1.1292476712477628,0.5113443679977724,1.640592039245535,No policy,1.0,False,0.01,0.1184776228955311,0.17194773133210617,0.1522675102283971,0.0,False
baseline,baseline,5,2027,4,-0.1203616292227872,0.7188593151726772,1.1357998165223377,1.1426089229100316,1.1426089229100318,1.0118319939925182,0.06332099023519433,0.07263641134021345,0.08306224970507656,0.07269525735326052,0.05558927528242164,0.04819352413900331,0.8778964933420239,0.0,1.0,0.05558927528242164,0.05558927528242164,0.060251780761319866,6.032769200903411,5.27981978780541,6.0329643998757545,3.235539933688876e-05,-1.3322676295501878e-15,0.48040121100565875,0.4932033847750009,0.4985088310244745,0.43142253273081066,"[0.05060985784439143, 0.04613787462552684, 0.042918340841344965, 0.03955345224051265]","[0.043770635664997, 0.03996257865621993, 0.03722920121846848, 0.034588767304863544]",0.05108748275873858,0.0,0.0,False,0.0,0.0,0,1.1426089229100316,0.46615034391292975,1.6087592668229613,No policy,1.0,False,0.01,0.11912323337966883,0.17346849345424983,0.1518179054758819,0.0,False
baseline,baseline,6,2031,8,-0.1203616292227872,0.713612080036436,1.1275091696889434,1.137946417431132,1.1379464174311322,1.007703134046544,0.055589275282421656,0.06645523537451967,0.07495372016439154,0.06586753033029141,0.05060985784439143,0.043770635664997,0.9104248542055592,0.0,1.0,0.05060985784439143,0.05060985784439143,0.07156101430304565,6.005145858605106,5.277178052163018,6.005183522077013,6.271826958995582e-06,4.440892098500626e-16,0.47982009171562756,0.49178395190531066,0.49810778677306894,0.43409462671891436,"[0.04613787462552684, 0.042918340841344965, 0.03955345224051265, 0.0356922476973293]","[0.03996257865621993, 0.03722920121846848, 0.034588767304863544, 0.0316453501783427]",0.046305985318032296,0.0,0.0,False,0.0,0.0,0,1.137946417431132,0.42406761468564674,1.5620140321167788,No policy,1.0,False,0.01,0.11825370633517013,0.17141378508325517,0.1506343202610715,0.0,False
baseline,baseline,7,2035,12,-0.1203616292227872,0.699420393824774,1.1050862640450534,1.1169952609724783,1.1169952609724785,0.98914993531778,0.050609857844391454,0.06055177144116542,0.0670341113215655,0.060012887846278125,0.04613787462552684,0.03996257865621993,0.9116380995849765,0.0,1.0,0.04613787462552684,0.04613787462552684,0.07749801848550769,5.92975251605796,5.308663987433035,5.929665925660246,1.4602913351104807e-05,4.440892098500626e-16,0.4807572681140745,0.4912842087632191,0.4980909816544483,0.4402283979101325,"[0.042918340841344965, 0.03955345224051265, 0.0356922476973293, 0.03192100539122167]","[0.03722920121846848, 0.034588767304863544, 0.0316453501783427, 0.028834176876745436]",0.04188385071707896,0.0,0.0,False,0.0,0.0,0,1.1169952609724783,0.3846936686673355,1.5016889296398137,No policy,1.0,False,0.01,0.11590198116035376,0.1658955936025881,0.14851951427095691,0.0,False
baseline,baseline,8,2039,16,-0.1203616292227872,0.6802493104664942,1.0747958963732676,1.0856351171124978,1.085635117112498,0.9613791064212909,0.04613787462552684,0.05550025258246559,0.06021684179383509,0.055466925161739386,0.042918340841344965,0.03722920121846848,0.9302192870756861,0.0,1.0,0.042918340841344965,0.042918340841344965,0.08162579930942998,5.826973713058468,5.367340850724022,5.826744997653528,3.9252688255918725e-05,-2.220446049250313e-16,0.48194031931233594,0.49116602717371477,0.498235535700899,0.44610704215140545,"[0.03955345224051265, 0.0356922476973293, 0.03192100539122167, 0.028674686568492896]","[0.034588767304863544, 0.0316453501783427, 0.028834176876745436, 0.026428691705935994]",0.0378538812197828,0.0,0.0,False,0.0,0.0,0,1.0856351171124978,0.3486872076019697,1.4343223247144676,No policy,1.0,False,0.01,0.11272511276784934,0.15855179401657643,0.1460451965097513,0.0,False
baseline,baseline,9,2043,20,-0.1203616292227872,0.6575503133481737,1.0389314146616597,1.0469276586444125,1.0469276586444127,0.9271018973965288,0.04291834084134498,0.05273005117484412,0.05647833556074975,0.05394674130004291,0.03955345224051265,0.034588767304863544,0.9215978871766917,0.0,1.0,0.03955345224051265,0.03955345224051265,0.08556713191852763,5.703628652871528,5.447968258147584,5.703485813601352,2.5044205393622306e-05,-4.440892098500626e-16,0.4827793314237296,0.49092784587480154,0.49831174291871244,0.45067102989545144,"[0.0356922476973293, 0.03192100539122167, 0.028674686568492896, 0.026894445505118925]","[0.0316453501783427, 0.028834176876745436, 0.026428691705935994, 0.0251095481784972]",0.03439336631584532,0.0,0.0,False,0.0,0.0,0,1.0469276586444125,0.31770721971324156,1.364634878357654,No policy,1.0,False,0.01,0.10896362860239675,0.1500169123166918,0.14329252941024084,0.0,False
baseline,baseline,10,2047,24,-0.1203616292227872,0.6305151740083157,0.9962158155816219,1.000913978966397,1.0009139789663972,0.8863546983102799,0.03955345224051265,0.05287444310601416,0.05686180317548038,0.056809880139948934,0.0356922476973293,0.0316453501783427,0.9023800875912291,0.0,1.0,0.0356922476973293,0.0356922476973293,0.08369577221250951,5.554416726537488,5.549344742165863,5.554606454847404,3.4156931091054344e-05,5.551115123125783e-16,0.4835911080088314,0.4908396792505402,0.49836889243962723,0.45489864101066046,"[0.03192100539122167, 0.028674686568492896, 0.026894445505118925, 0.027077049131181134]","[0.028834176876745436, 0.026428691705935994, 0.0251095481784972, 0.025178306240959125]",0.031746405202570285,0.0,0.0,False,0.0,0.0,0,1.000913978966397,0.2936280073167898,1.2945419862831868,No policy,1.0,False,0.01,0.10448359593806357,0.14008576115389937,0.13995784262955788,0.0,False
baseline,baseline,11,2051,28,-0.1203616292227872,0.6026660985673533,0.9522141950857343,0.9529104544512172,0.9529104544512175,0.843845401424028,0.0356922476973293,0.05542755814580164,0.06064137221553873,0.06363805951784021,0.03192100539122167,0.028834176876745436,0.894340016406705,0.0,1.0,0.03192100539122167,0.03192100539122167,0.07899439375243042,5.398683654190959,5.665467966032622,5.3987530527416965,1.285455179357261e-05,8.881784197001252e-16,0.48450117204804766,0.4910572067687256,0.4984480878007423,0.4588595810332172,"[0.028674686568492896, 0.026894445505118925, 0.027077049131181134, 0.0288768439121613]","[0.026428691705935994, 0.0251095481784972, 0.025178306240959125, 0.026394075307524592]",0.0300298110563916,0.0,0.0,False,0.0,0.0,0,0.9529104544512172,0.2776523945636951,1.2305628490149123,No policy,1.0,False,0.01,0.09986868472645205,0.1301441446108243,0.1365754190258924,0.0,False
baseline,baseline,12,2055,32,-0.1203616292227872,0.5767204132791236,0.9112199365876875,0.9058370660900094,0.9058370660900096,0.8021597822638007,0.03192100539122167,0.05050995072447975,0.055225889583647575,0.06096669219115395,0.028674686568492896,0.026428691705935994,0.8983014857163141,0.0,1.0,0.028674686568492896,0.028674686568492896,0.08024809606981041,5.251176475432398,5.79704305775296,5.2511358815531795,7.73049491283517e-06,-5.551115123125783e-16,0.48566250845676096,0.4915717141060423,0.4986857335322291,0.4629398754065162,"[0.026894445505118925, 0.027077049131181134, 0.0288768439121613, 0.026298042658879795]","[0.0251095481784972, 0.025178306240959125, 0.026394075307524592, 0.0240523574878475]",0.028167368638250673,0.0,0.0,False,0.0,0.0,0,0.9058370660900094,0.26071862811911484,1.1665556942091242,No policy,1.0,False,0.01,0.09556918709381332,0.12113842668451938,0.13373092272257245,0.0,False
baseline,baseline,13,2059,36,-0.1203616292227872,0.5465222037417741,0.8635066773617349,0.8542636565886913,0.8542636565886915,0.7564891904047694,0.028674686568492896,0.04629337132335913,0.05063752555049503,0.059276225975367525,0.026894445505118925,0.0251095481784972,0.9379159364437462,0.0,1.0,0.026894445505118925,0.026894445505118925,0.0773927569290597,5.076218829154423,5.942215602879742,5.07619180211542,5.324274585525865e-06,4.440892098500626e-16,0.4865776005529358,0.49191288605666467,0.4988225338026092,0.46635112701987486,"[0.027077049131181134, 0.0288768439121613, 0.026298042658879795, 0.02411310740499763]","[0.025178306240959125, 0.026394075307524592, 0.0240523574878475, 0.022044462534932918]",0.026312256999332245,0.0,0.0,False,0.0,0.0,0,0.8542636565886913,0.24346495179102745,1.0977286083797186,No policy,1.0,False,0.01,0.09056499741936816,0.11097065204739853,0.1299021106557894,0.0,False
