parameter,value,lower_bound,upper_bound,transform,is_free_parameter,status,near_bound
beta_annual,0.9950677218974446,0.94,0.9995,discount,True,estimated_free_transition_parameter,False
tenure_choice_kappa,0.3000000000000003,0.005,10.0,log,True,estimated_free_transition_parameter,False
joint_nest_lambda,0.05000000000000001,0.02,1.0,log,True,estimated_free_transition_parameter,False
chi,1.1320796782633646,0.1,5.0,log,True,estimated_free_transition_parameter,False
H0,12.348460115283471,0.2,80.0,log,True,estimated_free_transition_parameter,False
theta0,0.557572248610223,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
theta1,0.1470303151793172,0.02,16.0,log,True,estimated_free_transition_parameter,True
hbar_child_rooms,0.2915214985814915,0.1,1.8,log,True,estimated_free_transition_parameter,False
first_birth_fixed_cost,4.2244037242792425,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
hbar_first_child_jump,0.31498293766533814,0.0,2.0,softzero,True,estimated_free_transition_parameter,False
psi_child_change_2023,-0.0028840210822113632,-1.5,0.2,asinh,True,estimated_free_transition_parameter,False
psi_child_2007,0.4738463490695347,nan,nan,derived,False,externally_normalized_to_old_completed_fertility,False
psi_child_2023,0.47096232798732335,nan,nan,derived,False,derived_from_old_intercept_and_transition_coordinate,False
housing_supply_elasticity,0.63,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
