moment,beta_annual,tenure_choice_kappa,joint_nest_lambda,chi,H0,theta0,theta1,hbar_child_rooms,first_birth_fixed_cost,hbar_first_child_jump,psi_child_change_2023
tfr,-2.0247423046023587,46.55392515367051,24.007246235507903,-0.06961188133507172,-0.7921314087512129,-0.02638236825367597,0.0200867450014615,0.05451172179619908,1.2969024242659406,0.020411692804890882,26.550036975451572
childless_rate,-1.5479473092948206,-145.16232224075156,-75.1024961547273,-0.627741189702066,-2.657205198751672,0.025699449341005303,-0.029486373541882802,0.8601691314789012,33.092169134088195,2.277103032917209,-18.22630465427888
mean_age_first_birth,-3.926848539455827,60.424263093808726,29.02318672854246,0.49394278949912784,-1.9971793745791853,-0.15930562152751654,-0.007388228529710729,0.8118786676997354,-14.630035353605166,1.5089457329319904,11.476216368303199
share_first_births_age30plus,-3.883910453313767,65.64141228159987,32.63665171803945,0.26868984972727095,-1.6471477197277724,-0.13113306721712906,-0.006526471622025903,0.5899583585289166,-14.52612441035148,1.0486384446462218,13.674390275195364
housing_increment_0to1,-14.51733227786042,-11.631287939652323,-11.19562708199124,-12.673148810009002,-4.745173746263899,3.313175084610599,-1.4567281558747565,2.601886113605484,-1.2649600822159497,10.200881067812505,2.242021389066759
prime30_55_parent_3plus_minus_1to2_mean_rooms,9.742898088435783,7.0816265246314165,3.7527717489703996,-5.931225582483072,-118.51496343460208,4.502164912992575,-1.888416089215669,30.249849351009185,-13.340689060986373,-0.33224014578229877,-0.9051821034222873
own_family_gap,-0.08485585272230016,-9.455854834432028,-0.41403588197919555,-0.9895451750616672,-2.3523922438746014,-0.03800797110157102,-0.0034553790264407903,-0.008610897064833038,-0.3212537451042797,0.07242479003804332,0.18721375369837612
own_rate,0.04384982389798667,0.014782229801784256,-0.0509117261436723,2.5943614059106572,0.298678151114291,0.024176829045080384,0.0024062002965492294,-0.022917988389152738,0.0008175702448293229,-0.035906705547446766,-0.0028644571137496607
aggregate_mean_occupied_rooms_18_85,0.5421158863260291,1.2608999504042835,0.9166270533494506,-0.026134291438196885,25.052652291456923,-0.6710123690620287,0.11179308797249447,0.5668958049539866,-0.05579552821638251,0.611603193528192,0.2885652502847615
aggregate_wealth_to_annual_gross_labor_earnings,8.741251804821637,1.2214715586743776,0.6125867571849474,0.9827000363138391,2.071573881901045,8.223106653573927,-0.5420003221164099,-0.2782407697837382,-0.027133717360557957,-0.23347475164337597,-0.029786132096861456
annual_bequest_flow_to_aggregate_wealth,-1.003034481847282,-0.6663433436324407,-0.32854173343199167,2.120426141018598,3.490602394588133,30.708761151242307,-1.9511247204811362,0.004553117133636593,0.060202959678695475,-0.006556323542784608,0.03110979299927045
old_total_wealth_to_annual_income_p90_p50_7684,1.2105717644132592,1.1241012931955943,0.5677798044406099,0.39543867665339455,-36.3280487082503,-0.4736933971545849,-0.05856250935022331,-0.31510857050071484,-0.021920552368993998,0.3257968540389584,0.0
