age,tenure,mass,budget_excess_mass,budget_excess_share,consumption_floor_mass,weighted_positive_budget_gap,maximum_occupied_excess
18.0,0,0.012287032984840393,0.0,0.0,0.0,2.2337199010946847e-19,4.440892098500626e-16
18.0,1,0.0007963077027724609,0.0,0.0,0.0,7.216473785350328e-21,4.440892098500626e-16
18.0,2,0.0008949696782477018,0.0,0.0,0.0,0.0,0.0
18.0,3,0.00011867879377223389,0.0,0.0,0.0,0.0,0.0
18.0,4,6.270699131938356e-05,0.0,0.0,0.0,0.0,0.0
18.0,5,0.00017742589818706573,0.0,0.0,0.0,0.0,0.0
22.0,0,0.026246876533364046,0.0,0.0,0.0,4.2275128720882665e-19,3.552713678800501e-15
22.0,1,0.008821664890944048,0.0,0.0,0.0,7.015119067087243e-20,4.440892098500626e-16
22.0,2,0.006284287506435904,0.0,0.0,0.0,7.114887220769556e-20,4.440892098500626e-16
22.0,3,0.0014836513723562083,0.0,0.0,0.0,1.2285617573022394e-19,4.440892098500626e-16
22.0,4,0.00045628174763818146,0.0,0.0,0.0,6.577165065816838e-20,8.881784197001252e-16
22.0,5,0.0014484660771305884,0.0,0.0,0.0,8.852533949087277e-21,1.7763568394002505e-15
26.0,0,0.03415194397657719,0.0,0.0,0.0,3.125651961275592e-19,3.552713678800501e-15
26.0,1,0.012338674586064247,0.0,0.0,0.0,4.0374557151448885e-20,4.440892098500626e-16
26.0,2,0.01123869110569398,0.0,0.0,0.0,1.0060998322574656e-19,1.7763568394002505e-15
26.0,3,0.0034200124543344325,0.0,0.0,0.0,7.701424650477778e-20,1.7763568394002505e-15
26.0,4,0.000797301697578052,0.0,0.0,0.0,3.2771853280036513e-21,1.7763568394002505e-15
26.0,5,0.0031560915750238495,0.0,0.0,0.0,1.4587996691066918e-20,1.7763568394002505e-15
30.0,0,0.03931864492484891,0.0,0.0,0.0,5.54561619598261e-19,3.552713678800501e-15
30.0,1,0.010624610944284983,0.0,0.0,0.0,7.680604298113124e-21,4.440892098500626e-16
30.0,2,0.015215040824236976,0.0,0.0,0.0,2.6057562832812995e-19,1.7763568394002505e-15
30.0,3,0.006524091650456931,0.0,0.0,0.0,1.2707269064922138e-19,1.7763568394002505e-15
30.0,4,0.0012012223049970754,0.0,0.0,0.0,3.5998508140914185e-21,1.7763568394002505e-15
30.0,5,0.004928069541688125,0.0,0.0,0.0,5.3545693379150636e-20,1.7763568394002505e-15
34.0,0,0.04080803852748624,0.0,0.0,0.0,6.50800969192468e-19,3.552713678800501e-15
34.0,1,0.009173516701646733,0.0,0.0,0.0,4.798746199244311e-20,4.440892098500626e-16
34.0,2,0.014778074889544138,0.0,0.0,0.0,1.2143810635167408e-19,4.440892098500626e-16
34.0,3,0.00918289152651364,0.0,0.0,0.0,2.1418027575599718e-19,1.7763568394002505e-15
34.0,4,0.0019037461388536996,0.0,0.0,0.0,4.9144622912001186e-20,1.7763568394002505e-15
34.0,5,0.00571808406621962,0.0,0.0,0.0,6.246486131767401e-20,7.105427357601002e-15
38.0,0,0.0412129640494189,0.0,0.0,0.0,5.210783940014951e-19,3.552713678800501e-15
38.0,1,0.007527576783295949,0.0,0.0,0.0,5.602564049828457e-20,2.220446049250313e-16
38.0,2,0.013516283416854296,0.0,0.0,0.0,9.42681311234283e-20,4.440892098500626e-16
38.0,3,0.011585257414893392,0.0,0.0,0.0,2.5563009699274786e-19,8.881784197001252e-16
38.0,4,0.0025542150889927015,0.0,0.0,0.0,7.558890735550815e-21,1.7763568394002505e-15
38.0,5,0.006415577827108864,0.0,0.0,0.0,1.7552256703561828e-19,7.105427357601002e-15
42.0,0,0.04047756049018629,0.0,0.0,0.0,5.143994380228982e-19,3.552713678800501e-15
42.0,1,0.006660636095398614,0.0,0.0,0.0,7.490578542588874e-20,2.220446049250313e-16
42.0,2,0.011947160491196209,0.0,0.0,0.0,1.1462752519100744e-19,4.440892098500626e-16
42.0,3,0.012328643497441682,0.0,0.0,0.0,2.273251621449839e-19,8.881784197001252e-16
