age,tenure,mass,budget_excess_mass,budget_excess_share,consumption_floor_mass,weighted_positive_budget_gap,maximum_occupied_excess
18.0,0,0.012283269952344945,0.0,0.0,0.0,2.822287516544373e-19,8.881784197001252e-16
18.0,1,0.001020418547264059,0.0,0.0,2.0765662333942883e-06,1.7659632303137645e-21,4.440892098500626e-16
18.0,2,0.0006546791718529392,0.0,0.0,0.0,0.0,0.0
18.0,3,0.00013916583644722584,0.0,0.0,0.0,0.0,0.0
18.0,4,5.812426429598379e-05,0.0,0.0,0.0,0.0,0.0
18.0,5,0.00018146427693404047,0.0,0.0,0.0,2.7820588202316845e-20,4.440892098500626e-16
22.0,0,0.025683847511046184,0.0,0.0,0.0,8.483306875731238e-19,8.881784197001252e-16
22.0,1,0.011156265625564495,0.0,0.0,1.7519942480610848e-05,7.590215820912401e-20,4.440892098500626e-16
22.0,2,0.0044344955689784105,0.0,0.0,0.0,1.2299920644681281e-20,8.881784197001252e-16
22.0,3,0.001284468984806419,0.0,0.0,0.0,5.49485391711023e-20,8.881784197001252e-16
22.0,4,0.0006366046559307541,0.0,0.0,0.0,2.486400357969252e-21,1.7763568394002505e-15
22.0,5,0.0015455457815425734,0.0,0.0,0.0,6.932522094458862e-20,1.7763568394002505e-15
26.0,0,0.03353264693010857,0.0,0.0,0.0,6.209026993601531e-19,8.881784197001252e-16
26.0,1,0.015339329504845534,0.0,0.0,0.0,1.9427904191311163e-19,4.440892098500626e-16
26.0,2,0.008464561878098608,0.0,0.0,0.0,4.8530054595144375e-20,1.7763568394002505e-15
26.0,3,0.003680050280424553,0.0,0.0,0.0,1.048491244777959e-19,8.881784197001252e-16
26.0,4,0.0008327293575342811,0.0,0.0,0.0,2.6719933557143966e-20,1.7763568394002505e-15
26.0,5,0.003253397444260087,0.0,0.0,0.0,3.8199515994469046e-20,1.7763568394002505e-15
30.0,0,0.03915522236842228,0.0,0.0,0.0,6.087036194891909e-19,7.105427357601002e-15
30.0,1,0.012541533813602098,0.0,0.0,0.0,3.534432422685654e-20,4.440892098500626e-16
30.0,2,0.012733089205972702,0.0,0.0,0.0,8.830449195238943e-20,1.7763568394002505e-15
30.0,3,0.007032772429142127,0.0,0.0,0.0,1.4703798228785362e-19,8.881784197001252e-16
30.0,4,0.0014888766968084522,0.0,0.0,0.0,5.382047369625061e-20,1.7763568394002505e-15
30.0,5,0.00486018567656517,0.0,0.0,0.0,7.996311831419972e-20,1.7763568394002505e-15
34.0,0,0.04084001998450545,0.0,0.0,0.0,1.4092014799489076e-18,7.105427357601002e-15
34.0,1,0.0108478067146467,0.0,0.0,0.0,3.33659320741863e-20,4.440892098500626e-16
34.0,2,0.012324554453133026,0.0,0.0,0.0,1.8943593626648105e-19,8.881784197001252e-16
34.0,3,0.009844400405556347,0.0,0.0,0.0,2.299504026895722e-19,8.881784197001252e-16
34.0,4,0.0019279730804765613,0.0,0.0,0.0,1.247169533384432e-19,1.7763568394002505e-15
34.0,5,0.005779597211945005,0.0,0.0,0.0,1.130059180181166e-19,7.105427357601002e-15
38.0,0,0.04136739406632583,0.0,0.0,0.0,2.5536823027973394e-18,7.105427357601002e-15
38.0,1,0.008562117148008915,0.0,0.0,0.0,4.167547031228452e-20,4.440892098500626e-16
38.0,2,0.011786542226907216,0.0,0.0,0.0,1.778675872588753e-19,8.881784197001252e-16
38.0,3,0.012003332643851984,0.0,0.0,0.0,2.4671913853910167e-19,4.440892098500626e-16
38.0,4,0.0027231884396696736,0.0,0.0,0.0,2.7534342726526476e-19,1.7763568394002505e-15
38.0,5,0.006369300055800965,0.0,0.0,0.0,2.3176314361654674e-19,7.105427357601002e-15
42.0,0,0.04066500558268805,0.0,0.0,0.0,3.168442792282363e-18,7.105427357601002e-15
42.0,1,0.007211998289782104,0.0,0.0,0.0,4.3322656765426226e-20,4.440892098500626e-16
42.0,2,0.010959533107738855,0.0,0.0,0.0,1.7831011570913326e-19,8.881784197001252e-16
42.0,3,0.012546550085059793,0.0,0.0,0.0,1.9857684962284867e-19,4.440892098500626e-16
42.0,4,0.0034080531001285004,0.0,0.0,0.0,3.9356264227665136e-19,1.7763568394002505e-15
42.0,5,0.006688689908386415,0.0,0.0,0.0,3.949842160613181e-19,7.105427357601002e-15
46.0,0,0.037501676802822986,0.0,0.0,2.426372670781678e-10,5.205309128106254e-18,7.105427357601002e-15
46.0,1,0.006163285320499823,0.0,0.0,0.0,6.01721926958156e-20,4.440892098500626e-16
46.0,2,0.00983963278536303,0.0,0.0,0.0,1.7927540362844908e-19,8.881784197001252e-16
46.0,3,0.011466227082168793,0.0,0.0,0.0,1.992453954174439e-19,4.440892098500626e-16
46.0,4,0.0037724650173539573,0.0,0.0,0.0,2.5531328202452656e-19,1.7763568394002505e-15
46.0,5,0.006419697411855866,0.0,0.0,0.0,4.996846941211066e-20,1.7763568394002505e-15
50.0,0,0.04024265043132466,0.0,0.0,0.0,7.108310276474347e-18,7.105427357601002e-15
50.0,1,0.006182889379011599,0.0,0.0,0.0,4.3974528240103796e-20,4.440892098500626e-16
50.0,2,0.010427773459355206,0.0,0.0,0.0,2.2313606126151607e-19,8.881784197001252e-16
50.0,3,0.01206525743085518,0.0,0.0,0.0,2.305431887171051e-19,4.440892098500626e-16
50.0,4,0.004535849705703425,0.0,0.0,0.0,3.1319743225101636e-19,1.7763568394002505e-15
50.0,5,0.007205776777604825,0.0,0.0,0.0,4.47073497815263e-20,1.7763568394002505e-15
54.0,0,0.03920853129251463,0.0,0.0,0.0,8.565780109771439e-18,7.105427357601002e-15
54.0,1,0.00563629087144508,0.0,0.0,0.0,2.8896291023863266e-20,4.440892098500626e-16
54.0,2,0.010033310464595158,0.0,0.0,0.0,2.0894720122723218e-19,8.881784197001252e-16
54.0,3,0.011365851342116502,0.0,0.0,0.0,1.8496404957961686e-19,4.440892098500626e-16
54.0,4,0.005013085634340291,0.0,0.0,0.0,4.292699375848249e-19,1.7763568394002505e-15
54.0,5,0.00732933329191065,0.0,0.0,0.0,5.634658419091179e-21,8.881784197001252e-16
58.0,0,0.04313918007489712,0.0,0.0,0.0,9.39734597551203e-18,7.105427357601002e-15
58.0,1,0.005676867184147495,0.0,0.0,0.0,3.073510366565396e-20,4.440892098500626e-16
58.0,2,0.010997176749357454,0.0,0.0,0.0,2.4016657419825865e-19,8.881784197001252e-16
58.0,3,0.012295899710872488,0.0,0.0,0.0,1.8281666293476216e-19,4.440892098500626e-16
58.0,4,0.005842608019297587,0.0,0.0,0.0,1.7514130146862913e-18,1.7763568394002505e-15
58.0,5,0.00850929361935782,0.0,0.0,0.0,7.5525789254048275e-19,7.105427357601002e-15
62.0,0,0.04391849339243475,0.0,0.0,0.0,1.1207865977145031e-17,7.105427357601002e-15
62.0,1,0.00529192044951342,0.0,0.0,0.0,6.427345538425493e-20,4.440892098500626e-16
62.0,2,0.011316561270560056,0.0,0.0,0.0,2.5185565160091953e-19,8.881784197001252e-16
