scenario,period,years_from_start,parity_state,child_state,child_state_label,household_mass,household_share,child_units
task_001,0,0.0,0,0,no_children_at_home,0.20724248042090102,0.2072424804209006,0.0
task_001,0,0.0,0,1,no_children_at_home,0.0,0.0,0.0
task_001,0,0.0,0,2,no_children_at_home,0.0,0.0,0.0
task_001,0,0.0,0,3,no_children_at_home,0.0,0.0,0.0
task_001,0,0.0,1,0,no_children_at_home,0.10457331200396039,0.10457331200396018,0.0
task_001,0,0.0,1,1,active_child_stage_1,0.10974184390578103,0.1097418439057808,0.10974184390578103
task_001,0,0.0,1,2,no_children_at_home,0.0,0.0,0.0
task_001,0,0.0,1,3,no_children_at_home,0.0,0.0,0.0
task_001,0,0.0,2,0,no_children_at_home,0.13665146144280518,0.1366514614428049,0.0
task_001,0,0.0,2,1,active_child_stage_1,0.1135299786599721,0.11352997865997187,0.1135299786599721
task_001,0,0.0,2,2,active_child_stage_2,0.05997063869607775,0.05997063869607763,0.1199412773921555
task_001,0,0.0,2,3,no_children_at_home,0.0,0.0,0.0
task_001,0,0.0,3,0,no_children_at_home,0.11101175565687052,0.1110117556568703,0.0
task_001,0,0.0,3,1,active_child_stage_1,0.09094705958913986,0.09094705958913968,0.09094705958913986
task_001,0,0.0,3,2,active_child_stage_2,0.05163415489784274,0.051634154897842635,0.10326830979568548
task_001,0,0.0,3,3,active_child_stage_3,0.014697314726651457,0.014697314726651428,0.04409194417995437
task_001,1,4.0,0,0,no_children_at_home,0.21413356626351326,0.20797558130112503,0.0
task_001,1,4.0,0,1,no_children_at_home,0.0,0.0,0.0
task_001,1,4.0,0,2,no_children_at_home,0.0,0.0,0.0
task_001,1,4.0,0,3,no_children_at_home,0.0,0.0,0.0
task_001,1,4.0,1,0,no_children_at_home,0.1112539489214755,0.10805454325883562,0.0
task_001,1,4.0,1,1,active_child_stage_1,0.10354168960373701,0.10056407064055474,0.10354168960373701
task_001,1,4.0,1,2,no_children_at_home,0.0,0.0,0.0
task_001,1,4.0,1,3,no_children_at_home,0.0,0.0,0.0
task_001,1,4.0,2,0,no_children_at_home,0.14801899508810193,0.14376231192625397,0.0
