parameter,value,lower_bound,upper_bound,transform,is_free_parameter,status,near_bound
beta_annual,0.9962033612115243,0.94,0.9995,discount,True,estimated_free_transition_parameter,False
tenure_choice_kappa,1.981087730070134,0.005,10.0,log,True,estimated_free_transition_parameter,False
joint_nest_lambda,0.9951219079689325,0.02,1.0,log,True,estimated_free_transition_parameter,True
chi,1.2334443808343922,0.1,5.0,log,True,estimated_free_transition_parameter,False
H0,11.24913256747049,0.2,80.0,log,True,estimated_free_transition_parameter,False
theta0,0.5792318325551847,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
theta1,0.09057584254020981,0.02,16.0,log,True,estimated_free_transition_parameter,True
hbar_child_rooms,0.2899688154180149,0.1,1.8,log,True,estimated_free_transition_parameter,False
first_birth_fixed_cost,4.873056282926987,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
hbar_first_child_jump,0.38880305374745816,0.0,2.0,softzero,True,estimated_free_transition_parameter,False
psi_child_change_2023,-0.384526494985072,-1.5,0.2,asinh,True,estimated_free_transition_parameter,False
psi_child_2007,0.2626972882636324,nan,nan,derived,False,externally_normalized_to_old_completed_fertility,False
psi_child_2023,-0.1218292067214396,nan,nan,derived,False,derived_from_old_intercept_and_transition_coordinate,False
housing_supply_elasticity,0.63,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
