age,tenure,mass,budget_excess_mass,budget_excess_share,consumption_floor_mass,weighted_positive_budget_gap,maximum_occupied_excess
18.0,0,0.054342267812879326,0.0,0.0,0.0,8.231734169579397e-20,3.552713678800501e-15
18.0,1,0.0029709837125977408,0.0,0.0,0.0,2.481997449684516e-20,4.440892098500626e-16
18.0,2,0.00296559037995789,0.0,0.0,0.0,8.7073824704413e-20,4.440892098500626e-16
18.0,3,0.0017346003443464452,0.0,0.0,0.0,2.864525597401234e-20,2.220446049250313e-16
18.0,4,0.00020605965599532628,0.0,0.0,0.0,0.0,0.0
18.0,5,0.0011551684423910464,0.0,0.0,0.0,0.0,0.0
22.0,0,0.008413897803071543,0.0,0.0,0.0,1.1822383221985468e-19,3.552713678800501e-15
22.0,1,0.002465265408644319,0.0,0.0,0.0,2.2126742911111896e-20,2.220446049250313e-16
22.0,2,0.0018073269652439958,0.0,0.0,0.0,9.598252359704563e-21,4.440892098500626e-16
22.0,3,0.0008007788219722405,0.0,0.0,0.0,1.161635359642943e-20,4.440892098500626e-16
22.0,4,0.0002592278066821406,0.0,0.0,0.0,4.897978077688586e-21,8.881784197001252e-16
22.0,5,0.000590625243525009,0.0,0.0,0.0,2.7303835839098676e-21,1.7763568394002505e-15
26.0,0,0.023505978327521507,0.0,0.0,0.0,5.936919919410044e-19,3.552713678800501e-15
26.0,1,0.0065257829765010345,0.0,0.0,0.0,6.84642780552068e-21,2.220446049250313e-16
26.0,2,0.006972983151175114,0.0,0.0,0.0,1.2936072627298667e-20,1.7763568394002505e-15
26.0,3,0.004270079164983083,0.0,0.0,0.0,7.359291208758767e-20,1.7763568394002505e-15
26.0,4,0.0008377734514485601,0.0,0.0,0.0,2.7101836440213034e-21,8.881784197001252e-16
26.0,5,0.0026286310562397427,0.0,0.0,0.0,9.690227459882226e-21,1.7763568394002505e-15
30.0,0,0.03304177795311129,0.0,0.0,0.0,1.766388690012994e-18,3.552713678800501e-15
30.0,1,0.00752075120924869,0.0,0.0,0.0,1.524159880933321e-20,4.440892098500626e-16
30.0,2,0.00951137630360767,0.0,0.0,0.0,4.2276114838433813e-20,4.440892098500626e-16
30.0,3,0.008838798580051594,0.0,0.0,0.0,1.5214787757932474e-19,1.7763568394002505e-15
30.0,4,0.0014825169122173229,0.0,0.0,0.0,6.025670638892016e-21,8.881784197001252e-16
30.0,5,0.004707494437035026,0.0,0.0,0.0,2.4876502875185284e-20,1.7763568394002505e-15
34.0,0,0.039128562339674926,0.0,0.0,0.0,2.2531278724703785e-18,3.552713678800501e-15
34.0,1,0.007206880882428383,0.0,0.0,0.0,4.77791075893206e-20,2.220446049250313e-16
34.0,2,0.011015844103016072,0.0,0.0,2.0758438130642542e-19,8.97430490397834e-20,4.440892098500626e-16
34.0,3,0.011634268209513979,0.0,0.0,0.0,2.2838713240294913e-19,1.7763568394002505e-15
34.0,4,0.002607382923877907,0.0,0.0,0.0,1.1410548984857776e-20,8.881784197001252e-16
34.0,5,0.006218741732001538,0.0,0.0,0.0,4.8741458349844255e-20,1.7763568394002505e-15
38.0,0,0.04082926455539555,0.0,0.0,0.0,2.5704374711505813e-18,3.552713678800501e-15
38.0,1,0.006447018665758429,0.0,0.0,0.0,3.858738234119142e-20,2.220446049250313e-16
38.0,2,0.010376985621945953,0.0,0.0,6.243048566787951e-20,7.15527012682204e-20,4.440892098500626e-16
38.0,3,0.012917875479451564,0.0,0.0,0.0,2.980004936026065e-19,4.440892098500626e-16
38.0,4,0.003933441025191443,0.0,0.0,0.0,9.004001660497477e-21,8.881784197001252e-16
38.0,5,0.0070597665025181324,0.0,0.0,0.0,7.310450637696856e-20,1.7763568394002505e-15
42.0,0,0.04138457492179325,0.0,0.0,0.0,3.269317104150375e-18,3.552713678800501e-15
42.0,1,0.005905446498139427,0.0,0.0,0.0,5.881842459235058e-20,2.220446049250313e-16
42.0,2,0.009384521249770364,0.0,0.0,0.0,5.1466790793887367e-20,4.440892098500626e-16
42.0,3,0.013259135208749512,0.0,0.0,0.0,2.2565652017586234e-19,8.881784197001252e-16
42.0,4,0.005138302460489732,0.0,0.0,0.0,1.0808077599765544e-20,8.881784197001252e-16
42.0,5,0.007739894241622733,0.0,0.0,0.0,1.019391456263918e-19,1.7763568394002505e-15
46.0,0,0.04069099495474545,3.0385645839350117e-12,7.467412844818259e-11,3.0385645839350117e-12,3.435071324227899e-14,0.011303619935462222
46.0,1,0.005415716490342084,0.0,0.0,0.0,2.161591041922581e-20,2.220446049250313e-16
46.0,2,0.008543404027798832,0.0,0.0,0.0,2.2702602801300247e-20,4.440892098500626e-16
46.0,3,0.012866839591422237,0.0,0.0,0.0,2.0297526767534296e-19,4.440892098500626e-16
46.0,4,0.005819548039590108,0.0,0.0,0.0,1.0454954914286022e-20,8.881784197001252e-16
46.0,5,0.00814332696988576,0.0,0.0,0.0,9.873645163221053e-20,1.7763568394002505e-15
50.0,0,0.03752807692310382,7.044655978600705e-13,1.8771694571601474e-11,7.044655978600705e-13,1.403659537456608e-14,3.552713678800501e-15
50.0,1,0.0046298497503649136,0.0,0.0,0.0,6.879098850110425e-21,2.220446049250313e-16
50.0,2,0.007698956327073787,0.0,0.0,0.0,2.0801362618542602e-20,4.440892098500626e-16
50.0,3,0.01135117113002213,0.0,0.0,0.0,2.933211007299006e-19,4.440892098500626e-16
50.0,4,0.005974425924690132,0.0,0.0,9.615860839745223e-16,7.902524013610259e-21,8.881784197001252e-16
50.0,5,0.007980504364808806,0.0,0.0,0.0,8.392954584396485e-20,1.7763568394002505e-15
54.0,0,0.040269826264605145,0.0,0.0,0.0,5.390180755979356e-18,3.552713678800501e-15
54.0,1,0.004582739022713225,0.0,0.0,2.5198459671404308e-08,1.9085696064633825e-20,2.220446049250313e-16
54.0,2,0.00819173726420954,0.0,0.0,0.0,2.3397644655073384e-20,4.440892098500626e-16
54.0,3,0.011747780674917507,0.0,0.0,0.0,2.343120126346469e-19,8.881784197001252e-16
54.0,4,0.006684302134926692,0.0,0.0,0.0,7.878222007902634e-21,8.881784197001252e-16
54.0,5,0.009183811822482303,0.0,0.0,0.0,6.595398056750345e-20,8.881784197001252e-16
58.0,0,0.03922890694706102,0.0,0.0,0.0,5.409819936848054e-18,3.552713678800501e-15
58.0,1,0.004043105321339763,0.0,0.0,0.0,1.377936275162643e-20,1.1102230246251565e-16
58.0,2,0.00802120545242324,0.0,0.0,0.0,4.6917833364512116e-20,4.440892098500626e-16
58.0,3,0.010821528571868829,0.0,0.0,0.0,1.9868047859905881e-19,4.440892098500626e-16
58.0,4,0.007010374900393278,0.0,0.0,0.0,7.519934374362653e-21,8.881784197001252e-16
58.0,5,0.00946128170383572,0.0,0.0,0.0,3.150733270762986e-20,8.881784197001252e-16
62.0,0,0.04307030803117665,0.0,0.0,0.0,6.262164085208087e-18,3.552713678800501e-15
62.0,1,0.003896565663953908,0.0,0.0,0.0,4.4894410562578367e-20,1.1102230246251565e-16
62.0,2,0.009084748664319506,0.0,0.0,0.0,2.768310180591254e-20,4.440892098500626e-16
62.0,3,0.011654184485775406,0.0,0.0,0.0,2.171318550640654e-19,4.440892098500626e-16
62.0,4,0.007715489198141921,0.0,0.0,0.0,4.818293793581975e-21,4.440892098500626e-16
62.0,5,0.011039729314554443,0.0,0.0,0.0,3.3814001124727974e-20,8.881784197001252e-16
66.0,0,0.04398569566752683,0.0,0.0,0.0,9.353286290846327e-18,3.552713678800501e-15
66.0,1,0.0036212117573556774,0.0,0.0,0.0,0.0,0.0
66.0,2,0.009066494925894548,0.0,0.0,0.0,1.0334036751323308e-20,4.440892098500626e-16
66.0,3,0.011694769604233634,0.0,0.0,0.0,4.555868915558726e-19,4.440892098500626e-16
66.0,4,0.00807075526998722,0.0,0.0,0.0,3.7570328164794915e-23,1.1102230246251565e-16
66.0,5,0.011630850731562906,0.0,0.0,0.0,1.8192062598518538e-19,8.881784197001252e-16
70.0,0,0.03750073197543812,0.0,0.0,0.0,7.02593678874626e-18,3.552713678800501e-15
70.0,1,0.000938824033364758,0.0,0.0,0.0,0.0,0.0
70.0,2,0.009743615641954261,0.0,0.0,0.0,2.811983840635043e-20,4.440892098500626e-16
70.0,3,0.010017296418344304,0.0,0.0,0.0,2.183099503413601e-19,4.440892098500626e-16
70.0,4,0.006745477913083599,0.0,0.0,0.0,3.671819270316602e-22,8.881784197001252e-16
70.0,5,0.010192618495751097,0.0,0.0,0.0,4.315293647126393e-19,8.881784197001252e-16
74.0,0,0.031897745160219676,0.0,0.0,0.0,9.19935579880912e-18,3.552713678800501e-15
74.0,1,2.9908741821387395e-06,0.0,0.0,0.0,0.0,0.0
74.0,2,0.008928208252805405,0.0,0.0,0.0,3.115870984751698e-20,4.440892098500626e-16
74.0,3,0.008633282191232472,0.0,0.0,0.0,4.792793716621557e-21,1.1102230246251565e-16
74.0,4,0.0059685404699155314,0.0,0.0,0.0,6.48472257518117e-22,8.881784197001252e-16
74.0,5,0.008522000093376432,0.0,0.0,0.0,1.8807068767597787e-19,8.881784197001252e-16
78.0,0,0.025233224003095984,0.0,0.0,0.0,1.4908202575160685e-18,3.552713678800501e-15
78.0,1,0.0,0.0,0.0,0.0,0.0,0.0
78.0,2,0.006891022196199268,0.0,0.0,0.0,1.1082758805390485e-21,2.220446049250313e-16
78.0,3,0.0069100847691255084,0.0,0.0,0.0,3.472611433640202e-20,1.1102230246251565e-16
78.0,4,0.004707257565466547,0.0,0.0,0.0,3.062080521459931e-22,8.881784197001252e-16
78.0,5,0.006855991091470057,0.0,0.0,0.0,3.0429664008572846e-19,1.7763568394002505e-15
82.0,0,0.016304883638858327,0.0,0.0,0.0,1.8752951351468046e-20,3.552713678800501e-15
82.0,1,2.9717216285349467e-15,0.0,0.0,0.0,0.0,0.0
82.0,2,0.003865459054100466,0.0,0.0,0.0,3.15522918407171e-26,1.1102230246251565e-16
82.0,3,0.004524156487606629,0.0,0.0,0.0,0.0,0.0
82.0,4,0.0032334220330830356,0.0,0.0,0.0,1.0196848607869243e-22,4.440892098500626e-16
82.0,5,0.004881910233406313,0.0,0.0,0.0,2.3254580238340315e-19,8.881784197001252e-16
