case_id,label,parameter,value,lower_bound,upper_bound,transform,is_free_parameter,status,near_bound
1,all_minus,beta_annual,0.9950761018738447,0.94,0.9995,discount,True,estimated_free_transition_parameter,False
1,all_minus,tenure_choice_kappa,1.981087730070134,0.005,10.0,log,True,estimated_free_transition_parameter,False
1,all_minus,joint_nest_lambda,0.7960975263751461,0.02,1.0,log,True,estimated_free_transition_parameter,False
1,all_minus,chi,1.0383815861947248,0.1,5.0,log,True,estimated_free_transition_parameter,False
1,all_minus,H0,14.454299725858498,0.2,80.0,log,True,estimated_free_transition_parameter,False
1,all_minus,theta0,0.5233007937475963,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
1,all_minus,theta1,0.10635689183849888,0.02,16.0,log,True,estimated_free_transition_parameter,True
1,all_minus,hbar_child_rooms,0.2811923475728702,0.1,1.8,log,True,estimated_free_transition_parameter,False
1,all_minus,first_birth_fixed_cost,4.544052672413152,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
1,all_minus,hbar_first_child_jump,0.36279846063500554,0.0,2.0,softzero,True,estimated_free_transition_parameter,False
1,all_minus,psi_child_change_2023,-0.3305479138993825,-1.5,0.2,asinh,True,estimated_free_transition_parameter,False
1,all_minus,psi_child_2007,0.28322778366234286,nan,nan,derived,False,externally_normalized_to_old_completed_fertility,False
1,all_minus,psi_child_2023,-0.047320130237039626,nan,nan,derived,False,derived_from_old_intercept_and_transition_coordinate,False
1,all_minus,housing_supply_elasticity,0.63,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
2,all_plus,beta_annual,0.9951568505786174,0.94,0.9995,discount,True,estimated_free_transition_parameter,False
2,all_plus,tenure_choice_kappa,2.019092814157399,0.005,10.0,log,True,estimated_free_transition_parameter,False
2,all_plus,joint_nest_lambda,0.8039216035679679,0.02,1.0,log,True,estimated_free_transition_parameter,False
2,all_plus,chi,1.0485868404717789,0.1,5.0,log,True,estimated_free_transition_parameter,False
2,all_plus,H0,14.672435398547007,0.2,80.0,log,True,estimated_free_transition_parameter,False
2,all_plus,theta0,0.5335811485190358,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
2,all_plus,theta1,0.10814921265330618,0.02,16.0,log,True,estimated_free_transition_parameter,True
2,all_plus,hbar_child_rooms,0.2832315824332809,0.1,1.8,log,True,estimated_free_transition_parameter,False
2,all_plus,first_birth_fixed_cost,4.5742491570255,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
2,all_plus,hbar_first_child_jump,0.3670700594870809,0.0,2.0,softzero,True,estimated_free_transition_parameter,False
2,all_plus,psi_child_change_2023,-0.32688089718542696,-1.5,0.2,asinh,True,estimated_free_transition_parameter,False
2,all_plus,psi_child_2007,0.279108878721879,nan,nan,derived,False,externally_normalized_to_old_completed_fertility,False
2,all_plus,psi_child_2023,-0.04777201846354795,nan,nan,derived,False,derived_from_old_intercept_and_transition_coordinate,False
2,all_plus,housing_supply_elasticity,0.63,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
