scenario,period,years_from_start,age,adult_mass,adult_share
task_001,0,0.0,18.0,0.01662266202182005,0.016622662021819994
task_001,0,0.0,22.0,0.04529676719571165,0.0452967671957115
task_001,0,0.0,26.0,0.06359694782099151,0.0635969478209913
task_001,0,0.0,30.0,0.06696559869635454,0.06696559869635432
task_001,0,0.0,34.0,0.07884514768615909,0.07884514768615883
task_001,0,0.0,38.0,0.08072893564675254,0.08072893564675228
task_001,0,0.0,42.0,0.08968295548613264,0.08968295548613234
task_001,0,0.0,46.0,0.09115500500154566,0.09115500500154536
task_001,0,0.0,50.0,0.08684345526254382,0.08684345526254353
task_001,0,0.0,54.0,0.0781247054407287,0.07812470544072844
task_001,0,0.0,58.0,0.07104778040230693,0.07104778040230669
task_001,0,0.0,62.0,0.05661696446968051,0.05661696446968032
task_001,0,0.0,66.0,0.04505232136554871,0.045052321365548556
task_001,0,0.0,70.0,0.03889108604181311,0.038891086041812975
task_001,0,0.0,74.0,0.035483813089043026,0.03548381308904291
task_001,0,0.0,78.0,0.03128817505209692,0.031288175052096814
task_001,0,0.0,82.0,0.023757679320773148,0.023757679320773068
task_001,1,4.0,18.0,0.014657928626055694,0.014236400578706324
task_001,1,4.0,22.0,0.04134496063508271,0.040155975412896325
task_001,1,4.0,26.0,0.061202348026157746,0.059442310375899046
task_001,1,4.0,30.0,0.07031966961099555,0.06829743892768568
task_001,1,4.0,34.0,0.071757282576809,0.06969370947726944
task_001,1,4.0,38.0,0.08005868898083207,0.07775638667739115
task_001,1,4.0,42.0,0.08096598004711439,0.07863758615588474
task_001,1,4.0,46.0,0.08846233054004145,0.08591835898663701
task_001,1,4.0,50.0,0.09159218889089431,0.08895820986694114
task_001,1,4.0,54.0,0.08716677923891608,0.08466006473759154
task_001,1,4.0,58.0,0.07859687693173674,0.07633661295406251
task_001,1,4.0,62.0,0.07182458799978661,0.06975907935230931
task_001,1,4.0,66.0,0.05526612180335846,0.053676796257937864
task_001,1,4.0,70.0,0.044597284354252746,0.04331476984142343
task_001,1,4.0,74.0,0.036209408029254285,0.03516810939479945
task_001,1,4.0,78.0,0.030875476226270897,0.029987569105376147
task_001,1,4.0,82.0,0.024711260462574224,0.02400062189718959
task_001,2,8.0,18.0,0.013218208448327844,0.01237826965969259
task_001,2,8.0,22.0,0.041118584122452416,0.03850574185466547
task_001,2,8.0,26.0,0.06090989552549988,0.05703943274201576
task_001,2,8.0,30.0,0.07263176030201406,0.06801644249983207
task_001,2,8.0,34.0,0.07587591337913722,0.0710544488804193
task_001,2,8.0,38.0,0.07473196898050463,0.06998319536695542
task_001,2,8.0,42.0,0.08151652078379315,0.0763366291223357
task_001,2,8.0,46.0,0.0815780038028158,0.07639420525997413
task_001,2,8.0,50.0,0.08986228817884545,0.08415207247359381
task_001,2,8.0,54.0,0.09060565520316295,0.08484820293023594
task_001,2,8.0,58.0,0.08649200299459103,0.08099594893356556
task_001,2,8.0,62.0,0.07819543501328094,0.07322657866496313
task_001,2,8.0,66.0,0.0697621132737127,0.06532914452875618
task_001,2,8.0,70.0,0.053708360353542435,0.050295512439145464
task_001,2,8.0,74.0,0.04098976874855924,0.03838511193415869
task_001,2,8.0,78.0,0.03203085168675401,0.02999548094268535
task_001,2,8.0,82.0,0.02462858216395544,0.023063581767005768
task_001,3,12.0,18.0,0.013264906903257493,0.012043862126207098
task_001,3,12.0,22.0,0.04044700865422253,0.03672383072129468
task_001,3,12.0,26.0,0.06510089738007484,0.05910831022458464
task_001,3,12.0,30.0,0.07409617669954435,0.06727556723592545
task_001,3,12.0,34.0,0.07834517066626548,0.0711334380738812
task_001,3,12.0,38.0,0.07850247317205822,0.07127626076428466
task_001,3,12.0,42.0,0.0751997200967268,0.06827752862343339
task_001,3,12.0,46.0,0.0804058851453715,0.07300446221666933
task_001,3,12.0,50.0,0.08038966972346562,0.07298973943669228
task_001,3,12.0,54.0,0.08676191546196742,0.07877541510471973
task_001,3,12.0,58.0,0.08999608966251467,0.08171188110840964
task_001,3,12.0,62.0,0.08634760128610264,0.07839923886409922
task_001,3,12.0,66.0,0.07477231736358982,0.06788946863719995
task_001,3,12.0,70.0,0.06653563016232791,0.06041097476218212
task_001,3,12.0,74.0,0.04941729150420115,0.04486839220718734
task_001,3,12.0,78.0,0.03624539729406047,0.03290898088489889
task_001,3,12.0,82.0,0.025555006839105585,0.023202649008330745
task_001,4,16.0,18.0,0.014337122049139246,0.01269617145483894
task_001,4,16.0,22.0,0.044741228127869036,0.03962038556026601
task_001,4,16.0,26.0,0.06510271539527182,0.05765140549135365
task_001,4,16.0,30.0,0.07781168019051314,0.06890576989592975
task_001,4,16.0,34.0,0.08156435185026406,0.0722289307536399
task_001,4,16.0,38.0,0.08281187458056496,0.0733336686796632
task_001,4,16.0,42.0,0.08147983007378458,0.07215408288932144
task_001,4,16.0,46.0,0.07516298442006614,0.06656022972977618
task_001,4,16.0,50.0,0.08066019718385632,0.07142826081255542
task_001,4,16.0,54.0,0.0785864028969234,0.06959182196947905
task_001,4,16.0,58.0,0.08646102535793133,0.07656515710357487
task_001,4,16.0,62.0,0.08806977795656364,0.07798978045201596
task_001,4,16.0,66.0,0.08000900833913702,0.07085160357313887
task_001,4,16.0,70.0,0.06962757948607577,0.06165837774909068
task_001,4,16.0,74.0,0.05717549494547947,0.05063149245400097
task_001,4,16.0,78.0,0.03952768832538087,0.03500355974319132
task_001,4,16.0,82.0,0.026118710068945374,0.023129301688163233
