candidate,period,calendar_year,age_index,age_cell_start,age_cell_midpoint,age,age_mass,birth_flow_first,birth_flow_second,birth_flow_third_bin_entry,birth_flow_explicit,birth_flow_topcode_adjusted,childless_at_risk_mass,first_birth_hazard,first_birth_rate_all_households,age_specific_birth_rate_explicit,age_specific_birth_rate_topcode_adjusted
task_001,0,2007.0,0,18.0,20.0,20.0,0.016622662021820032,0.004582778506835114,0.0,0.0,0.004582778506835114,0.004582778506835114,0.016622662021820018,0.2756946210432151,0.2756946210432149,0.2756946210432149,0.2756946210432149
task_001,0,2007.0,1,22.0,24.0,24.0,0.04529676719571158,0.009758954357055585,0.0036409576976339808,0.0,0.013399912054689565,0.013399912054689565,0.03280869212920713,0.2974502707582152,0.2154448310823273,0.29582490946413914,0.29582490946413914
task_001,0,2007.0,2,26.0,28.0,28.0,0.06359694782099151,0.009641460977535344,0.008819262270702564,0.00089032840979422,0.019351051658032126,0.019887349364353966,0.03236197771133301,0.297925579936326,0.15160257383221426,0.30427642081975675,0.31270917938281506
task_001,0,2007.0,3,30.0,32.0,32.0,0.06696559869635436,0.00636684839717337,0.010947970995789525,0.0028718956562378134,0.020186715049200707,0.021916628456762274,0.023923994120785472,0.26612815422997327,0.095076405215802,0.30144903416356195,0.32728190120631934
task_001,0,2007.0,4,34.0,36.0,36.0,0.078845147686159,0.004286408014687669,0.011676261719492388,0.0065362893990591866,0.02249895913323924,0.026436154637740086,0.020671744514709593,0.20735589159577453,0.05436489296398558,0.28535629386853006,0.33529209359805495
task_001,0,2007.0,5,38.0,40.0,40.0,0.08072893564675247,0.002548935385956424,0.008158316975606997,0.009375685551635995,0.020082937913199414,0.025730470443021007,0.016776819052022413,0.15193198293744217,0.03157399965125096,0.24877000733760202,0.3187267395127125
task_001,0,2007.0,6,42.0,44.0,44.0,0.08968295548613255,0.001907960606659705,0.004586206191726591,0.009070673083717219,0.015564839882103516,0.021028645278044013,0.01580596408540681,0.12071143502225658,0.02127450635761807,0.17355404711779673,0.23447761242988496
task_001,0,2007.0,7,46.0,48.0,48.0,0.09115500500154551,0.0,0.0,0.0,0.0,0.0,0.014126124298084656,0.0,0.0,0.0,0.0
task_001,0,2007.0,8,50.0,52.0,52.0,0.08684345526254375,0.0,0.0,0.0,0.0,0.0,0.013457971325798866,0.0,0.0,0.0,0.0
task_001,0,2007.0,9,54.0,56.0,56.0,0.07812470544072861,0.0,0.0,0.0,0.0,0.0,0.012106842622500835,0.0,0.0,0.0,0.0
task_001,0,2007.0,10,58.0,60.0,60.0,0.07104778040230683,0.0,0.0,0.0,0.0,0.0,0.011010144501105159,0.0,0.0,0.0,0.0
task_001,0,2007.0,11,62.0,64.0,64.0,0.056616964469680384,0.0,0.0,0.0,0.0,0.0,0.008773827366532094,0.0,0.0,0.0,0.0
task_001,0,2007.0,12,66.0,68.0,68.0,0.045052321365548625,0.0,0.0,0.0,0.0,0.0,0.006981675789675694,0.0,0.0,0.0,0.0
task_001,0,2007.0,13,70.0,72.0,72.0,0.038891086041813024,0.0,0.0,0.0,0.0,0.0,0.006026880427518651,0.0,0.0,0.0,0.0
task_001,0,2007.0,14,74.0,76.0,76.0,0.03548381308904302,0.0,0.0,0.0,0.0,0.0,0.00549886157383621,0.0,0.0,0.0,0.0
task_001,0,2007.0,15,78.0,80.0,80.0,0.03128817505209683,0.0,0.0,0.0,0.0,0.0,0.004848671225882647,0.0,0.0,0.0,0.0
task_001,0,2007.0,16,82.0,84.0,84.0,0.023757679320773103,0.0,0.0,0.0,0.0,0.0,0.003681684084307996,0.0,0.0,0.0,0.0
task_001,1,2011.0,0,18.0,20.0,20.0,0.014657928626055675,0.003572306571031511,0.0,0.0,0.003572306571031511,0.003572306571031511,0.014657928626055678,0.24371155448809056,0.24371155448809062,0.24371155448809062,0.24371155448809062
task_001,1,2011.0,1,22.0,24.0,24.0,0.04134496063508267,0.0077147765834901785,0.0031414255379295973,0.0,0.010856202121419776,0.010856202121419776,0.0299463773807469,0.25761969420882797,0.18659533024065614,0.26257618714982894,0.26257618714982894
task_001,1,2011.0,2,26.0,28.0,28.0,0.06120234802615764,0.00786618552834877,0.007983004634879755,0.0008116502862403215,0.016660840449468847,0.01714974564676201,0.031143460347793816,0.2525790467887428,0.12852751213052796,0.27222551073282464,0.2802138512632273
task_001,1,2011.0,3,30.0,32.0,32.0,0.07031966961099552,0.005593192091358128,0.010747639189331332,0.0028443840565345485,0.019185215337224008,0.020898556873489772,0.025122262700544143,0.22263886649179018,0.07953951038591839,0.27282857617727085,0.29719361579909886
task_001,1,2011.0,4,34.0,36.0,36.0,0.07175728257680891,0.0033042939782496846,0.009901445140283991,0.005590142204699983,0.01879588132323366,0.02216315615060486,0.018813436920710015,0.17563478657173404,0.04604820388387439,0.2619369163417604,0.30886281300969615
task_001,1,2011.0,5,38.0,40.0,40.0,0.0800586889808318,0.0022303558652474274,0.007581932407152641,0.00874964142669308,0.01856192969909315,0.023832358651661993,0.016637530617902876,0.13405570312504458,0.027859010603851316,0.23185403027942883,0.297686096975284
task_001,1,2011.0,6,42.0,44.0,44.0,0.08096598004711436,0.0015995244522692012,0.0039536205846932545,0.007824685394215256,0.013377830431177712,0.018091103402639478,0.014269661005566838,0.11209267351517317,0.0197555127639835,0.16522779596310833,0.22344080059442506
task_001,1,2011.0,7,46.0,48.0,48.0,0.08846233054004127,0.0,0.0,0.0,0.0,0.0,0.013708845464773838,0.0,0.0,0.0,0.0
task_001,1,2011.0,8,50.0,52.0,52.0,0.09159218889089418,0.0,0.0,0.0,0.0,0.0,0.01419387388530655,0.0,0.0,0.0,0.0
task_001,1,2011.0,9,54.0,56.0,56.0,0.08716677923891597,0.0,0.0,0.0,0.0,0.0,0.013508076250687055,0.0,0.0,0.0,0.0
task_001,1,2011.0,10,58.0,60.0,60.0,0.0785968769317366,0.0,0.0,0.0,0.0,0.0,0.012180014174318778,0.0,0.0,0.0,0.0
task_001,1,2011.0,11,62.0,64.0,64.0,0.07182458799978654,0.0,0.0,0.0,0.0,0.0,0.011130524952815034,0.0,0.0,0.0,0.0
task_001,1,2011.0,12,66.0,68.0,68.0,0.055266121803358416,0.0,0.0,0.0,0.0,0.0,0.008564489750773062,0.0,0.0,0.0,0.0
task_001,1,2011.0,13,70.0,72.0,72.0,0.04459728435425274,0.0,0.0,0.0,0.0,0.0,0.006911159536819277,0.0,0.0,0.0,0.0
task_001,1,2011.0,14,74.0,76.0,76.0,0.03620940802925424,0.0,0.0,0.0,0.0,0.0,0.005611305693774708,0.0,0.0,0.0,0.0
task_001,1,2011.0,15,78.0,80.0,80.0,0.030875476226270893,0.0,0.0,0.0,0.0,0.0,0.004784716044143018,0.0,0.0,0.0,0.0
task_001,1,2011.0,16,82.0,84.0,84.0,0.024711260462574193,0.0,0.0,0.0,0.0,0.0,0.0038294588086588734,0.0,0.0,0.0,0.0
task_001,2,2015.0,0,18.0,20.0,20.0,0.013218208448327834,0.0027821352550972244,0.0,0.0,0.0027821352550972244,0.0027821352550972244,0.013218208448327827,0.21047748384155487,0.21047748384155476,0.21047748384155476,0.21047748384155476
task_001,2,2015.0,1,22.0,24.0,24.0,0.041118584122452354,0.006788179587512931,0.0026025060152401413,0.0,0.009390685602753072,0.009390685602753072,0.031097510067620168,0.21828691662941285,0.16508787285324641,0.22838056813404212,0.22838056813404212
task_001,2,2015.0,2,26.0,28.0,28.0,0.06090989552549982,0.006883437214854583,0.006989951328211856,0.0007199149145558872,0.014593303457622327,0.01502695098944987,0.03275186289031082,0.21016933412025707,0.11301016288843976,0.23958838431290472,0.2467078766069934
task_001,2,2015.0,3,30.0,32.0,32.0,0.07263176030201397,0.00508658120349887,0.009956222297237886,0.002657593354802644,0.0177003968555394,0.01930122325267328,0.02762425788709042,0.1841345828832553,0.07003246489343075,0.24370050762832185,0.2657408160344158
task_001,2,2015.0,4,34.0,36.0,36.0,0.07587591337913731,0.0031189655577979415,0.009566899535363861,0.0053916948040054246,0.018077559897167226,0.02132529806295686,0.021072142092174357,0.14801369239799517,0.04110613525287099,0.23825162811335324,0.2810549107514325
task_001,2,2015.0,5,38.0,40.0,40.0,0.07473196898050458,0.0019054029838235789,0.0066482287662093095,0.0075592529880563475,0.016112884738089236,0.020666271998794665,0.016152071924540067,0.1179664746866731,0.025496491124442924,0.21560899515831872,0.2765385721897131
task_001,2,2015.0,6,42.0,44.0,44.0,0.08151652078379293,0.001524310250143581,0.003844544412460104,0.007520125133454043,0.012888979796057728,0.017418798024880458,0.014669522760255654,0.10391000955214551,0.018699402716003104,0.1581149400407225,0.21368426740243868
task_001,2,2015.0,7,46.0,48.0,48.0,0.0815780038028155,0.0,0.0,0.0,0.0,0.0,0.012765910414789635,0.0,0.0,0.0,0.0
