scenario,period,years_from_start,age,adult_mass,adult_share
task_001,0,0.0,18.0,0.016622662021820018,0.016622662021820018
task_001,0,0.0,22.0,0.04529676719571153,0.04529676719571153
task_001,0,0.0,26.0,0.0635969478209914,0.0635969478209914
task_001,0,0.0,30.0,0.06696559869635438,0.06696559869635438
task_001,0,0.0,34.0,0.07884514768615888,0.07884514768615888
task_001,0,0.0,38.0,0.08072893564675238,0.08072893564675238
task_001,0,0.0,42.0,0.08968295548613252,0.08968295548613252
task_001,0,0.0,46.0,0.09115500500154539,0.09115500500154539
task_001,0,0.0,50.0,0.0868434552625436,0.0868434552625436
task_001,0,0.0,54.0,0.07812470544072851,0.07812470544072851
task_001,0,0.0,58.0,0.07104778040230675,0.07104778040230675
task_001,0,0.0,62.0,0.05661696446968037,0.05661696446968037
task_001,0,0.0,66.0,0.04505232136554862,0.04505232136554862
task_001,0,0.0,70.0,0.03889108604181302,0.03889108604181302
task_001,0,0.0,74.0,0.03548381308904298,0.03548381308904298
task_001,0,0.0,78.0,0.03128817505209684,0.03128817505209684
task_001,0,0.0,82.0,0.023757679320773082,0.023757679320773082
task_001,1,4.0,18.0,0.014657928626055645,0.014236400578706314
task_001,1,4.0,22.0,0.041344960635082535,0.04015597541289626
task_001,1,4.0,26.0,0.06120234802615755,0.05944231037589901
task_001,1,4.0,30.0,0.07031966961099531,0.06829743892768564
task_001,1,4.0,34.0,0.07175728257680873,0.06969370947726937
task_001,1,4.0,38.0,0.08005868898083171,0.077756386677391
task_001,1,4.0,42.0,0.08096598004711408,0.07863758615588465
task_001,1,4.0,46.0,0.08846233054004127,0.08591835898663706
task_001,1,4.0,50.0,0.09159218889089393,0.08895820986694102
task_001,1,4.0,54.0,0.08716677923891578,0.08466006473759147
task_001,1,4.0,58.0,0.0785968769317364,0.07633661295406237
task_001,1,4.0,62.0,0.07182458799978642,0.06975907935230931
task_001,1,4.0,66.0,0.05526612180335825,0.0536767962579378
task_001,1,4.0,70.0,0.04459728435425264,0.043314769841423434
task_001,1,4.0,74.0,0.03620940802925415,0.03516810939479942
task_001,1,4.0,78.0,0.03087547622627077,0.0299875691053761
task_001,1,4.0,82.0,0.024711260462574134,0.024000621897189562
task_001,2,8.0,18.0,0.013218208448327802,0.012378269659692584
task_001,2,8.0,22.0,0.04111858412245227,0.03850574185466544
task_001,2,8.0,26.0,0.06090989552549969,0.05703943274201574
task_001,2,8.0,30.0,0.07263176030201382,0.06801644249983203
task_001,2,8.0,34.0,0.07587591337913696,0.07105444888041924
task_001,2,8.0,38.0,0.0747319689805045,0.06998319536695549
task_001,2,8.0,42.0,0.08151652078379272,0.0763366291223355
task_001,2,8.0,46.0,0.0815780038028155,0.07639420525997406
task_001,2,8.0,50.0,0.08986228817884515,0.08415207247359376
task_001,2,8.0,54.0,0.09060565520316269,0.08484820293023591
task_001,2,8.0,58.0,0.08649200299459076,0.08099594893356551
task_001,2,8.0,62.0,0.0781954350132806,0.07322657866496302
task_001,2,8.0,66.0,0.06976211327371247,0.06532914452875614
task_001,2,8.0,70.0,0.053708360353542234,0.05029551243914541
task_001,2,8.0,74.0,0.0409897687485591,0.03838511193415866
task_001,2,8.0,78.0,0.03203085168675389,0.02999548094268532
task_001,2,8.0,82.0,0.024628582163955335,0.023063581767005733
task_001,3,12.0,18.0,0.013264906903257451,0.0120438621262071
task_001,3,12.0,22.0,0.040447008654222426,0.03672383072129471
task_001,3,12.0,26.0,0.06510089738007455,0.05910831022458456
task_001,3,12.0,30.0,0.07409617669954413,0.06727556723592547
task_001,3,12.0,34.0,0.07834517066626516,0.07113343807388114
task_001,3,12.0,38.0,0.07850247317205804,0.07127626076428473
task_001,3,12.0,42.0,0.07519972009672654,0.06827752862343338
task_001,3,12.0,46.0,0.08040588514537113,0.07300446221666922
task_001,3,12.0,50.0,0.0803896697234653,0.07298973943669222
task_001,3,12.0,54.0,0.08676191546196713,0.07877541510471972
task_001,3,12.0,58.0,0.08999608966251435,0.08171188110840961
task_001,3,12.0,62.0,0.08634760128610232,0.07839923886409918
task_001,3,12.0,66.0,0.07477231736358952,0.06788946863719991
task_001,3,12.0,70.0,0.06653563016232764,0.06041097476218206
task_001,3,12.0,74.0,0.049417291504200975,0.04486839220718732
task_001,3,12.0,78.0,0.03624539729406035,0.03290898088489889
task_001,3,12.0,82.0,0.02555500683910549,0.023202649008330734
task_001,4,16.0,18.0,0.014337122049139199,0.012696171454838964
task_001,4,16.0,22.0,0.044741228127868904,0.03962038556026609
task_001,4,16.0,26.0,0.06510271539527156,0.05765140549135371
task_001,4,16.0,30.0,0.07781168019051286,0.06890576989592985
task_001,4,16.0,34.0,0.08156435185026374,0.07222893075363998
task_001,4,16.0,38.0,0.08281187458056471,0.07333366867966336
task_001,4,16.0,42.0,0.08147983007378423,0.0721540828893215
task_001,4,16.0,46.0,0.07516298442006585,0.06656022972977627
task_001,4,16.0,50.0,0.08066019718385609,0.07142826081255557
task_001,4,16.0,54.0,0.07858640289692312,0.06959182196947916
task_001,4,16.0,58.0,0.08646102535793104,0.076565157103575
task_001,4,16.0,62.0,0.08806977795656329,0.07798978045201606
task_001,4,16.0,66.0,0.08000900833913667,0.07085160357313892
task_001,4,16.0,70.0,0.06962757948607548,0.061658377749090734
task_001,4,16.0,74.0,0.05717549494547928,0.05063149245400106
task_001,4,16.0,78.0,0.03952768832538073,0.035003559743191366
task_001,4,16.0,82.0,0.02611871006894529,0.023129301688163278
